Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_03.d
P06493	CDK1_HUMAN	CDK1	Cyclin-dependent kinase 1	15	14	1.75895e+06	1.69202e+06	1.68728e+06	1.72441e+06	1.62319e+06	1.69415e+06	1.68325e+06	1.69779e+06	1.65779e+06	1.74644e+06	1.6999e+06	1.71723e+06	1.75493e+06	1.71374e+06	1.69481e+06	1.68209e+06	1.66492e+06	1.68615e+06
P06576	ATPB_HUMAN	ATP5F1B	ATP synthase F(1) complex subunit beta, mitochondrial	24	21	5.56059e+06	5.7812e+06	5.48841e+06	5.82334e+06	5.79721e+06	5.39828e+06	5.6057e+06	5.81192e+06	5.58155e+06	5.37038e+06	5.4765e+06	5.74368e+06	5.68723e+06	5.51027e+06	5.54477e+06	5.44681e+06	5.59489e+06	5.30301e+06
P06610	BTUE_ECOLI	btuE	Thioredoxin/glutathione peroxidase BtuE	4	4	38245.1	23098.2	30235.7	27894.9	27821.5	26286	23611.6	35715.9	22630.2	112523	108130	108798	121745	109106	116689	126206	112610	114794
P06612	TOP1_ECOLI	topA	DNA topoisomerase 1	9	9	23999.3	29261.6		22046.7	14363.3		25103.2	27574.3	19498.8	73491.1	70231.4	73073.1	74498.8	75966.7	75452.3	78879.8	75987.6	78987.2
P06634	DED1_YEAST	DED1	ATP-dependent RNA helicase DED1	14	12	1.73111e+06	2.00872e+06	1.86281e+06	2.00494e+06	1.83497e+06	1.743e+06	1.80086e+06	1.84789e+06	1.73047e+06	1.0529e+06	1.01637e+06	1.01431e+06	996058	1.06481e+06	974152	1.03344e+06	1.1043e+06	1.0199e+06
P06700	SIR2_YEAST	SIR2	NAD-dependent histone deacetylase SIR2	6	6	174096	181398	220644	192623	183633	195190	196559	203213	201538	103746	90713.9	89113.3	107532	95822.5	104035	82820.8	96720.9	104406
P06701	SIR3_YEAST	SIR3	Regulatory protein SIR3	7	7	91129.5	90251.2	87610.8	82556.7	79491.8	77244.3	77334.4	84058.9	71557.3	47948.3	44102.7	43008.8	47419.1	38248.8	51249	50575.2	46944.7	39763.6
P06703	S10A6_HUMAN	S100A6	Protein S100-A6	1	1	19875	13551	12507.1	40608.7	33130.6		15301	26090.7	24571.6	34681.5	34223.1	22505.5	36916	26631.9	23716.4	26426	19139.8	15334.3
P06704	CDC31_YEAST	CDC31	Cell division control protein 31	4	4	155307	142116	139554	144649	126441	109238	137992	127948	131509	65779.9	60722.2	62072	70725.4	64413	61310.2	65189.3	66144.6	70566.4
P06715	GSHR_ECOLI	gor	Glutathione reductase	6	6	41215.6	48995.7	45030.9	35624.9	42461.4	31398.8	47197.2	43311.4	35493.1	159128	161730	147228	154311	167087	160423	170650	151102	160950
P06720	AGAL_ECOLI	melA	Alpha-galactosidase	3	3	47166.5	50824.5	47678.6	46776.8	52226.3	45233.5	43566	52551.2	49469.5	158179	152604	155268	157492	158915	169777	175727	163466	173249
P06721	METC_ECOLI	metC	Cystathionine beta-lyase MetC	1	1										18212.2	21234	22471.4	19677.2	26163.1	26370.9	20139.4	24489.2	30540.5
P06727	APOA4_HUMAN	APOA4	Apolipoprotein A-IV	1	1	41285.7	40940.1	33272.6	32462.3	40950.5	36307.4	36498.8	34569.9	36153.1	32444.2	31237.8	40328.1	31597.9	31312.8	27755.2	32424.1	28299.7	29290.9
P06730	IF4E_HUMAN	EIF4E	Eukaryotic translation initiation factor 4E	6	5	1.55554e+06	1.51936e+06	1.55062e+06	1.53046e+06	1.54764e+06	1.60375e+06	1.55333e+06	1.53993e+06	1.54554e+06	1.44588e+06	1.43504e+06	1.48308e+06	1.43179e+06	1.44984e+06	1.46591e+06	1.43849e+06	1.47909e+06	1.44935e+06
P06733	ENOA_HUMAN	ENO1	Alpha-enolase	18	17	1.58406e+07	1.69246e+07	1.68499e+07	1.55044e+07	1.65834e+07	1.56109e+07	1.51348e+07	1.55936e+07	1.54977e+07	1.58097e+07	1.53582e+07	1.60142e+07	1.64217e+07	1.59422e+07	1.60093e+07	1.64361e+07	1.63533e+07	1.6166e+07
P06737	PYGL_HUMAN	PYGL	Glycogen phosphorylase, liver form	8	7	105141	102806	101936	90463.2	101725	110265	103434	102719	101877	92518	96335.8	100759	91958.7	88369.3	97003	90878	93799.1	102101
P06738	PHSG_YEAST	GPH1	Glycogen phosphorylase	26	26	1.6025e+06	1.51057e+06	1.49902e+06	1.46036e+06	1.40302e+06	1.41548e+06	1.3978e+06	1.41051e+06	1.3393e+06	807498	745194	749457	815926	780481	786278	802123	734833	760537
P06744	G6PI_HUMAN	GPI	Glucose-6-phosphate isomerase	20	17	4.43798e+06	4.35103e+06	4.44097e+06	4.27704e+06	4.35157e+06	4.26255e+06	4.28234e+06	4.45363e+06	4.32653e+06	4.38075e+06	4.18721e+06	4.32881e+06	4.37858e+06	4.20996e+06	4.25984e+06	4.33011e+06	4.23903e+06	4.27776e+06
P06746	DPOLB_HUMAN	POLB	DNA polymerase beta	8	8	110245	126650	125175	115305	118961	120732	118439	122544	114375	119393	119491	116549	118227	122179	128607	108204	125374	117763
P06748	NPM_HUMAN	NPM1	Nucleophosmin	7	7	1.60658e+07	1.79439e+07	1.74622e+07	1.77979e+07	1.60274e+07	1.67619e+07	1.67977e+07	1.66935e+07	1.60371e+07	1.69403e+07	1.67805e+07	1.60424e+07	1.77134e+07	1.65227e+07	1.57055e+07	1.73261e+07	1.69264e+07	1.62378e+07
P06753	TPM3_HUMAN	TPM3	Tropomyosin alpha-3 chain	9	5	1.32951e+06	1.44589e+06	1.1976e+06	1.31883e+06	1.23521e+06	1.14315e+06	1.23257e+06	1.39226e+06	1.04185e+06	1.55234e+06	1.42673e+06	1.43423e+06	1.45361e+06	1.33294e+06	1.04308e+06	2.02496e+06	1.45632e+06	1.14035e+06
P06756	ITAV_HUMAN	ITGAV	Integrin alpha-V	4	4	53615.4	53637.1	58164.6	59399.5	49071.7	65641.3	47686.2	53451.9	45845.2	52812.3	48038.5	53537.9	45954.9	52050.6	50558.6	54991.3	45906.3	52121.6
P06773	DCTD_YEAST	DCD1	Deoxycytidylate deaminase	2	2	50823.7	55162.7	40050.3		50830.7	54991.7	55040.3	36905.3	52060.2			47696.7						
P06774	HAP2_YEAST	HAP2	Transcriptional activator HAP2	1	1	42437.9	42555.5	52072.2	34508.2	35651.4	41362.9	44009.9	43450.2	37390.9	14202.9	23270.5	28247.9	26140.4	26402.6	24298.5	22491	21331.2	21681.2
P06776	PDE2_YEAST	PDE2	3',5'-cyclic-nucleotide phosphodiesterase 2	3	3	28296.6	29689.1	26116.7	33486.2	27510.9	29025.8	24680	22579.2	32524.7	12687.5			8681.15	10360	11419.2			9742.9
P06777	RAD1_YEAST	RAD1	DNA repair protein RAD1	3	3	125722						72007.1	94097.7	143095								43601.5	40974.4
P06778	RAD52_YEAST	RAD52	DNA repair and recombination protein RAD52	4	4	104150	113197	114594	94394.5	102879	114169	81948.3	95326	96218.9	53931.5	50299.1	46532.8	49256.5	47511.4	49524.6	45170.5	45638.6	47662.2
P06779	RAD7_YEAST	RAD7	DNA repair protein RAD7	1	1	1647.17					1351.67	4896.23											
P06780	RHO1_YEAST	RHO1	GTP-binding protein RHO1	3	3	191154	181478	180493	152647	126187	176942	149026	154022	142573	108633	76250.3	93228.8	87268.1	94269.4	77188.9	151991	78146.9	84723.9
P06782	SNF1_YEAST	SNF1	Carbon catabolite-derepressing protein kinase	14	14	235922	227428	227607	216168	207249	223528	217962	240295	220509	108932	106049	107443	102032	108309	111268	97696.1	104699	116182
P06784	STE7_YEAST	STE7	Serine/threonine-protein kinase STE7	1	1	25325.1		14830.5		20090.7	18259.4		20261.8	14407.2		12909.2							
P06785	TYSY_YEAST	CDC21	Thymidylate synthase	5	5	108776	108158	109045	111793	101332	103524	104653	101096	106598	49020.5	50985.9	46326.6	53190.4	51767.4	51199.4	53244.9	55719.4	51047.3
P06786	TOP2_YEAST	TOP2	DNA topoisomerase 2	15	15	74931.8	82748.7	79184.9	84181.3	73050	69406	80605.1	70878	76288.4	38908.8	31818.5	39672.2	31966.6	35029.2	37151.6	41929.5	34566.8	31437.4
P06787	CALM_YEAST	CMD1	Calmodulin	7	7	536917	532280	562574	480891	493929	520630	494109	556471	527502	307793	281233	297375	293683	327440	323542	302725	347808	311524
P06843	SPT2_YEAST	SPT2	Protein SPT2	1	1	55341	62139.6	59400.4	54313.2	53314.7	48011.4	52287.6	45588	43314.6	24107.9	30348.1	24574.9	26814.1	26964.8	26566.8	28236.9	21983.6	25681.1
P06844	SPT3_YEAST	SPT3	SAGA complex subunit SPT3	3	3	50355.9	51970.6	48345	48639.8	47026	53018.7	49802.3	55155.4	48881.3				24251			29022.8		25939
P06865	HEXA_HUMAN	HEXA	Beta-hexosaminidase subunit alpha	5	5	152533	138651	149219	151586	156012	160123	160123	166816	152772	167783	172285	169778	156158	163557	175783	173618	172445	169621
P06959	ODP2_ECOLI	aceF	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	17	17	86835.8	68108.5	76800.1	68511.5	64993.3	78889.3	70344.3	69986.3	63200	310460	277015	292079	316208	275018	291832	312039	256012	308726
P06961	CCA_ECOLI	cca	Multifunctional CCA protein	1	1										120050		60101.6	130766	91646	75900.6			105528
P06968	DUT_ECOLI	dut	Deoxyuridine 5'-triphosphate nucleotidohydrolase	1	1											56522.5	40942	48886.4		38542.8	43869.2	51524	54978.5
P06986	HIS8_ECOLI	hisC	Histidinol-phosphate aminotransferase	3	3										81150	80647.8	79249.1	77752.9	93529.3	99915.2	92383	89559	69259.9
P06987	HIS7_ECOLI	hisB	Histidine biosynthesis bifunctional protein HisB	5	5	19746.6	24506.2	23355.7	19971.4	16140	16957	20641.7	25042.6	22730.2	75932.6	73582.9	74754.4	76413.5	82313.8	81002.9	78803.8	80657.7	82630.4
P06988	HISX_ECOLI	hisD	Histidinol dehydrogenase	3	3										56396.6	52203.5	65279.8	74556.1	67170.5	76038.1	101014	96649.6	70637.6
P06989	HIS2_ECOLI	hisI	Histidine biosynthesis bifunctional protein HisIE	2	2										44092.8	67982.2	59446	54330.2	51747.3	54130.2	34335.5	67568.7	59624.7
P07003	POXB_ECOLI	poxB	Pyruvate dehydrogenase [ubiquinone]	3	3										256884	222105	222465	299137	248652	230860	252695	191970	249938
P07004	PROA_ECOLI	proA	Gamma-glutamyl phosphate reductase	5	5		11171.3	13720.3	9652.96	11623.6	10140.4	8529.82	10946.6	10729.5	36664.8	39513.4	41657.1	38538.2	47143.7	47175.7	41705.3	42164.5	41941
P07010	REM_ECOLI	rem	Uncharacterized protein Rem	1	1	37610			32739.4	37290.9			39089.3	49776		33877.7	30385.3	50565.7	63980.1	63057.9	32982.4		30622.9
P07012	RF2_ECOLI	prfB	Peptide chain release factor RF2	4	4										38312.2	56403.4	62445.6	56092	61254.2	50958.5	41287.2	55318.3	42691.9
P07014	SDHB_ECOLI	sdhB	Succinate dehydrogenase iron-sulfur subunit	7	7	37572	25128.8	16677.9		23337.9				23012.3	98632.6	95819.5	79928.3	95859.9	98352	107941	105320	102582	104592
P07024	USHA_ECOLI	ushA	Protein UshA	5	5	9911.88				14699.5	13985.1	11103.6	14381		42505.3	37587.5	45831.9	42792.2	47216	46760.7	48678.7	46754.9	46544.9
P07099	HYEP_HUMAN	EPHX1	Epoxide hydrolase 1	4	4	40517.9	26353	30633.3	32907.7	31860	35612.5	37011.5	31560.8	29176.3	40215	25445.5	37661.8	38692.2	32460.5	37368	39780.2	29544.3	30608.9
P07108	ACBP_HUMAN	DBI	Acyl-CoA-binding protein	4	4	784954	791661	754679	745239	738675	777034	762284	823512	818344	811519	738560	735523	777678	820917	780101	746868	774728	782819
P07118	SYV_ECOLI	valS	Valine--tRNA ligase	20	20	31128.6	32757.8	32917.4	31860.9	32243.3	29613.8	27659.1	24318.3	33836.4	134919	125232	122795	134939	134953	117986	140709	131558	129978
P07143	CY1_YEAST	CYT1	Cytochrome c1, heme protein, mitochondrial	4	4	269003	282766	263888	261940	232622	221061	271913	266495	208844	141362	135953	123467	140281	131185	123355	127633	143351	118136
P07149	FAS1_YEAST	FAS1	Fatty acid synthase subunit beta	63	63	1.14434e+06	1.20361e+06	1.20804e+06	1.11651e+06	1.119e+06	1.12053e+06	1.12852e+06	1.16543e+06	1.13256e+06	577728	566865	593345	566859	595726	580541	577918	583116	596847
P07170	KAD2_YEAST	ADK1	Adenylate kinase	9	9	2.34013e+06	1.86651e+06	2.02339e+06	1.77051e+06	1.75683e+06	1.75432e+06	1.79567e+06	1.79333e+06	1.70177e+06	1.17626e+06	952103	968004	1.05369e+06	1.02979e+06	939288	972337	900512	941890
P07172	HIS8_YEAST	HIS5	Histidinol-phosphate aminotransferase	5	5	261030	286781	299094	242411	258413	242247	281724	263223	256251	124617	121575	126574	130406	127846	121252	116111	116169	110208
P07195	LDHB_HUMAN	LDHB	L-lactate dehydrogenase B chain	13	13	8.86883e+06	1.02697e+07	9.5964e+06	9.35045e+06	9.0995e+06	9.39728e+06	8.93769e+06	9.69002e+06	9.30553e+06	9.61263e+06	9.68765e+06	1.01507e+07	9.758e+06	9.54721e+06	9.11632e+06	9.56593e+06	1.06667e+07	9.6551e+06
P07199	CENPB_HUMAN	CENPB	Major centromere autoantigen B	8	8	137863	138794	110756	126299	123012	131756	123291	105495	139356	97462.1	110137	117553	108868	112619	109284	96469.5	89227.2	112793
P07205	PGK2_HUMAN	PGK2	Phosphoglycerate kinase 2	2	2	38276.1	64142.9	79265.8	63101.4	33603.6	61936.1	44340.9	68284.8	61107.2	26149.5	64154.5	61490.4	56073.7	47469.7	66999.1	51323.2	54564.1	58196.7
P07213	TOM70_YEAST	TOM70	Mitochondrial import receptor subunit TOM70	18	18	933078	936107	920526	876860	902775	895593	858976	921327	888757	441493	434217	460279	444339	456127	456451	442509	447427	466575
P07225	PROS_HUMAN	PROS1	Vitamin K-dependent protein S	2	2	14337.4	12079.1	16979.5	17845.1	16043.1	14995.1	16464	12751.7	14962.1	8594.19	16853.6	10961.6	8210.46	8937.54	17490.7	15696		13247.1
P07236	SYTM_YEAST	MST1	Threonine--tRNA ligase, mitochondrial	6	6	30206.6	31224.4	38815	32530.9	20849.9	29800	34045.8	33499.8	29699.7	13202.7	13675.6	24212.8	13104.3	14203.7	11719.4		18682.6	14975.1
P07237	PDIA1_HUMAN	P4HB	Protein disulfide-isomerase	24	24	2.59683e+06	2.65867e+06	2.54547e+06	2.63942e+06	2.58908e+06	2.59207e+06	2.54271e+06	2.65853e+06	2.59864e+06	2.64775e+06	2.53943e+06	2.59977e+06	2.57452e+06	2.63664e+06	2.57015e+06	2.61552e+06	2.54287e+06	2.64116e+06
P07244	PUR2_YEAST	ADE57	Bifunctional purine biosynthetic protein ADE5,7	26	26	1.41131e+06	1.34882e+06	1.30228e+06	1.2741e+06	1.20224e+06	1.24324e+06	1.30386e+06	1.26712e+06	1.20051e+06	719126	647392	643228	682733	657938	641410	686308	659439	645669
P07245	C1TC_YEAST	ADE3	C-1-tetrahydrofolate synthase, cytoplasmic	25	24	1.03164e+06	1.00825e+06	934881	925632	896217	915100	890694	948926	890574	528562	511657	497286	522813	538084	525610	542608	523385	540116
P07246	ADH3_YEAST	ADH3	Alcohol dehydrogenase 3, mitochondrial	11	9	1.21376e+06	1.18447e+06	1.28066e+06	1.12811e+06	1.09048e+06	1.21259e+06	1.10618e+06	1.19407e+06	1.19599e+06	563952	559688	635839	575212	594077	569978	598797	582111	636353
P07248	ADR1_YEAST	ADR1	Regulatory protein ADR1	6	6	73370.7	66026.2	61838.5	60017.8	56881.2	58964.1	64608.8	63208.6	56932.2	38180.2	34057.8	36706.1	39347.5	37206.5	39053.7	39313.6	35380.1	39411.2
P07250	IPMK_YEAST	ARG82	Inositol polyphosphate multikinase	1	1	32924.1		30877.1		23159.5													
P07251	ATPA_YEAST	ATP1	ATP synthase subunit alpha, mitochondrial	12	12	926451	851126	891190	862394	851505	875917	830106	880385	849109	450145	428146	457169	425300	453084	446688	425229	404601	439682
P07253	CBP6_YEAST	CBP6	Cytochrome B pre-mRNA-processing protein 6	5	5	53922	72899.1	82975.7	57954.7	75040.5	83262.5	56344.8	85850.7	80413.8	24194.5	29391.3	37050.8	19912.4	26959.9	37294.8	26896.8	28659.5	36601.7
P07256	QCR1_YEAST	COR1	Cytochrome b-c1 complex subunit 1, mitochondrial	11	11	522006	637400	671446	521148	617714	633537	601093	659015	640874	246281	288742	302452	261148	311359	307682	278954	311111	294862
P07257	QCR2_YEAST	QCR2	Cytochrome b-c1 complex subunit 2, mitochondrial	13	13	373215	373593	356884	361172	337334	336376	336068	343224	316844	184956	169554	179000	185130	175045	180825	189550	180262	177315
P07259	PYR1_YEAST	URA2	Multifunctional protein URA2	60	60	1.04187e+06	1.06142e+06	1.05219e+06	967893	995576	1.00274e+06	971820	1.05642e+06	1.00489e+06	524080	521039	519010	527577	552782	534462	528660	537240	527464
P07260	IF4E_YEAST	CDC33	Eukaryotic translation initiation factor 4E	11	11	1.32839e+06	1.20317e+06	1.21909e+06	1.20717e+06	1.13653e+06	1.17561e+06	1.1619e+06	1.17197e+06	1.13266e+06	608169	608900	610195	605734	647921	609132	635536	639107	633825
P07261	GCR1_YEAST	GCR1	Glycolytic genes transcriptional activator GCR1	1	1	10840.1	13672.1		9551.77			12540.2											
P07262	DHE4_YEAST	GDH1	NADP-specific glutamate dehydrogenase 1	12	7	1.19004e+06	1.13084e+06	1.17827e+06	1.05922e+06	1.0749e+06	1.10921e+06	1.02004e+06	1.08721e+06	1.06283e+06	583022	544626	565656	594724	571395	579200	571701	539575	584963
P07263	SYH_YEAST	HTS1	Histidine--tRNA ligase, mitochondrial	9	9	463386	461765	448422	423909	423141	447019	419046	432666	423309	235065	219323	228722	218249	228628	241933	251108	234528	234940
P07264	LEUC_YEAST	LEU1	3-isopropylmalate dehydratase	12	12	325403	312842	312709	295763	283245	292505	294684	307607	293715	142608	148332	150810	151636	154766	160422	156863	156987	149251
P07266	MRS1_YEAST	MRS1	Mitochondrial RNA-splicing protein MRS1	2	2	13344.3	16413.4			13759.4	10972.7		13238.3	14607.5					10441				
P07267	CARP_YEAST	PEP4	Saccharopepsin	8	8	3.07779e+06	3.11283e+06	3.16445e+06	2.86265e+06	2.55301e+06	2.5228e+06	2.89536e+06	2.60434e+06	2.75696e+06	1.85117e+06	1.61694e+06	1.70757e+06	1.78104e+06	1.78684e+06	1.70616e+06	1.79387e+06	1.71553e+06	1.72708e+06
P07269	PHO2_YEAST	PHO2	Regulatory protein PHO2	1	1		28814.9						19785.6										
P07273	TFS2_YEAST	DST1	Transcription elongation factor S-II	6	6	126615	138091	132560	136273	133330	141835	140045	141273	142735	75005.8	68061.1	81767.9	78371.7	78618.5	78686.6	86127.8	81429.6	85105.1
P07274	PROF_YEAST	PFY1	Profilin	2	2	135101	221301	161789	203594	222557	179528	160014	177671	209966		85024.6	85982.6	98172.2	104243	80454		91333.9	87526.1
P07275	PUT2_YEAST	PUT2	Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial	8	8	146085	145978	140671	137182	144491	147334	126282	144551	146921	58379.3	64721.7	69683.2	64230.8	66217.1	59512.1	59073.7	67328.2	69587.4
P07276	RAD2_YEAST	RAD2	DNA repair protein RAD2	1	1					10988.2													
P07277	ERG12_YEAST	ERG12	Mevalonate kinase	5	5	108942	108605	114004	99460.3	107841	115431	105354	91120.4	110446	61960.5	49382.8	55255	58228.1	59106	47466.5	38861.6	52989	51292
P07278	KAPR_YEAST	BCY1	cAMP-dependent protein kinase regulatory subunit	10	10	330655	326014	342617	313478	297900	326003	322480	344495	311947	180122	162593	167991	161123	170380	165552	176910	166678	168285
P07280;P07281	RS19A_YEAST;RS19B_YEAST	RPS19A;RPS19B	Small ribosomal subunit protein eS19A	7	0	6.02899e+06	6.82684e+06	6.70763e+06	5.25721e+06	5.92042e+06	6.23309e+06	6.35461e+06	5.9319e+06	5.86377e+06	2.82985e+06	3.14752e+06	3.15427e+06	3.14149e+06	3.23092e+06	3.52922e+06	3.19899e+06	3.1539e+06	3.20477e+06
P07283	PMM_YEAST	SEC53	Phosphomannomutase	11	11	1.39256e+06	1.41492e+06	1.51982e+06	1.36352e+06	1.32831e+06	1.30484e+06	1.36549e+06	1.36093e+06	1.35508e+06	721864	645275	633156	728366	690255	667354	690383	696503	629604
P07284	SYSC_YEAST	SES1	Serine--tRNA ligase, cytoplasmic	19	19	2.89975e+06	2.96036e+06	2.86021e+06	2.70881e+06	2.73517e+06	2.62336e+06	2.81205e+06	2.71376e+06	2.53828e+06	1.44534e+06	1.39026e+06	1.47464e+06	1.49756e+06	1.50292e+06	1.41588e+06	1.48603e+06	1.39263e+06	1.45152e+06
P07285	TRPD_YEAST	TRP4	Anthranilate phosphoribosyltransferase	5	5	153294	161440	153518	133191	128240	140025	142912	147526	147826	75724.3	67796.6	82564.1	72545.7	77232.9	64758.8	66672.1	67457.4	79223.4
P07311	ACYP1_HUMAN	ACYP1	Acylphosphatase-1	4	4	324991	293573	291903	300799	269658	244099	292953	302431	277425	360610	356408	360606	353474	359128	356735	423421	376505	346257
P07339	CATD_HUMAN	CTSD	Cathepsin D	4	4	622248	641676	631831	676335	650434	685816	654697	602799	699063	670049	633339	644249	663627	685267	667458	642190	682058	691850
P07342	ILVB_YEAST	ILV2	Acetolactate synthase catalytic subunit, mitochondrial	10	10	233470	249563	231318	235534	235727	233148	234800	239695	229752	118117	122099	117541	123858	125623	114111	124964	131232	119870
P07347	ARD1_YEAST	ARD1	N-terminal acetyltransferase A complex catalytic subunit ARD1	7	7	244227	230061	253301	224437	232162	254160	228922	255171	261540	106640	109848	100325	97382.4	108151	103684	105088	103774	81399.9
P07355	ANXA2_HUMAN	ANXA2	Annexin A2	20	7	4.61563e+06	4.51345e+06	4.797e+06	4.41405e+06	4.55247e+06	4.9898e+06	4.33664e+06	4.86681e+06	4.7582e+06	4.66323e+06	4.70514e+06	4.74273e+06	4.64885e+06	4.60122e+06	4.87567e+06	4.70726e+06	4.53297e+06	4.73079e+06
P07358	CO8B_HUMAN	C8B	Complement component C8 beta chain	1	1	66013.1	59132.2	60215.8	74659.7	60236	71566.4	65433.7	43212.1	56163.8	66678	65210	43870.2	100232	92666.2	89785.7	93334.8	70778.2	62637.5
P07384	CAN1_HUMAN	CAPN1	Calpain-1 catalytic subunit	22	22	895077	879487	869789	921458	919367	893142	905533	920215	860924	989510	902266	912142	944528	942556	896032	924493	922124	877123
P07395	SYFB_ECOLI	pheT	Phenylalanine--tRNA ligase beta subunit	14	14	82671.6	82389.8	90157.3	81543.2	75688.3	86075.5	81772.5	82103.4	79317.2	298194	289755	306035	321213	313498	314401	332111	312962	313265
P07437	TBB5_HUMAN	TUBB	Tubulin beta chain	11	5	1.24213e+07	1.23452e+07	1.12715e+07	1.18054e+07	1.13515e+07	1.06616e+07	1.17663e+07	1.13266e+07	1.03515e+07	1.1782e+07	1.13152e+07	1.09948e+07	1.31938e+07	1.23814e+07	1.08295e+07	1.25761e+07	1.25108e+07	1.13827e+07
P07464	THGA_ECOLI	lacA	Galactoside O-acetyltransferase	2	2	63793.8	64671.6	57442.5	47780	53932.9	32967.2	52654.3	48353	53265.5	179106	176074	205404	186682	185457	202928	199587	195572	197424
P07560	SEC4_YEAST	SEC4	Ras-related protein SEC4	7	6	467665	448429	414320	515810	464216	449552	397744	492922	387609	256285	256658	266548	264974	280409	257458	269405	259352	243720
P07602	SAP_HUMAN	PSAP	Prosaposin	6	6	381920	416424	373856	293927	316359	331522	339687	384670	387127	250637	331934	312998	247685	292707	297566	329186	337793	395176
P07650	TYPH_ECOLI	deoA	Thymidine phosphorylase	10	10										77856.9	82096.3	91800.5	88258.7	108460	92210.6	92986.4	89433.6	93594.6
P07686	HEXB_HUMAN	HEXB	Beta-hexosaminidase subunit beta	7	7	202587	192279	210731	240002	247252	238027	237069	219191	225403	209358	200207	220191	203268	201738	211246	212191	193236	219017
P07702	LYS2_YEAST	LYS2	L-2-aminoadipate reductase	29	29	312600	319506	324897	288791	300401	322398	316599	312652	303437	141443	147277	152000	150419	150379	139686	152855	149635	137171
P07703	RPAC1_YEAST	RPC40	DNA-directed RNA polymerases I and III subunit RPAC1	6	6	206856	245506	264822	245838	245134	248871	211376	244711	237346	125659	97915.8	130122	127947	125322	124193	108449	106983	125437
P07711	CATL1_HUMAN	CTSL	Procathepsin L	4	4	39410.1	43053.4	44646.6	40561	41711.9	33667	32168.1	45329.5	35937.4	44993.3	30243	36916	52769.1	37961.8	37925.2	28767.7	37896.1	36714.6
P07737	PROF1_HUMAN	PFN1	Profilin-1	7	7	4.03261e+06	4.61479e+06	4.76685e+06	4.14594e+06	4.32119e+06	4.25045e+06	4.20631e+06	4.54117e+06	3.80568e+06	5.01406e+06	4.85535e+06	4.63248e+06	4.98319e+06	4.89012e+06	4.70065e+06	5.47457e+06	5.94549e+06	4.91108e+06
P07738	PMGE_HUMAN	BPGM	Bisphosphoglycerate mutase	4	4	170767	152783	185114	171660	145251	171666	165498	191335	174297	161847	143430	152314	152248	175245	171605	155666	171640	173798
