Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_02.d
P15732	P15732		UBC5				25983.3			30558.7				25158.2						25708.6	24068.4	
P15735	P15735		PHKG2		31747.9	28753.6	29907.1	29621	32890.4	30666.4	32951.3	28967.7	30464.7	28435.8	27113.7	34395.7	30242.9	32771.2	30910.4	33793.8	30926.6	29366.6
P15770	P15770		aroE		3083.8						5122.17	4222.13	5082.61	3503.12	4809.21	2743.79	2773.91	4543.54	4864.69	5238.52	4825.42	3813.11
P15790	P15790		CKA1		41072.8	35880.1	34768.8	38684.3	35645.9	41336.8	25195.5	19951.7	22647.1	35890.4	23425.2	40699.3	40430.3	20434.7	20380.8	22077.1	20416.2	22007.1
P15807	P15807		MET8		3733.39	3362.05	3592.88	3957.63	5295.5	4562.42	3454.64	2524.52	2318.76	4196.86	2761.25	4956.56	5893.46	2903.33	2487.17	2643.01	2189.99	2013.01
P15822	P15822		HIVEP1		2744.46	3253.77	2308.21	2670.19	2896.17	2855.64	2662.84	2650.78	2196.48	2837.01	1786.38	1688.82	3371.52	2339.03	2890.8	2122.05	2325.3	2215.9
P15873	P15873		POL30		163841	162390	175859	171083	166702	171994	96938.2	93393.4	96547.1	182048	93090.9	177051	185336	96806.6	94408.3	95074.4	92832.6	95025.2
P15880	P15880		RPS2		1.06433e+06	1.01924e+06	1.06264e+06	1.05103e+06	1.02443e+06	984548	1.04268e+06	1.08035e+06	1.03847e+06	1.06802e+06	1.06291e+06	1.07588e+06	1.10263e+06	1.03416e+06	1.1282e+06	1.08206e+06	1.06774e+06	1.06128e+06
P15884	P15884		TCF4		4920.02	5998.65	5959.04	5109.25	6688.04	5844.67	7076.37	5921.57	6299.8	5649.95	6384.07	4759.93	6411.18	5890.27	6697.36	7141.11	6801.64	5408.3
P15891	P15891		ABP1		474932	493367	492558	465488	448248	415008	289659	285180	284093	543597	272585	533487	499180	278727	281394	294806	284623	305894
P15907	P15907		ST6GAL1		1158.74	931.923	2017.47	927.109	1866.13	1054.17	1946.51	1034.57	1302.19	1337.02	1042.53	1186.06	1207.73	1194.96	1199.29	1630.26	1106.75	713.814
P15923	P15923		TCF3		42637.4	44232.3	42117.8	41773.6	46325.3	43714.4	38548.7	38103.7	40851.2	37949.3	41501.7	41361.7	44513.6	44878	42631	38060.5	40019	43626.8
P15927	P15927		RPA2		97936.8	99813.7	97223.8	100577	93446.4	87796.8	101909	111330	111859	90256.9	103715	102562	88460.3	95320.9	110128	110952	109636	107412
P15976	P15976		GATA1		162504	166197	165076	162748	163803	150191	151142	164542	148067	162641	156128	168022	159458	149147	159267	172342	164016	162074
P15977	P15977		malQ		2045.17	2093.85	2068.79	1249.24			6392.76	5370.4	5380.41	1267.46	5808.33	2019.19	1638.12	5403.87	5534	5782.21	4806.8	4348.24
P15992	P15992		HSP26		1.55821e+06	1.57516e+06	1.60585e+06	1.55791e+06	1.53365e+06	1.54849e+06	879596	900170	849074	1.64174e+06	866022	1.64211e+06	1.67734e+06	889651	884771	893267	909246	900534
P16083	P16083		NQO2		85600.1	80768	84583.2	92112.9	89663.5	89740.2	80308	79487.5	79897.2	84631.7	88505.8	82443.6	82701.1	83642.5	83999.4	85428.6	85132.8	83730.4
P16095	P16095		sdaA		8089.75	10376.3	12067.8	10306.4	10121.7	8449.97	34054.4	29635.2	35757.5	9725.57	35783.7	9084.74	11320.6	35520.5	38975.8	32352.2	30610.8	33636.5
P16120	P16120		THR4		266608	268074	268556	269091	257012	254929	151456	152278	152886	277505	164370	294340	279839	154068	154232	161484	154994	161277
P16140	P16140		VMA2		1.19189e+06	1.16819e+06	1.18248e+06	1.15458e+06	1.11971e+06	1.08279e+06	636981	659024	674824	1.28434e+06	649060	1.27154e+06	1.20781e+06	653946	656147	679756	666871	653624
P16150	P16150		SPN		260800	270629	251511	259902	263828	265084	272815	283480	259050	278701	237175	267936	267162	266409	267386	260148	260724	250164
P16152	P16152		CBR1		52187.3	54728.2	51139.2	52027.3	51788.9	48919.3	52980	54157.1	53942.9	54611.4	54280.3	51715.6	49098.2	53556.4	51927.5	55516	54963.7	53710.2
P16157	P16157		ANK1		287768	289548	285100	284191	282360	274542	294660	290980	297091	284895	295718	289175	283334	288324	291774	290240	290888	298411
P16219	P16219		ACADS		94654.8	104429	100357	105963	106287	91887.3	103548	99872.5	110829	93901.6	107440	106707	99653.8	112175	116868	112493	108385	112423
P16220	P16220		CREB1		15521.6	14653	9924.15	12087.6	12616	10801.8	12442.6	19242.9	17632.1	14995.2	15396.1	16933.4	9247.45	12134.8	15019.6	17889.7	20626	16483.7
P16260	P16260		SLC25A16							27308.7		31061.1	35965.6						30066.3			33854.8
P16278	P16278		GLB1		52903.8	50781	50574.2	52659.3	51669.8	52937.9	51973.6	51740.2	52262.7	48909.3	54421.9	50807.8	48153.7	50694	50328.4	51836.4	50801.5	53872.9
P16298	P16298		PPP3CB		43762.1	43831.3	35657.5	33453	33919.5	37948.2	33545.8	41618.6	48909.2	49564.4	41584.1	33788	34573.6	42695.9	35316.1	45283.7	53268.5	32138.2
P16333	P16333		NCK1		26261.5	21806.5	22851.7	24013.2	22347.7	23505.8	21882.2	22135.3	21665.8	23720.1	23504.1	21838	22550.7	24302.3	23093.9	23464.1	20000.8	21964
P16370	P16370		RPB3		134091	129805	135957	128198	133893	120695	71851.4	74092.3	74306.5	147799	71225.2	140320	131602	67176.9	64275.2	73249.5	68235.3	73512.6
P16383	P16383		GCFC2		24491.1	23912.8	22157.1	23997.3	23392.6	21935.8	22633	24874.1	23143.2	22098.3	24534.8	24618.9	22256.5	23834	24238.2	23825	24003.6	23828.7
P16387	P16387		PDA1		305083	317205	327868	303664	304947	296838	184370	181890	188117	327137	173202	341405	332079	192664	188721	177198	177403	196115
P16401	P16401		H1-5		28994.2	37049	24214.7	24399.4	31382.4	23800.5	36064.8	51353.8	40846.6	41163.2	40368.8	37819.4	29593.6	41697	39659.7	63091	52395.4	32071.2
P16402	P16402		H1-3		662730	769987	490591	509880	634268	504658	646345	1.05801e+06	901465	713058	858919	720766	634663	890648	771163	1.35691e+06	986798	846622
P16422	P16422		EPCAM		21794.9	22079.9	23256	23239.6	19218.3	19877.9	21276.4	21609.6	21509.2	21456.7	21887	23517.7	24200.9	19532.3	20115.8	20184.5	22480.3	23096.3
P16435	P16435		POR		27818.4	25143.9	27715.1	26504.8	26953.5	25184.2	27412.8	27503.3	25135.8	26221.4	25631.2	25686.6	24934.9	27771.2	28762.1	26395.5	26648.8	27933.8
P16451	P16451		PDX1		32783.8	30772.2	32807	31290.2	28798.5	30368.6	18069.9	17825.9	15002.6	31323	18105	32128.4	34444.3	17216.4	18176.7	17634.5	17273.6	16805.5
P16456	P16456		selD		3366.82	3090.82		3147.1	3034.11	1431.32	6775.4	5799.65	6879.14	2661.58	5747.55		2673.14	5772.76	7286.36	7292.56	6441.02	7141.73
P16467	P16467		PDC5		500012	509046	451280	528346	534036	555220	261618	278052	285185	534084	284875	552920	514829	274017	278111	294431	279081	263133
P16474	P16474		KAR2		811657	765149	782129	790991	747489	767184	446136	496366	470955	899348	458710	883912	862163	470386	469349	495573	495700	474002
P16520	P16520		GNB3		25048.1	26900.1	24029.4	24379	25254.8	24484.4	22907.6	22798.2	24353.1	24418.2	24304.1	20747.5	24690.9	24740	26551.8	23300.5	26735.8	23754.1
P16521	P16521		YEF3		1.98382e+06	2.00347e+06	1.91856e+06	1.91148e+06	1.87383e+06	1.81534e+06	1.08237e+06	1.1169e+06	1.1046e+06	2.08238e+06	1.07317e+06	2.12908e+06	2.02535e+06	1.10305e+06	1.09835e+06	1.14953e+06	1.12662e+06	1.12152e+06
P16547	P16547		OM45		23136.3	24168.3	21514.6	23971.5	21396.3	22187.1	15657.5	16172.2	14620.6	24848.6	12556.7	26793.6	22464.3	13624.7	15388.1	14117.5	15786.7	13263
P16550	P16550		APA1		174119	170197	168519	164113	165173	160782	92581.6	94950.6	94141.3	175395	95523.4	184711	179001	89721.4	89037.1	91956.7	96963.1	87637.2
P16591	P16591		FER		17014.2	15937.9	16780.5	18539.5	16540.2	19296.4	15110.3	16025.9	17842	15485.2	16096.6	16354.1	16159.3	16763.6	15641.3	15621.8	15984.3	16227.4
P16603	P16603		NCP1		168793	170416	165177	164020	166883	166712	91488.8	90504.1	93800.6	179050	92353.7	183091	179627	93264.8	91828.6	95334.4	93035.3	93457.6
P16615	P16615		ATP2A2		32606.8	34779.8	34841.4	34330.1	34034.5	34387.4	35093.8	35275.9	33689.4	32404.4	34967.4	35769.1	36049.6	34837	34574	36525.1	34934.7	36510.6
P16622	P16622		HEM15		11754.5	11862.8	11810.4	10806.5	11624.6	13211.3	6621.84	6761.92	6852.33	14191.5	6283.07	13410	12792.2	7835.21	7697.12	6730.79	7504.6	6704.58
P16639	P16639		ATE1		6741.16	7107.35	5513.28	6311.74	6439.07	6204.1	3334.06	3447.96	3137.76	6008.98	3308.92	6116.18	6849.59	3339.84	4014.82	3231.78	2797.36	3526.7
P16649	P16649		TUP1		82302.8	79594.4	79763.6	78635.8	79198	74076.8	43619.2	45740	45010.6	87374.2	44054.2	87840.5	83620.7	43424.8	46956.5	45897.5	45726.5	45363.8
P16659	P16659		proS		32823.6	31677.2	34084.2	28907.2	29301.4	28663.8	113663	107860	107903	34560	110728	35635.6	35035.4	112295	111446	114736	112254	109621
P16664	P16664		RGP1		2665.9	3073.26	4526.45	2325.75	4113.2	3913.2	2277.66		1762.05	2130.55		4069.2	4246.55	1582.22	2199.56	1244.53	2459.41	1851.81
P16700	P16700		cysP		1973.47		1632.49			2873.45	3227.59	2672.06	3512	1721.94	3506.68		1828.92	4166.82	1890.96	2220.1	3339.62	2736.78
P16861	P16861		PFK1		1.02662e+06	1.03509e+06	1.00119e+06	1.01918e+06	970226	973311	605666	599890	616924	1.10455e+06	599586	1.14976e+06	1.08263e+06	611199	595341	639569	625988	621744
P16862	P16862		PFK2		965863	973915	949793	941261	952664	927559	546851	551069	543232	1.0272e+06	550016	1.03755e+06	1.00538e+06	544607	540455	550815	557518	563440
P16885	P16885		PLCG2			1514.06				1803.83	2038.37	1631.01	1731.11		1345.82	1594.74	1553.22	1790.18			1544.81	2146.14
P16930	P16930		FAH		642154	656688	656730	666317	653245	642235	650477	665134	662720	624357	669993	672778	657800	663086	650858	651465	661433	659197
P16949	P16949		STMN1		2.13679e+06	2.10417e+06	2.12124e+06	2.28064e+06	2.10567e+06	2.10745e+06	2.26563e+06	2.27782e+06	2.31077e+06	2.10149e+06	2.22642e+06	2.07967e+06	2.12287e+06	2.16726e+06	2.33073e+06	2.30159e+06	2.25223e+06	2.24682e+06
P16965	P16965		STF2		288947	301000	268186	291011	276880	288525	160657	170143	160644	293532	155846	324329	311014	161259	171866	171999	169121	174450
P16989	P16989		YBX3		298402	370994	301811	299886	271002	246363	413533	430001	429935	380949	414938	342944	314146	417277	440426	459258	440585	447306
P17026	P17026		ZNF22		22219.8	22732.5	20149.3	21318.7	19413.5	20895	19559.2	19268.8	20456.4	18032.4	22973.7	19082.3	20484.1	17852.5	17777.8	19669.1	17146.3	20789.8
P17028	P17028		ZNF24		74472.5	71479.6	63112.2	68038.1	65015.5	67767	66669.2	69393	69892.2	71505.5	65797.6	67458.8	66649.9	62052.4	63182.5	69161.4	72680.9	66414.4
P17029	P17029		ZKSCAN1		18795.1	18506.2	18084.9	18079.3	18847.2	18007.2	19490.6	17227.8	17881.5	17745.5	17330.7	19856.1	19966.5	16333.6	18469	19571.6	18415.2	19343.3
P17036	P17036		ZNF3		8773.14	9105.05	10965.6	9892.55	8598.25	9231.87	10867.3	6623.19	10154.1	8203.98	9608.34	11630.3	10255.8	10079.1	11325.2	8436.79	9409.04	10139.3
P17040	P17040		ZSCAN20		1575.43	1354.84			1965.94	1413.89	687.073	1119.79	884.578	761.845	1550.69			2002.85	766.322		871.308	
P17050	P17050		NAGA		20717.7	23150.3	21223.9	20065	19357.7	17059.6	20184.2	20012	23876.2	18557.3	20411.1	22340.8	20544.8	21043	23485.4	23829.2	21499.8	25755.4
P17065	P17065		SEC2		64498.1	70539.9	60750.7	72991	64244.8	64863.1	36848.2	34720.8	31589.5	62880.9	39382.9	68623.2	67384	43773.1	34129.8	38850	32275.6	35305.8
P17066	P17066		HSPA6		174868	159160	160855	168010	160097	173613	168233	162784	161898	163440	159643	169799	152345	164582	152059	158282	157498	165702
P17076	P17076		RPL8A		118079	109739	122093	111078	115007	117392	62614	60664.5	63098.4	118712	64368.2	126597	125444	65402.7	64228.7	58846.6	59594.7	61167.6
P17081	P17081		RHOQ		12245.3	13089.4	13802.2	11886.5	10544.6	10043.1	13102.9	18600.2	17026.5	17679.1	10302.6	14934.2	11467.1	11648.4	17892.9	15421.9	16345.9	18505.8
P17096	P17096		HMGA1		853011	821640	820721	783560	850446	862880	1.00079e+06	955984	972828	899237	961510	881591	937083	953875	1.002e+06	994899	1.0448e+06	964420
P17106	P17106		CBF1		84470.8	82020.8	80578.5	80130.9	80262.9	77634.7	45386.9	46556.3	45215.4	90019	46258.5	83964	82519.5	44952.3	46025.4	44261.6	45650.1	44210
P17115	P17115		gutQ		11885.4	14459.1	15123.1	16216.1		16161.2	10050.6	16671	15415.3		12313.9	14106.7	15815.6	15563.7			15047.1	12923.2
P17117	P17117		nfsA		6045.6	5200.55	5578.05	6016.18	4058.63	6407.23	19588.4	17093.9	17765	5135.25	19606.6	6532.02	6211.54	18793.9	18268.6	18482.1	18959.7	18767.9
P17121	P17121		SAC7		8962.97	7269.36	9324.27	7043.94	8444.28	7315.76	4837.01	3949.72	4399.9	6676.05	4086.73	8046.96	8046.86	4361.37	4533.82	4740.32	5393.18	4638.7
P17152	P17152		TMEM11		9271.83	8354.34	10111.3	7001.33	9533.01	8147.49	10012.3	9319.55	9287.07	8804.54	8117.4	6747.44	8085.91	8664.97	8249.36	7412.64	8540.48	8430.83
P17157	P17157		PHO85		75858.8	73496.8	77504.1	73286.9	71730.7	79835.8	44551.2	43725.1	39861.4	80760.3	45177	74597	87587.9	44955.4	42283.7	46637	42241.1	41331.3
P17169	P17169		glmS		23362.4	24190.1	26550.8	26325.5	24197.1	26541.7	88736.2	81883.5	84339.2	25814.9	86240.7	27847.2	27241.8	92709.5	88458.2	90230.1	84005.3	87853.5
P17174	P17174		GOT1		358370	362558	348655	361717	364451	346271	363635	364981	365406	345346	361827	373944	353466	384784	379217	366294	384405	391085
P17252	P17252		PRKCA		42182.3	41080.8	38347.7	39451	39923.6	38537.5	39539.5	41501	40751.1	39936	39233.6	41460.8	37778	40721.3	37246.6	41581.7	40700.1	40063.6
P17255	P17255		VMA1		1.33567e+06	1.30382e+06	1.35844e+06	1.34143e+06	1.29795e+06	1.30971e+06	743125	737497	738878	1.40249e+06	737880	1.44912e+06	1.42883e+06	739022	742624	748424	742282	755013
P17423	P17423		THR1		95328.1	93762.3	100679	110973	91508.9	100968	62638.4	59475.7	55185.6	103720	57907.1	120919	106353	60164	63372.6	62473.2	63864.6	63541.5
P17442	P17442		PHO81		50170.8	48507.4	46750.7	48167.5	48471.9	48300.5	27572.7	25596	25912.2	50125.3	26479.6	48816.2	51634.2	28278.3	27134.6	26998.5	27087.2	27014.3
P17480	P17480		UBTF		167129	170032	166422	167135	166772	160827	164148	167999	172422	160441	170939	171736	170581	171456	169154	168674	163620	170700
P17482	P17482		HOXB9		28302.6	25521.4	24470.8	25733.6	24572.1	25419.6	27732.7	24463	25168.4	26918.4	26074.4	23971.5	24224.4	25433.8	25458.5	26419.4	26035	25938.7
P17483	P17483		HOXB4		18894.6	19358.5	19391.1	19829.4	18720.4	20313.3	18571.5	15445.2	18154	16723	19323.8	23059	21434.1	19709.1	17381.9	17658	18059.2	20676.2
P17505	P17505		MDH1		285263	284849	282774	277120	276659	265782	152246	156869	156747	293943	155112	300179	312208	158995	164272	169207	164697	162304
P17535	P17535		JUND		4754.54	5058.54	5348.76	5297.71	4272.63	5053.42	4991.04	6491.38	5138.55	5082.21	4846.36	5303.13	4750.34	5148.79	5571.85	5073.63	5368.93	4817.61
P17536	P17536		TPM1		307206	311002	298340	279141	296232	279929	170634	182805	173702	366182	173774	333169	323465	171526	176718	187277	187077	169850
P17542	P17542		TAL1		48146.5	47211.9	48246.9	45621.2	45740.9	45189.9	45011	48442.6	49099.8	46663	47394.3	47639.7	48636.4	46945.3	47227.3	46387.1	46067.4	47776.6
P17544	P17544		ATF7		22294.8	21977.8	22042.5	20099.1	21301.6	18726.6	23699.1	20960.4	23213.8	23932.5	24127.8	23665.3	22524.1	23706.4	23363.3	25203.8	23576.2	25685.5
P17555	P17555		SRV2		100771	104065	100264	106976	104516	100066	60016	56342.4	57404.5	114567	58793.4	112501	113604	66589.3	58134.5	59853.8	58233.6	61028.5
P17568	P17568		NDUFB7		94008.7	87223.8	89921.4	90147.2	89326.9	94119.8	89756.7	87196.2	85330.9	79511.1	85536.2	87576.7	93987.9	85211.8	85038.8	79580.5	78836.9	85224.4
P17612	P17612		PRKACA		112314	116985	116815	111588	118480	116988	118391	117405	116456	113769	115265	113805	117272	115451	109390	115760	115956	120472
P17629	P17629		HPR1		19075.2	21610.7	21420.8	21089	16786.7	20949.9	11597.2	9887.9	10586.1	20407.3	10984.2	20225.3	22235.5	11512.3	12397.7	13301	12246.5	11489.2
P17649	P17649		UGA1		88283.1	87629.1	85475.2	90114.8	89853.1	89304.7	51192.3	49982.9	50161.7	95086.3	47624.1	95721.9	91198.1	49525.8	49501.4	48114.2	46788.9	48575.9
P17655	P17655		CAPN2		135758	134588	129108	136100	133384	127531	135362	137844	136960	134276	135525	131214	132503	132721	132775	132629	137788	131817
P17695	P17695		GRX2		271418	272411	261896	265879	268287	283592	150902	149760	147576	300714	149937	304977	302653	152465	151953	146409	138614	153369
P17706	P17706		PTPN2		23957	23291.6	20948	23731.6	23778.5	22242.1	22109.5	24624.1	24609.9	24679.3	22521.8	24368.5	21314.1	23339.1	24895.8	24550.7	22425.7	21916
P17707	P17707		AMD1		21328.4	18723.6	18224.3	23007.5	21421.6	20775.6	20638.4	23462.2	23893.5	19456.8	23098	21742.3	22997	23038.8	22042.3	23379.9	25557.4	21381.4
P17709	P17709		GLK1		823278	831688	857055	802256	824282	813256	492322	475377	465224	873427	462760	910540	888591	480201	487101	471804	476591	489109
P17812	P17812		CTPS1		339423	347316	340888	343841	327989	330855	358966	371983	365289	341839	358440	341436	333650	351847	359684	364844	369029	369541
P17844	P17844		DDX5		1.2636e+06	1.28421e+06	1.24023e+06	1.28945e+06	1.24539e+06	1.232e+06	1.2828e+06	1.34503e+06	1.32134e+06	1.27129e+06	1.28756e+06	1.30277e+06	1.25114e+06	1.29837e+06	1.36085e+06	1.3861e+06	1.33998e+06	1.35156e+06
P17846	P17846		cysI		5116.33	5424.44	8502.67	4686.19		6108.25	14315.2	14269.5	14999.1	5380.52	14894	5961.83	9344.34	14299.5	13929.2	15437.6	15681.2	13596.3
P17858	P17858		PFKL		129928	134274	128257	132334	128152	124748	129473	134769	134780	120979	131536	133661	131404	138581	135549	138731	140695	134560
P17883	P17883		SKI3		30812.6	32646.2	33828.8	32148.2	30764.7	32166.8	17582.2	18655.3	18052.1	35232.8	18027.3	37092.9	34024.1	17312.7	18253.1	20749.3	19386.2	19581.3
P17890	P17890		RPC31		11191.6	12340.9	7669.62	10305.9	8684.72	8092.67	6407.36	5419.32	5403.41	12814	6710.77	9655.66	9642.91	4779.44	6070.75	5964.1	6553.27	5889.78
P17891	P17891		CLC1		127221	130863	125493	128903	123964	129941	73011.3	70355.9	71073.9	139310	72331.8	140686	138600	71506.3	71954.6	75164.4	72224.1	70787.5
P17898	P17898		CPT1		35997.2	37631.5	43602.6	40742.1	42075.2	42666.3	28812.3	29935.2	26530.4	49485.4	21712.4	46897	44821.3	30108.8	33931.1	27917.8	29234.7	35387.2
P17952	P17952		murC			1883.1			2284.9		3758.61	3652.08	3483.25	1904.11	3959.49	1792.6	1781.44	3537.38	4764.69	3364.02	3891.36	4520.32
P17967	P17967		PDI1		1.04322e+06	1.07548e+06	1.01469e+06	1.02085e+06	998542	965856	605582	618645	592504	1.21843e+06	586924	1.12329e+06	1.07163e+06	583498	609731	602870	592518	610231
P17980	P17980		PSMC3		548116	553465	516800	528587	512158	499618	537804	561481	570364	534983	560816	586022	517473	534875	561760	570442	586287	584886
P17987	P17987		TCP1		2.25991e+06	2.29254e+06	2.31431e+06	2.24059e+06	2.22054e+06	2.13063e+06	2.35839e+06	2.42041e+06	2.41822e+06	2.29668e+06	2.34139e+06	2.40368e+06	2.32e+06	2.34102e+06	2.45532e+06	2.54357e+06	2.44782e+06	2.45052e+06
P18031	P18031		PTPN1		148426	143477	143724	145670	142027	138997	144446	148033	152134	145042	146938	144888	143652	149554	148425	150725	149981	150686
P18074	P18074		ERCC2		106883	106983	107492	105539	109951	108378	105760	106624	106835	110079	109668	110941	111958	108927	106685	107306	102679	105739
P18077	P18077		RPL35A		3044.46	2465.04	2621.1	3439.63	2853.33	3287.52	2535.61	3441.71	3575.7	3217.7	2674.62	3241.03	3375.55	3390.92	3596.78	2596.39	3205.62	2613.89
P18084	P18084		ITGB5		2343.35	3558.38	2535.53	2616.82	2269.44	2033.6	2170.56	2660.6	3221.02	1890.16	1861.6	2899.84	2888.7	1871.47	1579.57	3105.92	2183.53	2298.97
P18085	P18085		ARF4		52413.8	57727	50365	54053.3	44221.3	46361.5	54011.5	68808	65389	60477.2	58866.9	55446.7	50667	58340.2	68602.7	76081.1	69820	69927
P18124	P18124		RPL7		931819	984238	954681	935554	959169	951222	1.01446e+06	997556	958170	943192	993792	966007	954979	1.02636e+06	1.00949e+06	1.01232e+06	1.00383e+06	1.01781e+06
P18196	P18196		minC		2100.23	2066.57	2211	2258.95	1779.07	3152.78	8548.37	7029.83	7492.56	2301.3	7740.82	1923.73	1971.45	7737.4	9399.58	10269.1	7453.9	7456.12
P18206	P18206		VCL		588175	602527	583663	580373	583345	558824	649757	685182	666679	641230	641010	633755	589184	645027	675086	697750	683319	684882
P18239	P18239		PET9		127327	140052	129547	152795	125515	129647	85080.1	91941	90262.1	157674	80207.3	161646	138203	86201.9	80171.8	90373.7	85395.4	83109.5
P18390	P18390		yjjA				951.865		1084.35		2657.23	2738.97	3218.12		3336.57		814.521	2813.59	2594.8	2928.17	3010.78	2137.79
P18411	P18411		FUN14		8917.12	11050.2	8133.71	8969.78	9061.45	8379.92	4041.83	4129.03	4651.23	10588.2	4777.8	8344.09	9535.23	4628.61	3251.6	5532.04	4055.01	5004.67
P18414	P18414		ERD2		44868.9	41699.5	57925.6	48056.1	66015.1	48129.4	26528.9	22729.4	31397.6	45124.9	25304.2	50700.2	48667	25307.1	22111.3	21732.8	23661.2	21632.8
P18433	P18433		PTPRA		10119.9	10862	8796.05	11015.1	9497.94	8582.22	10995	12806.8	12662.8	12068.3	11780.9	11846.7	9197.47	12109.7	12772	10617.3	13053.6	11838.1
P18440	P18440		NAT1		35968.1	34521	36776.9	36714.2	41023.2	38668.1	40753	33155.7	35275.7	35338.2	33442.4	32951.6	34008	34136.9	32570.2	30694.4	35026.3	34621.5
P18480	P18480		SNF5		7326.38	6981.04	6560.53	5840.42	7328.96	8192.7	4043.89	3668.2	4080.58	8025.45	3989.27	8313.05	8144.09	3284.35	4331.98	3846.46	4530.6	5519.35
P18544	P18544		ARG8			24032.1	24713.1		25472.6	19127	80562.9	77299.5	80649.3				25633.4	75798.7	76849.5	87459	81756.1	79417.5
P18562	P18562		FUR1		110484	115443	109551	107100	112481	97135.7	65715.3	69075.5	66297.1	123855	63696.7	125373	111532	64410.9	65551.3	67139.8	70645.7	68940.6
P18583	P18583		SON		141032	147849	144448	146031	142133	137921	143848	149170	153181	146930	151616	150247	147992	145626	151647	153488	150923	150297
P18615	P18615		NELFE		63737.8	67313.2	59124.5	62595.8	64059.4	58969.1	67066	71493.4	66048	68117.2	68407.4	64455.1	63428.1	72411.5	68544.8	71003.7	65158.4	68793.5
P18621	P18621		RPL17		732039	730864	755981	747608	734241	728035	725205	701190	695920	720038	714200	727618	725284	704052	714045	698393	708563	698447
P18669	P18669		PGAM1		1.44352e+06	1.39651e+06	1.44499e+06	1.37145e+06	1.39757e+06	1.34632e+06	1.50715e+06	1.48509e+06	1.47005e+06	1.39114e+06	1.43792e+06	1.44516e+06	1.46928e+06	1.45046e+06	1.51434e+06	1.5058e+06	1.48775e+06	1.5149e+06
P18754	P18754		RCC1		590333	591190	581695	583889	575048	558457	596798	604455	599728	594691	600230	578396	584323	604021	595681	629444	620313	602239
P18759	P18759		SEC18		101486	103116	99102.7	98052.4	97206.4	103597	53753.7	58706.5	55118.2	112401	57021.8	106551	106615	58035.8	55673.7	55242.8	57486.6	53749.2
P18843	P18843		nadE		7998.58	9764.73	10190.6	8822.15	8926.51	8892.99	27030.2	27860.6	27009.1	10159.7	27080.9	8814.3	9145.25	27977.7	29421.7	27657.1	32244.4	25705.1
P18851	P18851		STE4		2974.18	4776.53	9869.37	7055.74	6492.12	5814.76	5889.45	6454.93	3124.69	4621.72	5031.49	5042.96	8575.01	4735.23	3803.03	6533.6	5357.6	4458.11
