Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
P0A935	MLTA_ECOLI	mltA	Membrane-bound lytic murein transglycosylase A	8	8	1.86313e+07	1.74973e+07	1.85797e+07	1.91094e+07	1.7129e+07	1.71456e+07
P0A937	BAME_ECOLI	bamE	Outer membrane protein assembly factor BamE	1	1	9.9612e+07	9.68585e+07	1.07862e+08	9.39537e+07	9.95082e+07	1.01841e+08
P0A940	BAMA_ECOLI	bamA	Outer membrane protein assembly factor BamA	38	38	7.61455e+07	7.55516e+07	7.75727e+07	7.50507e+07	7.66427e+07	7.81067e+07
P0A944	RIMI_ECOLI	rimI	Ribosomal-protein-alanine acetyltransferase	5	5	3.36645e+06	3.41316e+06	2.88214e+06	3.31916e+06	2.75158e+06	2.75803e+06
P0A948	RIMJ_ECOLI	rimJ	Ribosomal-protein-alanine acetyltransferase	1	1	642864	627852	663238	787324	723522	558060
P0A951	ATDA_ECOLI	speG	Spermidine N(1)-acetyltransferase	3	3	3.98068e+06	3.733e+06	3.00793e+06	3.54016e+06	3.15321e+06	3.64633e+06
P0A953	FABB_ECOLI	fabB	3-oxoacyl-[acyl-carrier-protein] synthase 1	15	15	1.44644e+08	1.39732e+08	1.35709e+08	1.41401e+08	1.40663e+08	1.42309e+08
P0A955	ALKH_ECOLI	eda	KHG/KDPG aldolase	7	7	1.62969e+08	1.64368e+08	1.58106e+08	1.55164e+08	1.59557e+08	1.61354e+08
P0A959	ALAA_ECOLI	alaA	Glutamate-pyruvate aminotransferase AlaA	8	8	6.36885e+06	6.59162e+06	6.74944e+06	7.36022e+06	6.55104e+06	6.37594e+06
P0A962	ASPG1_ECOLI	ansA	L-asparaginase 1	4	4	6.1864e+06	5.23565e+06	5.43245e+06	5.15167e+06	4.86555e+06	5.73244e+06
P0A964	CHEW_ECOLI	cheW	Chemotaxis protein CheW	4	4	5.05637e+07	5.08885e+07	5.12706e+07	5.25691e+07	5.15116e+07	5.11761e+07
P0A968	CSPD_ECOLI	cspD	Cold shock-like protein CspD	1	1	9.92418e+06	9.80958e+06	9.76814e+06	9.90096e+06	1.06621e+07	9.45256e+06
P0A972	CSPE_ECOLI	cspE	Cold shock-like protein CspE	7	7	1.08188e+09	1.05791e+09	1.22036e+09	1.07021e+09	1.24489e+09	1.23473e+09
P0A978	CSPG_ECOLI	cspG	Cold shock-like protein CspG	4	4	1.392e+07	1.39994e+07	1.38605e+07	1.30699e+07	1.38103e+07	1.40288e+07
P0A988	DPO3B_ECOLI	dnaN	DNA polymerase III subunit beta	11	11	2.45512e+07	2.26779e+07	2.45236e+07	2.50345e+07	2.37324e+07	2.42945e+07
P0A991	ALF1_ECOLI	fbaB	Fructose-bisphosphate aldolase class 1	12	12	3.58562e+07	3.56126e+07	3.6042e+07	3.38908e+07	3.60482e+07	3.68446e+07
P0A993	F16PA_ECOLI	fbp	Fructose-1,6-bisphosphatase class 1	14	14	9.84043e+07	9.36123e+07	9.34044e+07	9.68348e+07	9.57989e+07	9.44904e+07
P0A996	GLPC_ECOLI	glpC	Anaerobic glycerol-3-phosphate dehydrogenase subunit C	12	12	1.42917e+07	1.5877e+07	1.50783e+07	1.51124e+07	1.40459e+07	1.45478e+07
P0A998	FTNA_ECOLI	ftnA	Ferritin-1	7	7	2.59639e+08	2.57876e+08	2.54961e+08	2.46052e+08	2.59964e+08	2.62205e+08
P0A9A2	FTNB_ECOLI	ftnB	Ferritin-like protein 2	3	3	2.02769e+06	2.33371e+06	2.3932e+06	2.79015e+06	2.91428e+06	2.61824e+06
P0A9A6	FTSZ_ECOLI	ftsZ	Cell division protein FtsZ	24	24	1.26217e+08	1.28813e+08	1.2558e+08	1.24349e+08	1.2681e+08	1.24651e+08
P0A9A9	FUR_ECOLI	fur	Ferric uptake regulation protein	7	7	1.13414e+08	1.13507e+08	1.09233e+08	1.07872e+08	1.10451e+08	1.08549e+08
P0A9B2	G3P1_ECOLI	gapA	Glyceraldehyde-3-phosphate dehydrogenase A	25	24	2.38727e+09	2.29446e+09	2.39478e+09	2.28657e+09	2.42312e+09	2.36017e+09
P0A9B6	E4PD_ECOLI	epd	D-erythrose-4-phosphate dehydrogenase	6	6	6.98815e+06	7.7415e+06	7.76666e+06	7.66291e+06	7.88311e+06	7.10398e+06
P0A9C0	GLPA_ECOLI	glpA	Anaerobic glycerol-3-phosphate dehydrogenase subunit A	13	13	5.93181e+06	6.03011e+06	5.61483e+06	5.94398e+06	5.84991e+06	6.05711e+06
P0A9C3	GALM_ECOLI	galM	Aldose 1-epimerase	13	13	3.01184e+07	2.89838e+07	2.99375e+07	3.06245e+07	3.07787e+07	3.04459e+07
P0A9C5	GLNA_ECOLI	glnA	Glutamine synthetase	24	24	2.23958e+08	2.15446e+08	2.24209e+08	2.18814e+08	2.23286e+08	2.24289e+08
P0A9C9	GLPX_ECOLI	glpX	Fructose-1,6-bisphosphatase 1 class 2	13	13	1.85181e+07	1.75182e+07	1.77516e+07	1.76307e+07	1.69932e+07	1.7284e+07
P0A9D2	GSTA_ECOLI	gstA	Glutathione S-transferase GstA	7	7	1.8784e+07	2.0701e+07	2.06006e+07	2.02269e+07	1.94491e+07	1.92333e+07
P0A9D4	CYSE_ECOLI	cysE	Serine acetyltransferase	4	4	1.58335e+07	1.39302e+07	1.50414e+07	1.6409e+07	1.70581e+07	1.56912e+07
P0A9D8	DAPD_ECOLI	dapD	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	19	19	1.4737e+08	1.49975e+08	1.41739e+08	1.49509e+08	1.50136e+08	1.45839e+08
P0A9E5	FNR_ECOLI	fnr	Fumarate and nitrate reduction regulatory protein	6	6	3.52326e+07	3.58119e+07	3.53526e+07	3.57415e+07	3.5822e+07	3.58239e+07
P0A9F1	MNTR_ECOLI	mntR	Transcriptional regulator MntR	7	7	5.58062e+06	5.67613e+06	5.78635e+06	5.47237e+06	5.90256e+06	5.50217e+06
P0A9F3	CYSB_ECOLI	cysB	HTH-type transcriptional regulator CysB	13	13	1.31721e+07	1.28355e+07	1.27026e+07	1.33502e+07	1.2944e+07	1.28956e+07
P0A9F6	GCVA_ECOLI	gcvA	Glycine cleavage system transcriptional activator	2	2	795957	833440	612352	848139	667007	729860
P0A9G2	NHAR_ECOLI	nhaR	Transcriptional activator protein NhaR	3	3	3.58986e+06	4.30454e+06	4.08705e+06	4.12011e+06	3.88759e+06	4.16476e+06
P0A9G6	ACEA_ECOLI	aceA	Isocitrate lyase	11	11	2.58317e+07	2.6351e+07	2.67434e+07	2.7375e+07	2.70736e+07	2.73843e+07
P0A9G8	MODE_ECOLI	modE	Transcriptional regulator ModE	7	7	8.91193e+06	9.30273e+06	9.93389e+06	9.09543e+06	8.97012e+06	9.90187e+06
P0A9H1	MUG_ECOLI	mug	G/U mismatch-specific DNA glycosylase	5	5	6.82441e+06	4.83561e+06	6.92597e+06	5.93165e+06	5.45537e+06	6.17879e+06
P0A9H3	LDCI_ECOLI	cadA	Lysine decarboxylase, inducible	3	3	3.89985e+06	4.75355e+06	3.70308e+06	4.04861e+06	4.44966e+06	4.277e+06
P0A9H5	BTUR_ECOLI	btuR	Cob(I)yrinic acid a,c-diamide adenosyltransferase	2	2	6.08686e+06	5.1712e+06	5.20282e+06	5.87376e+06	6.19443e+06	6.63614e+06
P0A9H7	CFA_ECOLI	cfa	Cyclopropane-fatty-acyl-phospholipid synthase	11	11	1.70012e+07	1.79522e+07	1.9292e+07	1.75432e+07	1.95262e+07	1.86232e+07
P0A9H9	CHEZ_ECOLI	cheZ	Protein phosphatase CheZ	10	10	6.55727e+06	6.23614e+06	6.20278e+06	6.77069e+06	6.09413e+06	6.27751e+06
P0A9I1	CITE_ECOLI	citE	Citrate lyase subunit beta	14	14	3.33589e+07	3.42834e+07	3.3992e+07	3.22319e+07	3.49645e+07	3.39922e+07
P0A9I3	GCVR_ECOLI	gcvR	Glycine cleavage system transcriptional repressor	3	3	8.34516e+06	8.86537e+06	8.3678e+06	8.48321e+06	8.96626e+06	9.34897e+06
P0A9I8	NIRD_ECOLI	nirD	Nitrite reductase [NAD(P)H] small subunit	3	3	2.55745e+07	2.44478e+07	2.6066e+07	2.40788e+07	2.46915e+07	2.17962e+07
P0A9J0	RNG_ECOLI	rng	Ribonuclease G	10	10	3.55121e+07	3.28918e+07	3.57389e+07	3.66893e+07	3.62137e+07	3.64597e+07
P0A9J4	PANE_ECOLI	panE	2-dehydropantoate 2-reductase	5	5	7.26593e+06	7.80617e+06	7.51863e+06	7.04388e+06	7.08997e+06	7.17105e+06
P0A9J6	RBSK_ECOLI	rbsK	Ribokinase	5	5	1.05673e+07	1.04176e+07	1.01919e+07	1.07403e+07	1.04624e+07	9.94395e+06
P0A9J8	PHEA_ECOLI	pheA	P-protein	6	6	7.49952e+06	7.31014e+06	6.42378e+06	6.82569e+06	7.2178e+06	7.23351e+06
P0A9K3	PHOL_ECOLI	ybeZ	PhoH-like protein	14	14	2.75858e+07	2.7238e+07	2.79596e+07	2.7406e+07	2.66283e+07	2.73121e+07
P0A9K7	PHOU_ECOLI	phoU	Phosphate-specific transport system accessory protein PhoU	4	4	1.06164e+07	9.80365e+06	9.84872e+06	1.19355e+07	9.33119e+06	9.59533e+06
P0A9K9	SLYD_ECOLI	slyD	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD	5	5	4.88512e+08	4.93067e+08	5.16818e+08	5.2186e+08	5.07162e+08	5.11876e+08
P0A9L3	FKBB_ECOLI	fklB	FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase	9	9	1.52572e+08	1.50234e+08	1.37934e+08	1.51778e+08	1.39505e+08	1.37823e+08
P0A9L5	PPIC_ECOLI	ppiC	Peptidyl-prolyl cis-trans isomerase C	6	6	2.47509e+07	2.56194e+07	2.46857e+07	2.58582e+07	2.58182e+07	2.50151e+07
P0A9L8	P5CR_ECOLI	proC	Pyrroline-5-carboxylate reductase	2	2	1.72559e+07	1.78038e+07	1.63248e+07	1.61099e+07	1.48844e+07	1.56527e+07
P0A9M0	LON_ECOLI	lon	Lon protease	35	35	4.64152e+07	4.62487e+07	4.67826e+07	4.54667e+07	4.57056e+07	4.58647e+07
P0A9M2	HPRT_ECOLI	hpt	Hypoxanthine phosphoribosyltransferase	9	9	3.40238e+07	3.29709e+07	3.16521e+07	3.34109e+07	3.26024e+07	3.04309e+07
P0A9M5	XGPT_ECOLI	gpt	Xanthine phosphoribosyltransferase	9	9	2.27831e+08	2.18415e+08	2.22998e+08	2.07236e+08	2.32493e+08	2.37922e+08
P0A9M8	PTA_ECOLI	pta	Phosphate acetyltransferase	32	32	2.24454e+08	2.1771e+08	2.27436e+08	2.29365e+08	2.20417e+08	2.24266e+08
P0A9N4	PFLA_ECOLI	pflA	Pyruvate formate-lyase 1-activating enzyme	6	6	2.23846e+07	2.16104e+07	2.01087e+07	2.15744e+07	2.05577e+07	1.89394e+07
P0A9N8	NRDG_ECOLI	nrdG	Anaerobic ribonucleoside-triphosphate reductase-activating protein	3	3	1.50199e+06	1.1945e+06	1.09115e+06	1.04435e+06	958678	991567
P0A9P0	DLDH_ECOLI	lpdA	Dihydrolipoyl dehydrogenase	30	30	1.93928e+08	1.90487e+08	1.90856e+08	1.91977e+08	1.95936e+08	1.942e+08
P0A9P4	TRXB_ECOLI	trxB	Thioredoxin reductase	14	14	7.1857e+07	7.16743e+07	7.23615e+07	7.5049e+07	7.15386e+07	7.392e+07
P0A9P6	DEAD_ECOLI	deaD	Cold-shock DEAD box protein A	29	29	3.91081e+07	3.9652e+07	3.85932e+07	3.96892e+07	3.9151e+07	3.84616e+07
P0A9Q1	ARCA_ECOLI	arcA	Aerobic respiration control protein ArcA	15	15	2.24181e+08	2.16373e+08	2.35249e+08	2.28725e+08	2.30014e+08	2.26419e+08
P0A9Q5	ACCD_ECOLI	accD	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta	16	16	1.1995e+08	1.31185e+08	1.21218e+08	1.22296e+08	1.17911e+08	1.20978e+08
P0A9Q7	ADHE_ECOLI	adhE	Aldehyde-alcohol dehydrogenase	53	53	8.44957e+08	8.38204e+08	8.55219e+08	8.36804e+08	8.67128e+08	8.60964e+08
P0A9Q9	DHAS_ECOLI	asd	Aspartate-semialdehyde dehydrogenase	13	13	1.04791e+08	1.02663e+08	9.93379e+07	1.05808e+08	1.03631e+08	1.02344e+08
P0A9R4	FER_ECOLI	fdx	2Fe-2S ferredoxin	3	3	6.45971e+07	6.66654e+07	6.7821e+07	6.67825e+07	6.36868e+07	6.54833e+07
P0A9R7	FTSE_ECOLI	ftsE	Cell division ATP-binding protein FtsE	7	7	1.11471e+07	1.02498e+07	1.03495e+07	1.14862e+07	1.08854e+07	1.13512e+07
P0A9S1	FUCO_ECOLI	fucO	Lactaldehyde reductase	3	3	2.23445e+06	2.13224e+06	1.58126e+06	2.09064e+06	2.21858e+06	1.91136e+06
P0A9S5	GLDA_ECOLI	gldA	Glycerol dehydrogenase	8	8	9.28715e+07	8.89002e+07	8.29126e+07	9.65455e+07	9.31043e+07	8.31962e+07
P0A9T0	SERA_ECOLI	serA	D-3-phosphoglycerate dehydrogenase	12	12	4.57926e+07	4.49113e+07	4.37328e+07	4.58218e+07	4.41819e+07	4.54147e+07
P0A9T4	TAS_ECOLI	tas	Protein tas	9	9	3.45942e+07	3.29882e+07	3.54172e+07	3.55734e+07	3.4923e+07	3.55721e+07
P0A9T6	YBAQ_ECOLI	ybaQ	Uncharacterized HTH-type transcriptional regulator YbaQ	6	6	1.80896e+06	1.49352e+06	1.60599e+06	1.56701e+06	1.65445e+06	1.94236e+06
P0A9T8	YBBA_ECOLI	ybbA	Uncharacterized ABC transporter ATP-binding protein YbbA	2	2	1.92305e+06	2.20798e+06	1.96143e+06	2.31943e+06	1.92173e+06	2.00204e+06
P0A9U1	YBHF_ECOLI	ybhF	Uncharacterized ABC transporter ATP-binding protein YbhF	2	2	2.17168e+06	1.81474e+06	1.5361e+06	1.95132e+06	1.88158e+06	1.50535e+06
P0A9U3	YBIT_ECOLI	ybiT	Uncharacterized ABC transporter ATP-binding protein YbiT	21	21	3.42632e+07	3.29463e+07	3.47066e+07	3.3923e+07	3.427e+07	3.43759e+07
P0A9V1	LPTB_ECOLI	lptB	Lipopolysaccharide export system ATP-binding protein LptB	11	11	2.65526e+07	2.72794e+07	2.64086e+07	2.63587e+07	2.77642e+07	2.83082e+07
P0A9W0	ULAR_ECOLI	ulaR	HTH-type transcriptional regulator UlaR	2	2	4.0821e+06	5.30768e+06	4.17365e+06	1.54191e+06	4.93434e+06	5.75871e+06
P0A9W3	YJJK_ECOLI	yjjK	Uncharacterized ABC transporter ATP-binding protein YjjK	28	28	7.77448e+07	7.62069e+07	7.4292e+07	7.6156e+07	7.67939e+07	7.37893e+07
P0A9W6	YRBA_ECOLI	yrbA	Uncharacterized protein YrbA	3	3	6.01345e+07	5.66793e+07	5.80959e+07	5.99431e+07	5.82708e+07	5.14381e+07
P0A9W9	YRDA_ECOLI	yrdA	Protein YrdA	8	8	1.85638e+07	1.8774e+07	1.91332e+07	1.85336e+07	1.87647e+07	1.88878e+07
P0A9X4	MREB_ECOLI	mreB	Rod shape-determining protein MreB	15	15	7.15555e+07	6.93468e+07	6.92108e+07	7.10517e+07	7.08055e+07	6.90372e+07
P0A9X9	CSPA_ECOLI	cspA	Cold shock protein CspA	8	6	2.30044e+08	2.2668e+08	2.09197e+08	2.33681e+08	2.07328e+08	2.11254e+08
P0A9Y6	CSPC_ECOLI	cspC	Cold shock-like protein CspC	8	8	1.22728e+09	1.20377e+09	1.22109e+09	1.18693e+09	1.20165e+09	1.21646e+09
P0A9Z1	GLNB_ECOLI	glnB	Nitrogen regulatory protein P-II 1	6	6	8.61459e+07	8.83668e+07	8.68976e+07	9.3513e+07	8.55636e+07	8.91942e+07
P0AA04	PTHP_ECOLI	ptsH	Phosphocarrier protein HPr	5	5	2.16551e+08	2.10311e+08	3.14329e+08	2.03792e+08	3.09077e+08	2.93666e+08
P0AA10	RL13_ECOLI	rplM	50S ribosomal protein L13	14	14	6.58459e+08	6.54669e+08	6.7077e+08	7.04601e+08	6.48298e+08	6.49983e+08
P0AA16	OMPR_ECOLI	ompR	Transcriptional regulatory protein OmpR	11	11	4.64054e+07	4.53827e+07	4.69518e+07	4.56305e+07	4.80026e+07	4.79575e+07
P0AA25	THIO_ECOLI	trxA	Thioredoxin-1	7	7	3.64462e+08	3.64441e+08	3.51765e+08	3.72297e+08	3.48223e+08	3.38777e+08
P0AA31	YEDF_ECOLI	yedF	UPF0033 protein YedF	1	1	2.43488e+07	2.29047e+07	2.4512e+07	2.38131e+07	2.41873e+07	2.53801e+07
P0AA37	RLUA_ECOLI	rluA	Ribosomal large subunit pseudouridine synthase A	1	1	1.2831e+06	1.0019e+06		1.2078e+06	1.19544e+06	1.20708e+06
P0AA39	RLUC_ECOLI	rluC	Ribosomal large subunit pseudouridine synthase C	9	9	9.499e+06	1.00725e+07	9.80685e+06	1.05207e+07	9.30946e+06	1.00116e+07
P0AA41	TRUC_ECOLI	truC	tRNA pseudouridine synthase C	2	2	820631	734010	648408	860172	547997	624549
P0AA43	RSUA_ECOLI	rsuA	Ribosomal small subunit pseudouridine synthase A	7	7	1.71996e+07	1.7021e+07	1.90288e+07	1.74351e+07	1.67406e+07	1.75106e+07
P0AA47	PLAP_ECOLI	plaP	Low-affinity putrescine importer PlaP	1	1						1.1932e+06
P0AA53	QMCA_ECOLI	qmcA	Protein QmcA	4	4	3.34174e+06	2.88438e+06	3.3724e+06	3.46913e+06	3.01393e+06	2.72548e+06
P0AA57	YOBA_ECOLI	yobA	Protein YobA	2	2		4.30366e+06	3.81828e+06		4.56094e+06	694390
P0AA86	DSBE_ECOLI	dsbE	Thiol:disulfide interchange protein DsbE	2	2	4.27169e+06	4.56811e+06	4.48649e+06	3.50425e+06	4.51129e+06	4.41379e+06
P0AA91	YEAY_ECOLI	yeaY	Uncharacterized lipoprotein YeaY	4	4	3.75345e+06	3.25803e+06	3.26927e+06	3.32267e+06	3.73896e+06	3.38577e+06
P0AA93	YPDA_ECOLI	ypdA	Sensor histidine kinase YpdA	2	2	1.04346e+06	1.09251e+06	536309	804941	957536	646148
P0AA95	YACC_ECOLI	yacC	Uncharacterized protein YacC	2	2	4.65472e+06	4.5436e+06	4.80895e+06	4.91751e+06	4.435e+06	4.73186e+06
P0AA97	YAEQ_ECOLI	yaeQ	Uncharacterized protein YaeQ	2	2	3.56502e+06	4.02345e+06	3.63184e+06	2.98767e+06	3.97593e+06	3.76941e+06
P0AAA1	YAGU_ECOLI	yagU	Inner membrane protein YagU	2	2	5.72461e+07	5.57375e+07	5.46893e+07	5.82226e+07	5.55919e+07	5.66268e+07
P0AAB4	UBID_ECOLI	ubiD	3-octaprenyl-4-hydroxybenzoate carboxy-lyase	6	6	1.11411e+07	1.0644e+07	1.04465e+07	1.08854e+07	1.1053e+07	1.07836e+07
P0AAB6	GALF_ECOLI	galF	UTP--glucose-1-phosphate uridylyltransferase	11	11	1.3145e+08	1.32885e+08	1.31996e+08	1.38219e+08	1.28617e+08	1.29202e+08
P0AAB8	USPD_ECOLI	uspD	Universal stress protein D	1	1	1.5947e+07	1.69806e+07	1.67345e+07	1.50148e+07	1.60967e+07	1.55858e+07
P0AAC0	USPE_ECOLI	uspE	Universal stress protein E	10	10	4.40725e+07	4.44177e+07	4.27762e+07	4.31906e+07	4.358e+07	4.49388e+07
P0AAC8	ISCA_ECOLI	iscA	Iron-binding protein IscA	5	5	3.62767e+07	3.78058e+07	3.67824e+07	3.67646e+07	3.6168e+07	3.62801e+07
P0AAD6	SDAC_ECOLI	sdaC	Serine transporter	2	2	2.15304e+06	2.33917e+06	1.45771e+06	2.01267e+06	1.32819e+06	1.43191e+06
P0AAF6	ARTP_ECOLI	artP	Arginine transport ATP-binding protein ArtP	3	3	6.77167e+06	4.97019e+06	5.44007e+06	6.19126e+06	4.59793e+06	5.17361e+06
P0AAG3	GLTL_ECOLI	gltL	Glutamate/aspartate transport ATP-binding protein GltL	1	1	2.53037e+06		2.08127e+06	3.08458e+06		
P0AAH0	PSTB_ECOLI	pstB	Phosphate import ATP-binding protein PstB	5	5	3.22613e+06	2.61131e+06	3.35084e+06	3.02822e+06	3.22155e+06	3.25998e+06
P0AAH8	SAPF_ECOLI	sapF	Peptide transport system ATP-binding protein SapF	1	1	1.65727e+06	1.61033e+06	1.33439e+06	1.60705e+06	1.43426e+06	1.34315e+06
P0AAI3	FTSH_ECOLI	ftsH	ATP-dependent zinc metalloprotease FtsH	25	25	7.4163e+07	7.49107e+07	7.59897e+07	7.57491e+07	7.63183e+07	7.5751e+07
P0AAI5	FABF_ECOLI	fabF	3-oxoacyl-[acyl-carrier-protein] synthase 2	10	10	1.86644e+08	1.79618e+08	1.85281e+08	1.91094e+08	1.81984e+08	1.80051e+08
P0AAI9	FABD_ECOLI	fabD	Malonyl CoA-acyl carrier protein transacylase	9	9	7.2621e+07	6.99557e+07	6.57412e+07	7.12625e+07	6.95636e+07	6.78693e+07
P0AAJ3	FDNH_ECOLI	fdnH	Formate dehydrogenase, nitrate-inducible, iron-sulfur subunit	4	4	1.73152e+07	1.7176e+07	1.75244e+07	1.65484e+07	1.64655e+07	1.73007e+07
P0AAJ5	FDOH_ECOLI	fdoH	Formate dehydrogenase-O iron-sulfur subunit	5	5	1.93964e+07	1.81329e+07	1.57304e+07	1.98712e+07	1.55891e+07	1.70311e+07
P0AAJ8	HYBA_ECOLI	hybA	Hydrogenase-2 operon protein HybA	5	5	2.16394e+07	2.20804e+07	2.13596e+07	2.27498e+07	2.02648e+07	1.98469e+07
P0AAK1	HYCB_ECOLI	hycB	Formate hydrogenlyase subunit 2	2	2	4.78865e+06	5.02125e+06	5.43027e+06	4.69207e+06	5.19779e+06	5.00055e+06
P0AAL3	NAPG_ECOLI	napG	Ferredoxin-type protein NapG	2	2		263919		248805		240151
P0AAN1	HYBE_ECOLI	hybE	Hydrogenase-2 operon protein HybE	1	1	1.91667e+06	2.07361e+06	2.03768e+06	1.97418e+06	1.97962e+06	2.09971e+06
P0AAN3	HYPB_ECOLI	hypB	Hydrogenase isoenzymes nickel incorporation protein HypB	7	7	1.18562e+07	1.15085e+07	1.14556e+07	1.17599e+07	1.16737e+07	1.15478e+07
P0AAN5	YAIA_ECOLI	yaiA	Uncharacterized protein YaiA	1	1	8.45656e+06	7.85224e+06	8.03551e+06	7.36739e+06	8.02643e+06	8.22319e+06
P0AAN9	IRAP_ECOLI	iraP	Anti-adapter protein IraP	3	3	1.3284e+06	1.40657e+06	1.0664e+06	1.31727e+06	1.23674e+06	1.06699e+06
P0AAP3	FRMR_ECOLI	frmR	Transcriptional repressor FrmR	5	5	1.42643e+07	1.62021e+07	1.45294e+07	1.60247e+07	1.43537e+07	1.39753e+07
P0AAQ2	YAJD_ECOLI	yajD	Uncharacterized protein YajD	4	4	1.69004e+07	1.81298e+07	1.62549e+07	1.74514e+07	1.80081e+07	1.60872e+07
P0AAR3	YBAK_ECOLI	ybaK	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK	8	8	1.38869e+07	1.46438e+07	1.49193e+07	1.4614e+07	1.37722e+07	1.38708e+07
P0AAS0	YLAC_ECOLI	ylaC	Inner membrane protein YlaC	4	4	731878	863765	958686	856755	805689	794147
P0AAS7	YBCJ_ECOLI	ybcJ	Uncharacterized protein YbcJ	3	3	1.81851e+07	1.83683e+07	1.62897e+07	1.73921e+07	1.73478e+07	1.67626e+07
P0AAT2	YBDF_ECOLI	ybdF	Uncharacterized protein YbdF	2	2	3.53126e+06	3.18411e+06	3.27399e+06	3.68486e+06	2.48259e+06	2.67542e+06
P0AAT4	MSCM_ECOLI	mscM	Miniconductance mechanosensitive channel	5	5	7.35913e+06	7.07009e+06	6.7137e+06	6.91967e+06	6.9614e+06	7.05587e+06
P0AAT6	IOJAP_ECOLI	rsfS	Ribosomal silencing factor RsfS	6	6	1.62767e+07	1.54326e+07	1.42872e+07	1.57888e+07	1.27698e+07	1.37825e+07
P0AAT9	YBEL_ECOLI	ybeL	Uncharacterized protein YbeL	6	6	2.70442e+07	2.63683e+07	2.81974e+07	2.75658e+07	3.03406e+07	2.86043e+07
P0AAU7	YBFE_ECOLI	ybfE	Uncharacterized protein YbfE	3	3	3.33903e+06	3.78047e+06	2.97272e+06	3.45343e+06	3.82751e+06	3.50379e+06
P0AAV4	YBGJ_ECOLI	ybgJ	Uncharacterized protein YbgJ	2	2	1.29702e+06	1.18476e+06	1.07884e+06	1.39161e+06	1.0865e+06	1.27846e+06
P0AAV6	YBGS_ECOLI	ybgS	Uncharacterized protein YbgS	1	1			124683	78531.8		105835
P0AAX8	YBIS_ECOLI	ybiS	Probable L,D-transpeptidase YbiS	14	13	5.52319e+07	5.25637e+07	5.46873e+07	5.4896e+07	5.42327e+07	5.60188e+07
P0AAZ4	RARA_ECOLI	rarA	Replication-associated recombination protein A	7	7	3.73124e+06	3.87674e+06	3.69862e+06	3.47982e+06	3.78612e+06	3.83268e+06
P0AAZ7	YCAR_ECOLI	ycaR	UPF0434 protein YcaR	4	4	4.9738e+07	5.09528e+07	4.53817e+07	4.74182e+07	4.97834e+07	5.22224e+07
P0AB10	YMBA_ECOLI	ymbA	Uncharacterized lipoprotein YmbA	2	2	1.08172e+07	9.83748e+06	1.19659e+07	1.12978e+07	1.04327e+07	1.02985e+07
P0AB14	YCCJ_ECOLI	yccJ	Uncharacterized protein YccJ	4	4	2.08546e+07	1.98698e+07	1.89343e+07	1.97384e+07	2.04337e+07	1.90789e+07
P0AB18	TUSE_ECOLI	tusE	Sulfurtransferase TusE	5	5	7.17549e+06	7.20666e+06	7.19338e+06	7.15401e+06	7.53014e+06	7.02955e+06
P0AB24	EFEO_ECOLI	efeO	Iron uptake system component EfeO	16	16	3.57601e+07	3.59096e+07	3.5696e+07	3.63652e+07	3.47068e+07	3.4556e+07
P0AB26	YCEB_ECOLI	yceB	Uncharacterized lipoprotein YceB	5	5	2.42633e+07	2.62393e+07	2.51281e+07	2.61202e+07	2.48059e+07	2.52279e+07
P0AB28	YCED_ECOLI	yceD	Uncharacterized protein YceD	5	5	3.8848e+07	3.94645e+07	3.97443e+07	4.00027e+07	4.08076e+07	3.87858e+07
P0AB38	LPOB_ECOLI	lpoB	Penicillin-binding protein activator LpoB	3	3	1.82243e+07	1.71231e+07	2.19305e+07	1.75964e+07	2.10275e+07	2.06339e+07
P0AB43	YCGL_ECOLI	ycgL	Protein YcgL	9	9	6.51519e+06	6.75868e+06	6.3704e+06	7.01738e+06	6.54175e+06	6.46282e+06
P0AB46	YMGD_ECOLI	ymgD	Uncharacterized protein YmgD	4	4	1.37814e+07	1.3463e+07	1.35076e+07	1.45902e+07	1.41208e+07	1.34697e+07
P0AB52	YCHN_ECOLI	ychN	Protein YchN	3	3	1.02288e+07	8.95125e+06	8.95106e+06	1.03454e+07	8.87655e+06	9.80084e+06
