Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_03.mzML
P36143	GLG1_YEAST	GLG1	Glycogenin-1	4	4	524978	606073	601535	419424	662693	728935	610231	459967	623008					249627	299870			
P36147	PAM17_YEAST	PAM17	Presequence translocated-associated motor subunit PAM17, mitochondrial	2	2	1.25958e+07	1.43485e+07	1.89754e+07	9.39598e+06	1.49692e+07	1.38322e+07	9.81457e+06	8.78523e+06	1.17284e+07	6.95693e+06	7.24117e+06	5.88477e+06				5.70906e+06		
P36148	GPT2_YEAST	GPT2	Glycerol-3-phosphate O-acyltransferase 2	14	14	1.77606e+07	1.77799e+07	1.71348e+07	1.67431e+07	1.62699e+07	1.56266e+07	1.64339e+07	1.569e+07	1.66035e+07	7.60049e+06	7.53314e+06	6.00836e+06	6.90256e+06	6.41323e+06	7.2093e+06	7.00492e+06	6.67177e+06	7.37285e+06
P36151	YK50_YEAST	YKR070W	Mitochondrial hydrolase YKR070W	5	5	5.13811e+06	5.09485e+06	3.14897e+06	4.18791e+06	4.76724e+06	4.58473e+06	4.44005e+06	3.83806e+06	4.60673e+06	1.6921e+06	1.59065e+06	1.85911e+06			1.6716e+06	1.64306e+06		1.86124e+06
P36154	AIM29_YEAST	AIM29	Altered inheritance rate of mitochondria protein 29	6	6	1.91805e+07	1.85659e+07	1.62094e+07	1.946e+07	1.83928e+07	1.46452e+07	1.79111e+07	1.91708e+07	1.67824e+07	7.4205e+06	9.15844e+06	7.30339e+06	8.02388e+06	9.76845e+06	7.12018e+06	8.39509e+06	8.09583e+06	7.6012e+06
P36156	GSTO2_YEAST	ECM4	Glutathione S-transferase omega-like 2	5	5	4.2705e+06	3.33474e+06	3.01809e+06	2.74497e+06	3.25091e+06	3.09521e+06		3.29433e+06	3.28354e+06									
P36159	RNZ_YEAST	TRZ1	Ribonuclease Z	4	4	311693	365844	298915	201542	273725	368317	300722	256011	208534		86046.1							145565
P36160	RPF2_YEAST	RPF2	Ribosome biogenesis protein RPF2	5	5	1.09883e+06	1.96495e+06	267164	2.05995e+06	1.18804e+06	833863	1.79828e+06	1.42956e+06	1.176e+06							890190	168701	
P36161	NU133_YEAST	NUP133	Nucleoporin NUP133	11	11	1.23937e+07	1.38865e+07	1.26265e+07	9.67008e+06	1.25915e+07	1.21414e+07	1.15737e+07	1.20524e+07	1.13218e+07	5.16991e+06	5.88538e+06	4.81924e+06	4.37988e+06	5.66846e+06	4.82103e+06	4.93905e+06	5.16012e+06	5.9458e+06
P36164	TVP38_YEAST	TVP38	Golgi apparatus membrane protein TVP38	1	1	8.55492e+06		6.1755e+06			6.18476e+06		5.83881e+06	7.46042e+06									
P36165	TGL4_YEAST	TGL4	Triacylglycerol lipase 4	3	3	643820	818926	716609	626574	888256	828714	781849	697160	687916						460084			
P36166	PXL1_YEAST	PXL1	Paxillin-like protein 1	4	4		2.6788e+06			2.57582e+06	2.5001e+06	2.10164e+06	2.83252e+06	1.89571e+06									
P36169	SKG1_YEAST	SKG1	Suppressor of lethality of KEX2 GAS1 double null mutant protein 1	2	2	656187	422625	749962		439409	811415	790439	806105										
P36224	JNM1_YEAST	JNM1	Nuclear migration protein JNM1	2	2	8.81955e+06	5.96773e+06	1.09431e+07	8.60439e+06	7.44422e+06	1.00029e+07	8.20786e+06	8.28429e+06	8.84655e+06	7.24028e+06	6.63715e+06	1.21386e+07		8.91218e+06	9.15776e+06	8.34907e+06	9.10676e+06	8.99873e+06
P36404	ARL2_HUMAN	ARL2	ADP-ribosylation factor-like protein 2	8	8	1.58131e+07	1.32815e+07	1.47361e+07	1.26168e+07	1.3879e+07	1.39435e+07	1.37453e+07	1.47612e+07	1.5202e+07	1.48361e+07	1.52865e+07	1.69471e+07	1.25503e+07	1.45588e+07	1.40451e+07	1.40009e+07	1.49209e+07	1.36984e+07
P36405	ARL3_HUMAN	ARL3	ADP-ribosylation factor-like protein 3	4	4	7.03037e+06	6.87074e+06	5.55315e+06	6.25094e+06	6.56791e+06	6.65519e+06	5.99972e+06	7.43572e+06	7.10819e+06	7.45235e+06	6.80874e+06	5.98413e+06	6.23962e+06	7.30215e+06	6.70906e+06	6.56425e+06	5.91169e+06	6.70177e+06
P36406	TRI23_HUMAN	TRIM23	E3 ubiquitin-protein ligase TRIM23	1	1			3.529e+06		7.64069e+06	4.1715e+06									4.63392e+06		6.13475e+06	
P36421	SYYC_YEAST	TYS1	Tyrosine--tRNA ligase, cytoplasmic	13	13	5.33456e+07	5.09e+07	4.80702e+07	5.16534e+07	4.91792e+07	4.70012e+07	4.87642e+07	4.94103e+07	4.79255e+07	2.52027e+07	2.55241e+07	2.16054e+07	2.44379e+07	2.57254e+07	2.45219e+07	2.46372e+07	2.41449e+07	2.39753e+07
P36507	MP2K2_HUMAN	MAP2K2	Dual specificity mitogen-activated protein kinase kinase 2	15	9	3.36083e+07	3.2531e+07	3.55856e+07	3.25984e+07	3.31207e+07	3.60166e+07	3.21119e+07	3.17432e+07	3.54979e+07	3.50701e+07	3.59517e+07	3.80809e+07	3.3489e+07	3.4502e+07	3.68981e+07	3.43741e+07	3.6363e+07	3.57512e+07
P36516	RM03_YEAST	MRPL3	Large ribosomal subunit protein mL44	6	6	4.9204e+06	3.4827e+06	4.66568e+06	2.85545e+06	3.69512e+06	4.53855e+06	5.1178e+06	3.9841e+06	4.72247e+06	1.98934e+06		1.55559e+06		1.94846e+06	1.65652e+06			
P36523	RM15_YEAST	MRPL15	Large ribosomal subunit protein mL57	2	2	1.9771e+06		1.50789e+06		1.2624e+06	395269	405624	1.44373e+06	1.50195e+06	826898	753405	338174		602408			646637	527323
P36528	RM17_YEAST	MRPL17	Large ribosomal subunit protein mL46	1	1		223226			168335	179131	155327											
P36542	ATPG_HUMAN	ATP5F1C	ATP synthase F(1) complex subunit gamma, mitochondrial	8	8	9.27651e+07	9.06158e+07	9.36667e+07	1.02696e+08	9.31054e+07	9.22276e+07	9.80213e+07	9.76293e+07	9.06923e+07	9.28208e+07	9.2809e+07	9.32747e+07	1.05315e+08	9.58736e+07	9.67661e+07	9.63742e+07	9.3266e+07	9.11993e+07
P36543	VATE1_HUMAN	ATP6V1E1	V-type proton ATPase subunit E 1	7	5	3.38084e+07	3.04885e+07	2.06958e+07	2.78185e+07	3.36168e+07	2.00226e+07	3.09583e+07	3.12923e+07	2.46856e+07	3.31222e+07	3.09909e+07	1.82882e+07	3.37544e+07	3.65033e+07	2.09788e+07	2.91566e+07	2.98104e+07	2.50354e+07
P36551	HEM6_HUMAN	CPOX	Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial	10	10	4.05333e+07	3.83049e+07	3.76449e+07	3.87229e+07	3.83095e+07	3.60552e+07	3.99936e+07	4.01975e+07	3.89371e+07	3.71619e+07	3.77903e+07	3.73494e+07	3.41089e+07	3.60449e+07	3.34968e+07	3.63174e+07	3.86317e+07	3.70327e+07
P36578	RL4_HUMAN	RPL4	Large ribosomal subunit protein uL4	11	11	4.63837e+08	4.67098e+08	4.84169e+08	4.73689e+08	4.72214e+08	4.59552e+08	4.6869e+08	4.84645e+08	4.72551e+08	4.67681e+08	4.76853e+08	4.55459e+08	4.76099e+08	4.79209e+08	4.61986e+08	4.56701e+08	4.75858e+08	4.72504e+08
P36639	8ODP_HUMAN	NUDT1	Oxidized purine nucleoside triphosphate hydrolase	4	4	8.05999e+06	8.05423e+06	1.02573e+07	7.14396e+06	8.04413e+06	1.02101e+07	8.65471e+06	7.29272e+06	9.41854e+06	7.31444e+06	9.27951e+06	1.07096e+07	5.5521e+06	8.95344e+06	8.8695e+06	8.02225e+06	9.23094e+06	8.58164e+06
P36683	ACNB_ECOLI	acnB	Aconitate hydratase B	29	29	2.31332e+07	2.23834e+07	2.39495e+07	2.35277e+07	2.21892e+07	2.12228e+07	2.25749e+07	2.16356e+07	2.22824e+07	9.54974e+07	9.51113e+07	9.46845e+07	1.07076e+08	1.02509e+08	9.97218e+07	1.03287e+08	1.04006e+08	9.98249e+07
P36767	RDGC_ECOLI	rdgC	Recombination-associated protein RdgC	2	2										1.04453e+06	1.25686e+06	773289			707323			782296
P36775	LONM_YEAST	PIM1	Lon protease homolog, mitochondrial	20	20	6.36231e+07	6.66323e+07	6.58653e+07	5.09698e+07	6.06526e+07	6.09153e+07	6.00116e+07	6.04808e+07	6.23533e+07	2.90511e+07	3.00232e+07	2.68718e+07	2.50876e+07	2.94328e+07	2.76233e+07	2.97481e+07	2.84339e+07	2.86833e+07
P36776	LONM_HUMAN	LONP1	Lon protease homolog, mitochondrial	27	26	5.93825e+07	5.91491e+07	5.63037e+07	6.33087e+07	6.13837e+07	5.58517e+07	6.31451e+07	6.00207e+07	5.73691e+07	5.79569e+07	6.08616e+07	5.27296e+07	6.48841e+07	5.99631e+07	5.44885e+07	5.84492e+07	5.81085e+07	5.4901e+07
P36873	PP1G_HUMAN	PPP1CC	Serine/threonine-protein phosphatase PP1-gamma catalytic subunit	2	2	5.18881e+07	4.93005e+07	5.90144e+07	5.00926e+07	4.75599e+07	5.78666e+07	4.82725e+07	4.9155e+07	4.88346e+07	5.57155e+07	5.01408e+07	5.92549e+07	5.06011e+07	5.51629e+07	6.03374e+07	4.98618e+07	5.16431e+07	5.5047e+07
P36915	GNL1_HUMAN	GNL1	Guanine nucleotide-binding protein-like 1	13	13	1.85968e+07	1.77161e+07	1.96026e+07	1.87353e+07	1.84668e+07	1.89636e+07	1.7897e+07	1.94718e+07	1.86033e+07	1.71632e+07	1.74779e+07	1.95372e+07	1.68816e+07	1.81732e+07	1.81539e+07	1.71143e+07	1.65416e+07	1.8547e+07
P36938	PGM_ECOLI	pgm	Phosphoglucomutase	5	5										2.30996e+07	2.20882e+07	1.85346e+07	2.737e+07	2.26389e+07	2.10716e+07	2.35328e+07	2.1362e+07	2.29457e+07
P36954	RPB9_HUMAN	POLR2I	DNA-directed RNA polymerase II subunit RPB9	2	2	3.60595e+06	3.12256e+06	8.00007e+06	2.67998e+06	2.71387e+06	6.10299e+06	3.04033e+06	4.51376e+06	3.31543e+06	2.18747e+06	3.10472e+06	8.29648e+06	2.9662e+06	4.22792e+06	2.03116e+06	1.7321e+06	7.5501e+06	2.33743e+06
P36955	PEDF_HUMAN	SERPINF1	Pigment epithelium-derived factor	3	3	6.0346e+06	5.76236e+06	4.89698e+06	5.39278e+06	5.7117e+06	6.37261e+06	5.39093e+06	6.60128e+06	6.06752e+06	5.91964e+06	6.39167e+06	5.21346e+06	3.99765e+06	6.08992e+06	5.47346e+06	4.97775e+06	5.76887e+06	5.9123e+06
P36957	ODO2_HUMAN	DLST	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial	11	11	5.30531e+07	5.71791e+07	4.79789e+07	5.70987e+07	5.69821e+07	5.44198e+07	5.43975e+07	5.69987e+07	5.32804e+07	5.73776e+07	6.04773e+07	5.28432e+07	5.89744e+07	5.69684e+07	5.41613e+07	5.46391e+07	4.98436e+07	5.30541e+07
P36959	GMPR1_HUMAN	GMPR	GMP reductase 1	5	4	1.93763e+07	1.6685e+07	1.66293e+07	1.75692e+07	1.7628e+07	1.68585e+07	1.53749e+07	2.19152e+07	1.72387e+07	1.83262e+07	1.75066e+07	1.68075e+07	2.23697e+07	1.79017e+07	1.72777e+07	1.90028e+07	1.63245e+07	1.86353e+07
P36969	GPX4_HUMAN	GPX4	Phospholipid hydroperoxide glutathione peroxidase GPX4	5	5	2.18551e+07	2.45842e+07	1.95411e+07	2.36909e+07	2.47675e+07	2.26616e+07	2.46818e+07	2.47639e+07	2.24376e+07	2.52196e+07	2.59677e+07	2.34577e+07	2.5964e+07	2.63876e+07	2.32738e+07	2.35721e+07	2.48487e+07	2.41948e+07
P36973	APT2_YEAST	APT2	Adenine phosphoribosyltransferase 2	1	1	1.71031e+06	1.16333e+06	392774	1.78259e+06	1.19391e+06	754380	1.00473e+06	575513	847177		476295					583486	497281	
P37012	PGM2_YEAST	PGM2	Phosphoglucomutase 2	19	16	2.4752e+08	2.45614e+08	2.58002e+08	2.43075e+08	2.30352e+08	2.27733e+08	2.31887e+08	2.24524e+08	2.31316e+08	1.20067e+08	1.18413e+08	1.22108e+08	1.16983e+08	1.1461e+08	1.18418e+08	1.13724e+08	1.16851e+08	1.1394e+08
P37020	GEF1_YEAST	GEF1	Anion/proton exchange transporter GEF1	1	1	419877	571675	396681		477311	493385	295146	486719	546824									
P37051	PURU_ECOLI	purU	Formyltetrahydrofolate deformylase	3	3										2.60171e+06	1.97538e+06	722492	2.06718e+06	1.89994e+06	966808	1.76649e+06	1.48789e+06	1.32832e+06
P37095	PEPB_ECOLI	pepB	Peptidase B	9	9	2.05144e+06	2.04318e+06	2.47948e+06	2.60664e+06	1.76381e+06	2.17515e+06	2.63696e+06	2.379e+06	1.70248e+06	1.09658e+07	1.04759e+07	1.13987e+07	9.98411e+06	1.05945e+07	1.07486e+07	1.06351e+07	1.1194e+07	1.10201e+07
P37108	SRP14_HUMAN	SRP14	Signal recognition particle 14 kDa protein	6	6	1.82904e+08	1.75275e+08	1.81596e+08	1.95806e+08	1.85061e+08	1.72808e+08	1.74781e+08	1.85397e+08	1.72412e+08	1.80863e+08	1.76011e+08	1.74748e+08	2.17119e+08	1.91719e+08	1.82854e+08	1.62973e+08	1.66749e+08	1.70277e+08
P37198	NUP62_HUMAN	NUP62	Nuclear pore glycoprotein p62	10	10	4.27441e+07	4.12764e+07	3.59962e+07	4.13992e+07	4.37785e+07	3.57338e+07	4.35564e+07	4.3513e+07	3.90677e+07	4.69496e+07	4.25284e+07	3.59809e+07	3.97668e+07	4.51818e+07	3.38788e+07	3.9669e+07	4.0051e+07	3.80626e+07
P37235	HPCL1_HUMAN	HPCAL1	Hippocalcin-like protein 1	9	4	1.66882e+07	1.71721e+07	1.56765e+07	1.81231e+07	1.80572e+07	1.52927e+07	1.86702e+07	1.81882e+07	1.64806e+07	1.62293e+07	1.78857e+07	1.32832e+07	1.80807e+07	1.78716e+07	1.62839e+07	1.71532e+07	1.64159e+07	1.59276e+07
P37254	ADCS_YEAST	ABZ1	Aminodeoxychorismate synthase	2	2		4.60087e+06	4.84894e+06	2.27727e+06	3.37085e+06	3.86739e+06	5.64595e+06	5.48607e+06	5.21794e+06					2.79626e+06				
P37262	SOL2_YEAST	SOL2	6-phosphogluconolactonase-like protein 2	2	2	3.93146e+06	3.54192e+06	3.48029e+06	3.37327e+06	3.43556e+06	2.99463e+06	3.8395e+06	4.15264e+06	3.8499e+06	1.57444e+06	1.34272e+06	999981		1.56013e+06	1.11112e+06	1.19321e+06	1.08057e+06	1.40991e+06
P37263	YC16_YEAST	YCR087C-A	UPF0743 protein YCR087C-A	4	4	3.12321e+06	2.22279e+06	1.39122e+06	3.0634e+06	3.22761e+06	2.64251e+06	2.06266e+06	2.4786e+06	2.60742e+06		1.62079e+06	705856		1.26442e+06			995174	
P37267	CBP4_YEAST	CBP4	Assembly factor CBP4	1	1	1.04858e+07	1.13139e+07	1.06335e+07		8.90048e+06	8.77104e+06	5.40769e+06	1.01727e+07	8.67558e+06									
P37268	FDFT_HUMAN	FDFT1	Squalene synthase	5	5	1.16491e+06	1.49936e+06	837489	1.72301e+06	1.66616e+06	1.97081e+06	822669	1.58839e+06	1.50826e+06	1.75645e+06	1.70048e+06	1.48479e+06	818399	1.54499e+06	1.50703e+06	1.54278e+06	1.59692e+06	1.78563e+06
P37291	GLYC_YEAST	SHM2	Serine hydroxymethyltransferase, cytosolic	22	21	4.73486e+08	4.58216e+08	4.84695e+08	4.40865e+08	4.33821e+08	4.56936e+08	4.65608e+08	4.54163e+08	4.71928e+08	2.17791e+08	2.14499e+08	2.32228e+08	1.82258e+08	2.0996e+08	2.15903e+08	2.17564e+08	2.28438e+08	2.20532e+08
P37292	GLYM_YEAST	SHM1	Serine hydroxymethyltransferase, mitochondrial	16	16	2.71097e+07	2.63897e+07	2.5612e+07	2.60148e+07	2.45555e+07	2.37048e+07	2.49347e+07	2.64905e+07	2.36382e+07	1.21941e+07	1.22299e+07	1.05296e+07	1.17148e+07	1.21583e+07	1.15722e+07	1.14202e+07	1.17736e+07	1.20105e+07
P37296	VPP2_YEAST	STV1	V-type proton ATPase subunit a, Golgi isoform	5	5	1.14436e+07	1.24348e+07	1.60031e+07	1.00219e+07	1.09803e+07	1.34291e+07	1.17256e+07	1.06693e+07	1.23142e+07	4.96566e+06	5.0001e+06	6.14478e+06	4.5601e+06	5.30208e+06	5.65877e+06	5.42743e+06	5.39515e+06	5.17325e+06
P37297	STT4_YEAST	STT4	Phosphatidylinositol 4-kinase STT4	7	7	3.55462e+06	3.37031e+06	4.00027e+06	2.50865e+06	3.25256e+06	3.98095e+06	3.50266e+06	3.10451e+06	3.53214e+06		1.74145e+06							
P37302	APE3_YEAST	APE3	Aminopeptidase Y	8	8	9.27886e+07	9.54187e+07	9.88983e+07	9.5547e+07	8.5514e+07	8.92417e+07	9.19709e+07	7.891e+07	8.39367e+07	4.03577e+07	4.41398e+07	4.59226e+07	4.24859e+07	3.8403e+07	4.11443e+07	4.40141e+07	4.39546e+07	3.95013e+07
P37303	GLY1_YEAST	GLY1	Low specificity L-threonine aldolase	6	6	6.13042e+06	6.24314e+06	6.20862e+06	4.90595e+06	5.63445e+06	6.3134e+06	5.78896e+06	6.60734e+06	6.36076e+06	2.40964e+06	2.12256e+06	2.40693e+06	1.60014e+06	2.71278e+06	2.44301e+06	2.50096e+06	2.71866e+06	2.3122e+06
P37304	PAM1_YEAST	PAM1	Protein PAM1	5	5	1.60767e+06	1.81041e+06	1.33795e+06	1.64724e+06	1.48228e+06	1.74624e+06	1.7059e+06	1.64358e+06	1.48464e+06	793191	1.00334e+06	638605	781203		1.11363e+06	972889	802899	
P37329	MODA_ECOLI	modA	Molybdate-binding protein ModA	4	4										3.8834e+06	4.37859e+06	4.20062e+06	1.91582e+06	3.87681e+06	4.82806e+06	3.65419e+06	4.52374e+06	4.6965e+06
P37330	MASZ_ECOLI	glcB	Malate synthase G	14	14	1.95599e+07	2.69907e+07	2.65178e+07	2.50167e+07	2.59056e+07	2.44287e+07	2.74406e+07	2.17754e+07	2.55982e+07	7.52192e+07	7.97727e+07	7.33814e+07	8.22121e+07	8.34753e+07	7.06101e+07	8.5218e+07	8.81201e+07	8.35346e+07
P37366	CCL1_YEAST	CCL1	Cyclin CCL1	2	2	414321	176690	242412		202767	208356	163244	92409.2	211109									
P37370	VRP1_YEAST	VRP1	Verprolin	8	8	5.1863e+06	5.24778e+06	5.85323e+06	4.24981e+06	4.91943e+06	5.87917e+06	4.90932e+06	5.03227e+06	5.75961e+06	2.45598e+06	2.36963e+06	2.73079e+06	1.27267e+06	2.30023e+06	2.38652e+06	2.0818e+06	2.27537e+06	2.42853e+06
P37387	XYLF_ECOLI	xylF	D-xylose-binding periplasmic protein	3	3										950311	1.16945e+06	834391	997696	1.01338e+06	1.08705e+06	960479	1.31539e+06	911271
P37647	KDGK_ECOLI	kdgK	2-dehydro-3-deoxygluconokinase	5	5	2.34011e+07	2.18762e+07	2.59375e+07	2.13539e+07	2.04456e+07	2.08647e+07	2.0249e+07	2.23908e+07	2.2188e+07	8.69804e+07	8.75508e+07	9.43872e+07	8.82203e+07	9.60067e+07	1.02252e+08	9.05019e+07	9.83501e+07	9.56558e+07
P37648	YHJJ_ECOLI	yhjJ	Protein YhjJ	1	1										379416	356324	404860	362718	370974	438154	151822	481976	544489
P37666	GHRB_ECOLI	ghrB	Glyoxylate/hydroxypyruvate reductase B	4	4										9.26201e+06	9.8633e+06	9.42191e+06	9.84922e+06	1.1085e+07	1.03927e+07	9.28334e+06	1.10801e+07	1.03779e+07
P37685	ALDB_ECOLI	aldB	Aldehyde dehydrogenase B	9	9	1.63713e+07	1.6283e+07	1.6039e+07	1.63391e+07	1.4573e+07	1.39722e+07	1.6163e+07	1.73178e+07	1.39606e+07	6.77254e+07	6.29724e+07	6.78597e+07	6.48797e+07	7.06269e+07	6.78554e+07	6.69687e+07	6.74225e+07	6.64843e+07
P37689	GPMI_ECOLI	gpmI	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	3	3										1.35168e+06	1.35198e+06	1.18102e+06	1.40529e+06	1.5774e+06	1.47128e+06	1.95584e+06	1.51969e+06	1.60508e+06
P37744	RMLA1_ECOLI	rfbA	Glucose-1-phosphate thymidylyltransferase 1	5	4										3.0108e+06	3.3999e+06	2.3494e+06	3.03957e+06	3.07975e+06	3.04324e+06	3.54237e+06	3.09324e+06	3.32554e+06
P37747	GLF_ECOLI	glf	UDP-galactopyranose mutase	5	5										1.63086e+07	1.70847e+07	1.68564e+07	1.4209e+07	1.69078e+07	1.83868e+07	1.84329e+07	1.76076e+07	1.80476e+07
P37759	RMLB1_ECOLI	rfbB	dTDP-glucose 4,6-dehydratase 1	5	5										4.0643e+06	4.3068e+06	3.91594e+06	1.2469e+06	4.05122e+06	3.03742e+06	3.53219e+06	4.03369e+06	3.64242e+06
P37769	KDUD_ECOLI	kduD	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase	16	16	2.09426e+07	2.73247e+07	2.00127e+07	2.60129e+07	2.49287e+07	2.18491e+07	2.94953e+07	2.56961e+07	2.20395e+07	9.03858e+07	1.05253e+08	8.87994e+07	1.07476e+08	1.07591e+08	9.47918e+07	1.18415e+08	1.01619e+08	1.00168e+08
P37773	MPL_ECOLI	mpl	UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptandioate ligase	2	2										565114	923562	699214		833994	598242	863731	734187	817888
P37774	TCYN_ECOLI	tcyN	L-cystine transport system ATP-binding protein TcyN	1	1		7.75978e+06		8.32613e+06		5.98838e+06	5.82486e+06	6.11684e+06				3.67184e+06		7.33425e+06	6.3048e+06	6.2255e+06	5.53753e+06	6.95044e+06
P37802	TAGL2_HUMAN	TAGLN2	Transgelin-2	9	8	5.26872e+08	5.67569e+08	5.10688e+08	4.67804e+08	5.52237e+08	4.83282e+08	6.67236e+08	6.42616e+08	5.87993e+08	1.68955e+08	1.30318e+08	1.94472e+08	2.57883e+08	3.20878e+08	2.94283e+08	5.1539e+08	4.7393e+08	4.29638e+08
P37837	TALDO_HUMAN	TALDO1	Transaldolase	13	13	4.31824e+08	4.47353e+08	4.5734e+08	4.4704e+08	4.45829e+08	4.67108e+08	4.68946e+08	4.54096e+08	4.62718e+08	3.93081e+08	3.57639e+08	3.87922e+08	3.76988e+08	3.57469e+08	3.93922e+08	4.35634e+08	4.28223e+08	4.0513e+08
P37838	NOP4_YEAST	NOP4	Nucleolar protein 4	3	3	5.86209e+06	5.30943e+06	6.52119e+06	3.9003e+06	5.73042e+06	5.37559e+06	4.44917e+06	4.94046e+06	5.25391e+06	1.33803e+06	2.50526e+06			964928	1.70536e+06			1.97734e+06
P37840	SYUA_HUMAN	SNCA	Alpha-synuclein	5	3	4.61664e+06	4.74742e+06	6.94809e+06	5.27498e+06	5.21546e+06	7.22518e+06	5.62354e+06		4.21223e+06	5.54906e+06	6.52241e+06	6.60592e+06	6.46199e+06	4.47734e+06	4.18089e+06	6.00399e+06	5.74325e+06	4.68644e+06
P37898	AAP1_YEAST	AAP1	Alanine/arginine aminopeptidase	22	22	2.19309e+07	2.25385e+07	2.30412e+07	2.22265e+07	2.01424e+07	2.04172e+07	2.28106e+07	2.09577e+07	2.08308e+07	9.71062e+06	9.38565e+06	8.43096e+06	8.80451e+06	9.40178e+06	9.173e+06	1.01545e+07	9.72503e+06	1.02659e+07
P37902	GLTI_ECOLI	gltI	Glutamate/aspartate import solute-binding protein	6	6	4.60221e+06	5.633e+06	6.5776e+06	5.41955e+06	4.86308e+06	5.26001e+06	5.19012e+06	4.26109e+06	4.70285e+06	1.79373e+07	1.73098e+07	2.16145e+07	1.91933e+07	1.88068e+07	2.1779e+07	2.05445e+07	2.01475e+07	2.14688e+07
P37903	USPF_ECOLI	uspF	Universal stress protein F	4	4	2.19905e+06	2.56166e+06	2.78341e+06	2.83327e+06	2.95529e+06	2.31854e+06	2.15923e+06	2.77457e+06	2.0898e+06	9.79896e+06	1.34925e+07	1.34468e+07	1.40377e+07	1.31438e+07	1.29978e+07	1.30918e+07	1.18448e+07	1.11113e+07
P38009	PUR92_YEAST	ADE17	Bifunctional purine biosynthesis protein ADE17	21	15	2.21854e+08	2.31753e+08	2.45679e+08	2.18597e+08	2.06735e+08	2.18774e+08	2.22837e+08	2.1341e+08	2.19041e+08	1.05826e+08	9.96635e+07	1.05878e+08	9.46663e+07	9.67822e+07	9.72636e+07	1.03668e+08	1.04031e+08	1.01232e+08
P38011	GBLP_YEAST	ASC1	Small ribosomal subunit protein RACK1	10	10	3.58366e+08	3.59627e+08	4.39182e+08	2.60118e+08	3.40702e+08	3.74502e+08	3.67019e+08	3.69506e+08	3.74497e+08	1.34074e+08	1.56507e+08	1.66236e+08	8.36462e+07	1.40928e+08	1.57908e+08	1.61202e+08	1.56313e+08	1.59418e+08
