Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
P0A7T3	RS16_ECOLI	rpsP	30S ribosomal protein S16	9	9	6.47457e+08	6.58694e+08	6.67533e+08	6.526e+08	6.66329e+08	6.46637e+08
P0A7T7	RS18_ECOLI	rpsR	30S ribosomal protein S18	6	6	5.69829e+08	5.69396e+08	5.5058e+08	5.79463e+08	5.45094e+08	5.48571e+08
P0A7U3	RS19_ECOLI	rpsS	30S ribosomal protein S19	7	7	8.11908e+08	8.09503e+08	7.97077e+08	8.28343e+08	7.62842e+08	7.80897e+08
P0A7U7	RS20_ECOLI	rpsT	30S ribosomal protein S20	6	6	3.67866e+08	3.61886e+08	3.7977e+08	3.66289e+08	3.6598e+08	3.5811e+08
P0A7V0	RS2_ECOLI	rpsB	30S ribosomal protein S2	18	18	4.80194e+08	4.79719e+08	4.95731e+08	4.79831e+08	4.88533e+08	4.77115e+08
P0A7V3	RS3_ECOLI	rpsC	30S ribosomal protein S3	18	18	7.59455e+08	7.40031e+08	7.58715e+08	7.54209e+08	7.69929e+08	7.34e+08
P0A7V8	RS4_ECOLI	rpsD	30S ribosomal protein S4	17	17	9.09492e+08	9.08766e+08	9.00032e+08	8.65891e+08	9.69374e+08	9.3121e+08
P0A7W1	RS5_ECOLI	rpsE	30S ribosomal protein S5	14	14	1.04371e+09	1.03553e+09	9.60934e+08	1.00381e+09	9.95965e+08	9.91126e+08
P0A7W7	RS8_ECOLI	rpsH	30S ribosomal protein S8	6	6	2.99507e+08	3.00517e+08	3.1484e+08	3.06971e+08	2.76102e+08	2.82517e+08
P0A7X3	RS9_ECOLI	rpsI	30S ribosomal protein S9	8	8	6.11172e+08	6.05438e+08	5.8564e+08	6.29138e+08	6.14923e+08	5.87433e+08
P0A7X6	RIMM_ECOLI	rimM	Ribosome maturation factor RimM	11	11	3.6301e+07	3.63638e+07	3.66694e+07	3.61323e+07	3.6769e+07	3.51739e+07
P0A7Y0	RNC_ECOLI	rnc	Ribonuclease 3	10	10	3.54519e+07	3.58034e+07	3.68279e+07	3.64916e+07	3.607e+07	3.60784e+07
P0A7Y4	RNH_ECOLI	rnhA	Ribonuclease HI	1	1	2.45109e+06	2.87735e+06	2.12932e+06		2.78599e+06	2.49573e+06
P0A7Y8	RNPA_ECOLI	rnpA	Ribonuclease P protein component	4	4	7.04946e+06	6.63219e+06	6.67258e+06	6.51142e+06	7.1749e+06	6.84029e+06
P0A7Z0	RPIA_ECOLI	rpiA	Ribose-5-phosphate isomerase A	7	7	1.00579e+08	9.59674e+07	1.01818e+08	9.88865e+07	9.78996e+07	1.01778e+08
P0A7Z4	RPOA_ECOLI	rpoA	DNA-directed RNA polymerase subunit alpha	19	19	5.69051e+08	5.61948e+08	5.46224e+08	5.56747e+08	5.5151e+08	5.60321e+08
P0A800	RPOZ_ECOLI	rpoZ	DNA-directed RNA polymerase subunit omega	8	8	2.53481e+08	2.53956e+08	2.51387e+08	2.49322e+08	2.5758e+08	2.55255e+08
P0A805	RRF_ECOLI	frr	Ribosome-recycling factor	10	10	1.21178e+08	1.1512e+08	1.12965e+08	1.1186e+08	1.16868e+08	1.20208e+08
P0A809	RUVA_ECOLI	ruvA	Holliday junction ATP-dependent DNA helicase RuvA	2	2	2.80976e+06	2.66295e+06	2.76519e+06	2.6361e+06	2.59952e+06	2.35092e+06
P0A812	RUVB_ECOLI	ruvB	Holliday junction ATP-dependent DNA helicase RuvB	7	7	1.27329e+08	1.17634e+08	1.33847e+08	1.21049e+08	1.4355e+08	1.24006e+08
P0A817	METK_ECOLI	metK	S-adenosylmethionine synthase	16	16	9.623e+07	9.00083e+07	9.9384e+07	9.42872e+07	9.47526e+07	9.70885e+07
P0A821	SELA_ECOLI	selA	L-seryl-tRNA(Sec) selenium transferase	13	13	8.73402e+06	9.53478e+06	9.05774e+06	9.20313e+06	9.21861e+06	8.77614e+06
P0A823	SFSA_ECOLI	sfsA	Sugar fermentation stimulation protein A	3	3	1.65526e+06	1.68845e+06	1.54282e+06	1.61064e+06	1.77872e+06	1.54218e+06
P0A825	GLYA_ECOLI	glyA	Serine hydroxymethyltransferase	17	17	1.93456e+08	1.93336e+08	1.95924e+08	2.00019e+08	1.92773e+08	1.8613e+08
P0A832	SSRP_ECOLI	smpB	SsrA-binding protein	3	3	1.96745e+07	1.99305e+07	1.97997e+07	1.98118e+07	2.0546e+07	2.06134e+07
P0A836	SUCC_ECOLI	sucC	Succinyl-CoA ligase [ADP-forming] subunit beta	18	18	3.55365e+07	3.50542e+07	3.39651e+07	3.57527e+07	3.68859e+07	3.53264e+07
P0A840	SURE_ECOLI	surE	5'/3'-nucleotidase SurE	6	6	5.88942e+06	6.02486e+06	6.04299e+06	6.2864e+06	5.77479e+06	6.19205e+06
P0A843	TATE_ECOLI	tatE	Sec-independent protein translocase protein TatE	3	3	6.07937e+07	5.96551e+07	5.73277e+07	6.01237e+07	5.84229e+07	5.70549e+07
P0A847	TGT_ECOLI	tgt	Queuine tRNA-ribosyltransferase	14	14	1.95029e+07	1.89487e+07	1.90965e+07	1.88442e+07	1.95198e+07	1.97513e+07
P0A850	TIG_ECOLI	tig	Trigger factor	46	46	6.79219e+08	6.78045e+08	6.74874e+08	6.76856e+08	6.67499e+08	6.61018e+08
P0A853	TNAA_ECOLI	tnaA	Tryptophanase	10	10	1.38056e+07	1.39666e+07	1.38689e+07	1.35864e+07	1.40117e+07	1.40762e+07
P0A855	TOLB_ECOLI	tolB	Protein TolB	17	17	7.56224e+07	7.51796e+07	7.49767e+07	7.80415e+07	7.45641e+07	7.40058e+07
P0A858	TPIS_ECOLI	tpiA	Triosephosphate isomerase	12	12	5.39162e+08	5.32545e+08	5.28609e+08	5.35014e+08	5.32758e+08	5.32094e+08
P0A862	TPX_ECOLI	tpx	Thiol peroxidase	7	7	3.02994e+08	2.93751e+08	2.87278e+08	2.94291e+08	2.99833e+08	2.95385e+08
P0A867	TALA_ECOLI	talA	Transaldolase A	14	14	2.18514e+07	2.18911e+07	2.21776e+07	2.08326e+07	2.20052e+07	2.19372e+07
P0A870	TALB_ECOLI	talB	Transaldolase B	22	22	3.14996e+08	3.0359e+08	3.08683e+08	3.0878e+08	3.13021e+08	3.13069e+08
P0A873	TRMD_ECOLI	trmD	tRNA (guanine-N(1)-)-methyltransferase	5	5	1.52047e+07	1.55644e+07	1.56314e+07	1.47147e+07	1.65439e+07	1.46268e+07
P0A877	TRPA_ECOLI	trpA	Tryptophan synthase alpha chain	6	6	5.04244e+06	4.91085e+06	4.7313e+06	5.64704e+06	4.86974e+06	4.86072e+06
P0A879	TRPB_ECOLI	trpB	Tryptophan synthase beta chain	3	3	2.81809e+06	2.19817e+06	2.52194e+06	2.66175e+06	2.50594e+06	2.44791e+06
P0A881	TRPR_ECOLI	trpR	Trp operon repressor	2	2	5.52172e+06	5.85621e+06	6.24394e+06	5.43072e+06	5.54883e+06	6.28237e+06
P0A884	TYSY_ECOLI	thyA	Thymidylate synthase	8	8	3.12634e+07	3.10973e+07	3.27924e+07	3.47471e+07	3.24813e+07	3.17246e+07
P0A887	UBIE_ECOLI	ubiE	Ubiquinone/menaquinone biosynthesis methyltransferase ubiE	10	10	5.02034e+07	5.05071e+07	4.81292e+07	5.04755e+07	5.07824e+07	4.83617e+07
P0A890	TUSA_ECOLI	tusA	Sulfurtransferase TusA	3	3	3.6504e+07	3.56743e+07	3.61168e+07	3.695e+07	3.8001e+07	3.90831e+07
P0A894	YHBJ_ECOLI	yhbJ	UPF0042 nucleotide-binding protein YhbJ	7	7	8.41071e+06	8.62038e+06	8.47129e+06	8.66354e+06	8.98943e+06	8.63345e+06
P0A898	YBEY_ECOLI	ybeY	Endoribonuclease YbeY	1	1	3.88528e+07	3.77464e+07	3.58857e+07	3.64159e+07	3.66438e+07	3.72117e+07
P0A8A0	YEBC_ECOLI	yebC	Probable transcriptional regulatory protein YebC	6	6	1.50145e+07	1.56096e+07	1.63614e+07	1.60793e+07	1.56015e+07	1.6037e+07
P0A8A2	YEEN_ECOLI	yeeN	Probable transcriptional regulatory protein YeeN	8	8	6.62819e+07	6.79022e+07	6.77172e+07	6.76707e+07	6.80124e+07	6.84845e+07
P0A8A4	PSRP_ECOLI	ppsR	Phosphoenolpyruvate synthase regulatory protein	4	4	7.16084e+06	7.21786e+06	7.84895e+06	7.14908e+06	6.61655e+06	7.39916e+06
P0A8A8	RIMP_ECOLI	rimP	Ribosome maturation factor RimP	3	3	3.64227e+07	3.64875e+07	3.53204e+07	3.7464e+07	3.1133e+07	3.17592e+07
P0A8B2	YFCN_ECOLI	yfcN	UPF0115 protein YfcN	4	4	5.50952e+06	6.07582e+06	6.08485e+06	5.6867e+06	5.71306e+06	5.56827e+06
P0A8B5	YBAB_ECOLI	ybaB	Nucleoid-associated protein YbaB	3	3	2.96453e+07	2.94193e+07	3.13588e+07	3.03698e+07	2.97968e+07	2.86959e+07
P0A8C1	YBJQ_ECOLI	ybjQ	UPF0145 protein YbjQ	1	1	2.5717e+07	2.52954e+07	2.1184e+07	2.04397e+07	2.86712e+07	2.69502e+07
P0A8C4	YGFB_ECOLI	ygfB	UPF0149 protein YgfB	2	2	2.49952e+07	2.44197e+07	2.64866e+07	2.54074e+07	2.6833e+07	2.66755e+07
P0A8D0	NRDR_ECOLI	nrdR	Transcriptional repressor NrdR	4	4	4.72251e+06	4.86084e+06	5.45148e+06	5.02433e+06	5.30643e+06	5.24251e+06
P0A8D3	YAII_ECOLI	yaiI	UPF0178 protein YaiI	3	3	5.72176e+06	6.03088e+06	5.89696e+06	5.61412e+06	5.3552e+06	5.63476e+06
P0A8D6	YMDB_ECOLI	ymdB	O-acetyl-ADP-ribose deacetylase	5	5	5.24243e+06	5.37124e+06	5.3617e+06	5.4367e+06	5.13824e+06	5.49028e+06
P0A8E1	YCFP_ECOLI	ycfP	UPF0227 protein YcfP	8	8	5.55455e+07	5.59806e+07	5.42471e+07	5.58808e+07	5.62175e+07	5.66533e+07
P0A8E5	YACL_ECOLI	yacL	UPF0231 protein YacL	1	1	2.24295e+06	2.15108e+06	2.5601e+06	2.32843e+06	1.87287e+06	1.91651e+06
P0A8E7	YAJQ_ECOLI	yajQ	UPF0234 protein YajQ	11	11	1.65843e+08	1.64614e+08	1.56195e+08	1.62642e+08	1.53658e+08	1.58718e+08
P0A8F0	UPP_ECOLI	upp	Uracil phosphoribosyltransferase	15	15	2.33379e+08	2.2903e+08	2.14454e+08	2.22066e+08	2.19501e+08	2.25133e+08
P0A8F4	URK_ECOLI	udk	Uridine kinase	7	7	2.30924e+07	2.30912e+07	2.5119e+07	2.45716e+07	2.54336e+07	2.40601e+07
P0A8F8	UVRB_ECOLI	uvrB	UvrABC system protein B	5	5	4.65554e+06	4.57148e+06	4.75975e+06	5.06834e+06	4.97053e+06	4.64121e+06
P0A8G0	UVRC_ECOLI	uvrC	UvrABC system protein C	2	2	1.72056e+06	1.69145e+06	2.05378e+06		1.59251e+06	1.90746e+06
P0A8G3	UXAC_ECOLI	uxaC	Uronate isomerase	10	10	5.22677e+06	5.58344e+06	5.52943e+06	5.7665e+06	6.00388e+06	5.37235e+06
P0A8G6	WRBA_ECOLI	wrbA	Flavoprotein WrbA	11	11	9.1794e+07	8.83478e+07	8.84305e+07	9.00377e+07	9.18603e+07	8.85927e+07
P0A8G9	EX7S_ECOLI	xseB	Exodeoxyribonuclease 7 small subunit	3	3	3.23393e+07	3.21483e+07	3.13794e+07	3.26457e+07	3.43867e+07	3.26518e+07
P0A8I1	RUVX_ECOLI	yqgF	Putative Holliday junction resolvase	4	4	5.58977e+06	5.67562e+06	5.52418e+06	5.38354e+06	5.78446e+06	5.80863e+06
P0A8I3	YAAA_ECOLI	yaaA	UPF0246 protein YaaA	6	6	4.36346e+07	4.42324e+07	4.49692e+07	4.46765e+07	4.33148e+07	4.34007e+07
P0A8I5	TRMB_ECOLI	trmB	tRNA (guanine-N(7)-)-methyltransferase	4	4	3.97588e+07	4.19277e+07	4.39063e+07	4.17591e+07	4.44891e+07	4.15309e+07
P0A8I8	RLMH_ECOLI	rlmH	Ribosomal RNA large subunit methyltransferase H	6	6	1.18605e+07	1.12666e+07	1.15556e+07	1.16801e+07	1.18278e+07	1.15301e+07
P0A8J2	DNAT_ECOLI	dnaT	Primosomal protein 1	2	2	6.58556e+06	6.5952e+06	6.353e+06	7.21495e+06	6.31193e+06	6.11778e+06
P0A8J4	YBED_ECOLI	ybeD	UPF0250 protein YbeD	3	3	6.42302e+07	5.93607e+07	6.28692e+07	6.47885e+07	6.13575e+07	6.26455e+07
P0A8J8	RHLB_ECOLI	rhlB	ATP-dependent RNA helicase RhlB	14	14	6.56478e+07	6.6119e+07	6.62049e+07	6.99542e+07	6.61202e+07	6.44128e+07
P0A8K1	PSD_ECOLI	psd	Phosphatidylserine decarboxylase proenzyme	7	7	2.38685e+07	2.5038e+07	2.49365e+07	2.4226e+07	2.47713e+07	2.49949e+07
P0A8K5	YAEP_ECOLI	yaeP	UPF0253 protein YaeP	2	2	1.14994e+07	1.13419e+07	1.21556e+07	1.18819e+07	1.09643e+07	1.15642e+07
P0A8L1	SYS_ECOLI	serS	Serine--tRNA ligase	20	20	1.883e+08	1.87301e+08	1.90859e+08	1.87434e+08	1.92072e+08	1.93003e+08
P0A8M0	SYN_ECOLI	asnS	Asparagine--tRNA ligase	26	26	1.50679e+08	1.51292e+08	1.535e+08	1.51496e+08	1.56456e+08	1.52375e+08
P0A8M3	SYT_ECOLI	thrS	Threonine--tRNA ligase	27	27	8.53545e+07	8.50533e+07	8.6135e+07	8.65133e+07	8.6728e+07	8.601e+07
P0A8M6	YEEX_ECOLI	yeeX	UPF0265 protein YeeX	4	4	6.02427e+07	6.59387e+07	7.26928e+07	6.58562e+07	7.21623e+07	6.3308e+07
P0A8N0	MATP_ECOLI	matP	Macrodomain Ter protein	2	2	2.57992e+06	2.18989e+06	2.43182e+06	2.25865e+06	2.09666e+06	2.68607e+06
P0A8N3	SYK1_ECOLI	lysS	Lysine--tRNA ligase	33	22	2.28406e+08	2.29855e+08	2.27326e+08	2.3264e+08	2.30825e+08	2.29797e+08
P0A8N5	SYK2_ECOLI	lysU	Lysine--tRNA ligase, heat inducible	17	17	1.29071e+08	1.3259e+08	1.31188e+08	1.34314e+08	1.30227e+08	1.29046e+08
P0A8N7	EPMA_ECOLI	epmA	Elongation factor P--(R)-beta-lysine ligase	6	6	1.41389e+07	1.4025e+07	1.39997e+07	1.35394e+07	1.53468e+07	1.327e+07
P0A8P1	LFTR_ECOLI	aat	Leucyl/phenylalanyl-tRNA--protein transferase	1	1	983664		450228			
P0A8P3	FETP_ECOLI	yggX	Probable Fe(2+)-trafficking protein	9	9	5.41746e+07	5.37403e+07	5.65643e+07	5.43415e+07	5.62089e+07	5.46955e+07
P0A8P6	XERC_ECOLI	xerC	Tyrosine recombinase XerC	2	2	880702		997346	817349		
P0A8Q0	FRDC_ECOLI	frdC	Fumarate reductase subunit C	2	2	1.44885e+07	1.44044e+07	1.52044e+07	1.50677e+07	1.45091e+07	1.40083e+07
P0A8Q6	CLPS_ECOLI	clpS	ATP-dependent Clp protease adapter protein ClpS	1	1					1.55317e+06	2.27129e+06
P0A8R0	RRAA_ECOLI	rraA	Regulator of ribonuclease activity A	6	6	8.41954e+07	8.28275e+07	7.54626e+07	8.34118e+07	7.9365e+07	7.97365e+07
P0A8R4	SLYX_ECOLI	slyX	Protein SlyX	1	1	1.56628e+06	1.49903e+06	1.62264e+06	1.62718e+06	1.41513e+06	1.63041e+06
P0A8R9	HDFR_ECOLI	hdfR	HTH-type transcriptional regulator HdfR	5	5	3.64611e+06	3.78727e+06	3.6512e+06	3.78712e+06	4.15475e+06	4.13351e+06
P0A8S1	ICIA_ECOLI	iciA	Chromosome initiation inhibitor	5	5	9.88485e+06	1.09326e+07	1.12274e+07	1.12431e+07	1.13486e+07	1.13856e+07
P0A8T1	PRMA_ECOLI	prmA	Ribosomal protein L11 methyltransferase	3	3	4.27513e+07	4.36054e+07	4.14557e+07	4.44562e+07	4.05445e+07	4.27471e+07
P0A8T7	RPOC_ECOLI	rpoC	DNA-directed RNA polymerase subunit beta'	83	83	2.4634e+08	2.46201e+08	2.44107e+08	2.44189e+08	2.45128e+08	2.43496e+08
P0A8U0	SYDP_ECOLI	syd	Protein syd	3	3	2.37801e+06	2.59824e+06	2.66902e+06	2.52881e+06	2.73867e+06	2.55555e+06
P0A8U2	YAFD_ECOLI	yafD	UPF0294 protein YafD	1	1	445390	595893	306651	366299	377060	314413
P0A8U6	METJ_ECOLI	metJ	Met repressor	5	5	4.04589e+07	4.06983e+07	3.92933e+07	3.90512e+07	3.90131e+07	3.85704e+07
P0A8V0	RBN_ECOLI	rbn	Ribonuclease BN	1	1	495437	524930	501933	544723	598107	612532
P0A8V2	RPOB_ECOLI	rpoB	DNA-directed RNA polymerase subunit beta	74	74	2.4003e+08	2.38066e+08	2.38048e+08	2.37843e+08	2.38723e+08	2.41947e+08
P0A8V6	FADR_ECOLI	fadR	Fatty acid metabolism regulator protein	10	10	2.54123e+07	2.60709e+07	2.59325e+07	2.50512e+07	2.5652e+07	2.56974e+07
P0A8W0	NANR_ECOLI	nanR	Transcriptional regulator NanR	8	8	8.33938e+06	8.26279e+06	7.99642e+06	8.2447e+06	8.32671e+06	9.16937e+06
P0A8W2	SLYA_ECOLI	slyA	Transcriptional regulator SlyA	4	4	3.84114e+07	3.92801e+07	3.73281e+07	3.625e+07	3.69514e+07	3.607e+07
P0A8W5	YQGE_ECOLI	yqgE	UPF0301 protein YqgE	5	5	1.33579e+07	1.3943e+07	1.43411e+07	1.41368e+07	1.54141e+07	1.43981e+07
P0A8W8	YFBU_ECOLI	yfbU	UPF0304 protein YfbU	10	10	1.08962e+08	1.06193e+08	1.07182e+08	1.08304e+08	1.06607e+08	1.08427e+08
P0A8X0	YJGA_ECOLI	yjgA	UPF0307 protein YjgA	14	14	3.832e+07	3.93244e+07	3.89317e+07	3.91274e+07	3.84964e+07	3.911e+07
P0A8X2	YCEI_ECOLI	yceI	Protein YceI	6	6	5.66329e+06	5.84473e+06	5.42246e+06	5.63758e+06	5.89402e+06	6.00693e+06
P0A8Y1	YJJG_ECOLI	yjjG	Pyrimidine 5'-nucleotidase YjjG	2	2	6.62199e+06	6.08616e+06	6.10962e+06	6.79053e+06	6.14196e+06	6.0031e+06
P0A8Y3	YIHX_ECOLI	yihX	Alpha-D-glucose-1-phosphate phosphatase YihX	5	5	8.55765e+06	8.33735e+06	9.29656e+06	8.79988e+06	9.56784e+06	9.00596e+06
P0A8Y5	YIDA_ECOLI	yidA	Sugar phosphatase YidA	8	8	4.60795e+07	4.40965e+07	4.44153e+07	4.54177e+07	4.52753e+07	4.44895e+07
P0A8Z0	YCIA_ECOLI	yciA	Acyl-CoA thioester hydrolase YciA	3	3	1.57901e+07	1.47308e+07	1.51716e+07	1.54943e+07	1.56407e+07	1.56203e+07
P0A8Z3	YBGC_ECOLI	ybgC	Acyl-CoA thioester hydrolase YbgC	2	2	3.59158e+06	4.08071e+06	3.75978e+06	4.23893e+06	3.44226e+06	3.78055e+06
P0A901	BLC_ECOLI	blc	Outer membrane lipoprotein blc	2	2	2.55977e+06	2.46951e+06	2.58964e+06	2.85364e+06	2.32561e+06	2.29356e+06
P0A903	BAMC_ECOLI	bamC	Outer membrane protein assembly factor BamC	14	14	1.39099e+08	1.39319e+08	1.43899e+08	1.42603e+08	1.41074e+08	1.37553e+08
P0A905	SLYB_ECOLI	slyB	Outer membrane lipoprotein SlyB	6	6	1.68425e+08	1.72081e+08	1.66453e+08	1.73229e+08	1.66153e+08	1.66561e+08
P0A908	MIPA_ECOLI	mipA	MltA-interacting protein	8	8	2.53703e+07	2.58468e+07	3.06256e+07	2.66832e+07	2.92579e+07	2.80024e+07
P0A910	OMPA_ECOLI	ompA	Outer membrane protein A	14	14	2.68383e+09	2.68099e+09	2.71205e+09	2.66417e+09	2.79809e+09	2.79073e+09
P0A912	PAL_ECOLI	pal	Peptidoglycan-associated lipoprotein	7	7	4.24836e+08	4.22408e+08	4.21668e+08	4.3499e+08	4.23712e+08	4.1451e+08
P0A915	OMPW_ECOLI	ompW	Outer membrane protein W	6	6	9.40527e+07	9.61189e+07	1.14501e+08	9.41897e+07	1.03417e+08	1.04349e+08
P0A917	OMPX_ECOLI	ompX	Outer membrane protein X	9	9	1.53016e+08	1.46672e+08	1.50714e+08	1.4857e+08	1.50388e+08	1.53073e+08
P0A921	PA1_ECOLI	pldA	Phospholipase A1	6	6	8.94385e+06	8.83836e+06	8.95827e+06	8.99643e+06	9.55601e+06	8.73226e+06
P0A927	TSX_ECOLI	tsx	Nucleoside-specific channel-forming protein tsx	10	10	9.67337e+07	9.56916e+07	1.04826e+08	9.46078e+07	1.06836e+08	1.0158e+08
P0A932	GFCE_ECOLI	gfcE	Putative polysaccharide export protein GfcE	13	13	6.97253e+07	6.92506e+07	6.84977e+07	7.22218e+07	7.03965e+07	6.88034e+07
P0A935	MLTA_ECOLI	mltA	Membrane-bound lytic murein transglycosylase A	8	8	1.85934e+07	1.92491e+07	2.03855e+07	1.85496e+07	1.89095e+07	1.93535e+07
P0A937	BAME_ECOLI	bamE	Outer membrane protein assembly factor BamE	1	1	1.02708e+08	1.04334e+08	1.04012e+08	1.08394e+08	9.81504e+07	1.03253e+08
P0A940	BAMA_ECOLI	bamA	Outer membrane protein assembly factor BamA	38	38	8.13384e+07	8.16298e+07	8.22575e+07	8.19476e+07	8.12982e+07	8.15362e+07
P0A944	RIMI_ECOLI	rimI	Ribosomal-protein-alanine acetyltransferase	5	5	2.16276e+06	2.21573e+06	2.39938e+06	2.24056e+06	2.65744e+06	2.49863e+06
P0A948	RIMJ_ECOLI	rimJ	Ribosomal-protein-alanine acetyltransferase	1	1	608052	444934	620720	497413	705745	544178
P0A951	ATDA_ECOLI	speG	Spermidine N(1)-acetyltransferase	3	3	3.27313e+06	2.69083e+06	3.84703e+06	3.36164e+06	3.50119e+06	3.54513e+06
P0A953	FABB_ECOLI	fabB	3-oxoacyl-[acyl-carrier-protein] synthase 1	14	14	1.43585e+08	1.38826e+08	1.36942e+08	1.43027e+08	1.43819e+08	1.41883e+08
P0A955	ALKH_ECOLI	eda	KHG/KDPG aldolase	7	7	1.587e+08	1.55766e+08	1.46163e+08	1.53835e+08	1.49107e+08	1.54095e+08
P0A959	ALAA_ECOLI	alaA	Glutamate-pyruvate aminotransferase AlaA	8	8	7.95392e+06	7.81445e+06	7.3008e+06	7.77309e+06	7.36722e+06	7.64563e+06
P0A962	ASPG1_ECOLI	ansA	L-asparaginase 1	3	3	5.42475e+06	6.06446e+06	5.99824e+06	6.09591e+06	5.82153e+06	6.25419e+06
P0A964	CHEW_ECOLI	cheW	Chemotaxis protein CheW	4	4	5.12043e+07	5.24167e+07	5.06956e+07	5.07474e+07	5.08588e+07	4.92674e+07
P0A968	CSPD_ECOLI	cspD	Cold shock-like protein CspD	1	1	1.03378e+07	9.57905e+06	9.72784e+06	1.05662e+07	1.08592e+07	8.99588e+06
P0A972	CSPE_ECOLI	cspE	Cold shock-like protein CspE	7	7	1.15577e+09	1.16368e+09	1.0325e+09	1.16288e+09	1.06126e+09	1.06519e+09
P0A978	CSPG_ECOLI	cspG	Cold shock-like protein CspG	4	4	1.43925e+07	1.4624e+07	1.49193e+07	1.39996e+07	1.503e+07	1.44e+07
P0A988	DPO3B_ECOLI	dnaN	DNA polymerase III subunit beta	11	11	2.29758e+07	2.29533e+07	2.13931e+07	2.25015e+07	2.14121e+07	2.23826e+07
P0A991	ALF1_ECOLI	fbaB	Fructose-bisphosphate aldolase class 1	12	12	3.6163e+07	3.69596e+07	3.53964e+07	3.64862e+07	3.66973e+07	3.61651e+07
P0A993	F16PA_ECOLI	fbp	Fructose-1,6-bisphosphatase class 1	14	14	9.20252e+07	9.22463e+07	9.11904e+07	9.23124e+07	9.34757e+07	9.34896e+07
P0A996	GLPC_ECOLI	glpC	Anaerobic glycerol-3-phosphate dehydrogenase subunit C	11	11	1.95631e+07	2.02791e+07	2.05213e+07	2.05229e+07	1.93087e+07	1.96652e+07
P0A998	FTNA_ECOLI	ftnA	Ferritin-1	5	5	2.69575e+08	2.57934e+08	2.57986e+08	2.53831e+08	2.65975e+08	2.65085e+08
P0A9A2	FTNB_ECOLI	ftnB	Ferritin-like protein 2	4	4	1.4524e+06	1.47885e+06	1.75146e+06	1.36889e+06	1.58233e+06	1.65664e+06
P0A9A6	FTSZ_ECOLI	ftsZ	Cell division protein FtsZ	23	23	1.2654e+08	1.25148e+08	1.23181e+08	1.2919e+08	1.25382e+08	1.25031e+08
P0A9A9	FUR_ECOLI	fur	Ferric uptake regulation protein	7	7	1.0814e+08	1.05001e+08	1.05056e+08	1.09877e+08	1.08696e+08	1.06635e+08
P0A9B2	G3P1_ECOLI	gapA	Glyceraldehyde-3-phosphate dehydrogenase A	25	24	2.27483e+09	2.25978e+09	2.24098e+09	2.26312e+09	2.32283e+09	2.25908e+09
P0A9B6	E4PD_ECOLI	epd	D-erythrose-4-phosphate dehydrogenase	6	6	7.05717e+06	7.12116e+06	7.04495e+06	7.52433e+06	7.39998e+06	6.69819e+06
P0A9C0	GLPA_ECOLI	glpA	Anaerobic glycerol-3-phosphate dehydrogenase subunit A	14	14	5.71669e+06	6.23418e+06	5.89757e+06	5.48472e+06	5.7047e+06	6.00806e+06
P0A9C3	GALM_ECOLI	galM	Aldose 1-epimerase	12	12	3.2458e+07	3.23672e+07	3.22359e+07	3.12033e+07	3.26458e+07	3.26513e+07
P0A9C5	GLNA_ECOLI	glnA	Glutamine synthetase	24	24	2.028e+08	1.97771e+08	2.00804e+08	2.02708e+08	2.02144e+08	1.97877e+08
P0A9C9	GLPX_ECOLI	glpX	Fructose-1,6-bisphosphatase 1 class 2	12	12	2.26021e+07	2.34226e+07	2.22516e+07	2.3249e+07	2.20619e+07	2.2115e+07
P0A9D2	GSTA_ECOLI	gstA	Glutathione S-transferase GstA	6	6	2.11979e+07	2.03505e+07	2.24093e+07	2.04842e+07	2.15093e+07	2.09603e+07
P0A9D4	CYSE_ECOLI	cysE	Serine acetyltransferase	4	4	1.66286e+07	1.7482e+07	1.58078e+07	1.47871e+07	1.86824e+07	1.6964e+07
P0A9D8	DAPD_ECOLI	dapD	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	19	19	1.60228e+08	1.57747e+08	1.5847e+08	1.56521e+08	1.65694e+08	1.62822e+08
P0A9E5	FNR_ECOLI	fnr	Fumarate and nitrate reduction regulatory protein	5	5	3.20541e+07	3.37002e+07	3.34831e+07	3.36712e+07	3.36546e+07	3.2917e+07
P0A9F1	MNTR_ECOLI	mntR	Transcriptional regulator MntR	7	7	6.75454e+06	7.11177e+06	6.94654e+06	6.54074e+06	6.73076e+06	6.83498e+06
P0A9F3	CYSB_ECOLI	cysB	HTH-type transcriptional regulator CysB	13	13	1.36168e+07	1.42522e+07	1.40367e+07	1.39101e+07	1.36722e+07	1.35312e+07
