protein	LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_01	LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_02	LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_03	LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_01	LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_02	LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_03	LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_01	LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_02	LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_03	LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_01	LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_02	LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_03	LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_01	LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_02	LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_03	LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_01	LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_02	LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_03	Protein.Ids	Protein.Group	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P32377	86703216.49024284	87179254.555593	91761257.4435633	90665778.56658351	85676133.4144852	91541201.56762576	90779728.32476236	79369570.88914388	92573208.0351358	44056964.83084732	42430748.17688736	47312402.19264043	42726734.6631368	38786648.65152272	42909059.874836594	40988785.84301476	35318678.40890719	37716697.13760822	P32377	P32377	0	3.8830358632210815e-14	1.0969611524641107	True	0.0006698044895003621	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P28495	141345831.0695208	147728258.6031454	146852081.91560563	154158969.64259884	141672229.7442548	147609104.72137365	135236350.4618946	143608366.46564853	133011679.43197446	66163132.55351915	69738118.96891035	62432039.074253365	60109352.294406965	70977208.11895505	64254923.27876313	73732123.98137726	64357591.22693256	62425029.78539095	P28495	P28495	0	4.5950388936791455e-14	1.1197429758331843	True	0.0006758387641805456	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P04801	672427854.801275	714948268.0747548	655852647.8654639	624524043.2814703	661782894.5684578	671896762.4314513	725659961.1011266	695511653.046318	687493197.7422562	313606041.176721	331145828.082804	322805302.32427466	316734976.8849815	271151301.12348074	274755508.8490012	313002282.066486	299485650.6702516	300250825.31543124	P04801	P04801	0	4.648502251243881e-14	1.1554734868499963	True	0.000681873038860729	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P21599	25756179.243968964	26127234.1658388	22550289.669844963	12081441.51803916	21207237.717468467	20874510.86611524	14015313.96603042	21058907.091212105	21250150.24603353	106523134.9484156	113139233.73330884	118500265.4590022	130326684.28644805	105607809.31466968	119928509.50846867	115586831.08744498	111504804.77074158	118572385.04824206	P21599	P21599	0	4.822689880368905e-14	-2.491169917888021	True	0.0006879073135409124	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P39831	2576964.976823936	2718560.199879806	3729553.899995848	1430307.9783159571	2719634.989212844	3303223.841725173	2166228.7098374763	2416042.591999013	3261031.174134886	11437954.633994456	11177706.116386216	10664187.516832534	10975194.21246981	11594304.222359205	11476109.398112455	10791973.856248489	11748554.277291143	11863415.456531418	P39831	P39831	0	4.8316117591468256e-14	-2.064429694935903	True	0.0006939415882210959	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
Q04409	442548899.6064623	415441816.3618861	447948362.637475	407217488.8651055	410608354.0431333	406256148.62937593	397674563.2049765	424563541.1364375	434138901.8001759	201518756.5170833	207762084.33728373	201614465.7956208	179720629.4075104	222083008.88981715	205678483.5313174	205280820.64140373	204265062.1021074	210777865.46424043	Q04409	Q04409	0	5.175346475586203e-14	1.0421390603278027	True	0.0006999758629012793	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P12611	7106911.072367714	6481515.9499213565	7371650.923389351	6726683.770586824	6643842.182198879	6635009.304744632	6944162.0740244575	7036791.02203453	7262597.030451985	3662872.848074418	3180611.946525562	2865736.7504551816	2781156.111470963	3343884.081540521	3445734.360851659	3408776.000968992	2658092.9109906666	3289784.396450895	P12611	P12611	0	5.416427642063551e-14	1.1192644012492463	True	0.0007060101375814628	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P62707	42552446.33955144	46001373.94823612	45410728.52487828	43164251.90600215	41542399.53036342	42777068.665205136	41663953.03367925	45778022.08321674	36290940.911018126	195646942.84231403	189216329.50484225	191960364.20782587	207462703.443206	201521739.2035849	193219115.28048223	209492848.5097584	204383529.7637014	188603154.71807832	P62707	P62707	0	5.87040871247553e-14	-2.2094887932373695	True	0.0007120444122616462	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P16603	293970751.9000557	310732004.10193235	316481608.1839456	281080420.93249625	289498916.691084	297863697.90791094	299233520.25595707	298063177.45828176	305898728.9423804	133318163.3331156	143032576.57447776	138228267.83271113	144213616.85680443	137830713.4355564	126713726.80152778	139429587.21544033	136353421.22713494	141648158.1625431	P16603	P16603	0	6.032300504403855e-14	1.1178856579151215	True	0.0007180786869418296	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P32497	167419151.15054023	178084188.69714049	177709600.73499742	173353123.97229514	150705946.16949248	165775442.52382606	171515609.36002454	173347250.50877762	163205258.43002114	73905386.44037732	78860868.60587563	83805148.43727751	70609025.12367493	69356094.64984713	74650159.49967708	83140220.81920902	60527188.51133913	84606573.56204565	P32497	P32497	0	6.281346615796408e-14	1.1626678304116833	True	0.000724112961622013	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P20435	34251894.87161048	33150755.19212509	35803349.27104876	33647149.570039205	30440765.72904448	31360632.108802505	33426405.43358384	35131809.09476496	33315577.99803957	16146369.45085796	13564063.981759775	15634819.456402432	15506915.673895543	13891067.432968523	14515469.51177206	13100029.855122697	13451947.114189375	16182774.223514948	P20435	P20435	0	6.840626448208958e-14	1.187034628069759	True	0.0007301472363021966	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P22137	1113452433.82444	1060696665.5900478	1033491775.379336	1012863298.862454	1008698146.9749792	1032330187.9648596	1032678254.448962	1071794640.8823378	1041749092.4098402	533702029.102252	508423547.2714561	491066381.2813597	491032792.0401845	511598047.5760104	487312188.5093089	502431027.3952031	511008860.0698074	507759051.4062212	P22137	P22137	0	7.166271244166878e-14	1.0497815620741373	True	0.00073618151098238	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
Q05506	462222644.30415	465271188.9499344	440239320.11268246	416288913.9042374	432550916.03995854	424219715.7163055	436790000.6944168	451141150.7755873	436884583.3921644	210737225.0760283	220185659.4104502	200884942.0757368	231065034.89297023	216815323.9560895	205908835.39111784	213896546.2041556	209926548.6727335	216765473.5933984	Q05506	Q05506	0	7.18100008410147e-14	1.0417955176747016	True	0.0007422157856625634	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P47018	136852641.86480182	130885773.66682082	130837134.71301456	129033694.88531873	120842709.07862668	128441022.63016433	119506210.74921824	128901093.20175949	121889379.96136075	61111148.72908308	69192986.75234553	69732696.37760906	55136611.17790978	66289870.55969187	71447488.8311223	65344757.45710222	69948489.95546038	69104032.59242909	P47018	P47018	0	7.310347097895194e-14	0.9415567779159933	True	0.0007482500603427469	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P11484	8378819896.90748	8857718729.164019	8415730189.743887	8303350882.283798	8276498097.291199	8215298184.83901	8097827331.601246	8400883353.68821	8270364210.0784	3984165795.745075	4049800688.127491	4008031792.450844	4204235982.390267	3953347673.26616	4096020836.141651	4051612339.505767	4020241163.309352	4002975482.886132	P11484	P11484	0	7.502356031191334e-14	1.0482829488029655	True	0.0007542843350229302	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
Q05050	287315022.4873442	259659872.5786095	271795770.94477254	271932053.3348532	254818348.7674199	256403617.94602787	252594847.48354545	288149422.73270005	270913686.5667688	125484867.92546096	121438953.90607756	131914078.94985548	101692086.9945568	140859338.9844088	136938418.18488723	118344822.35258494	126415035.14490442	123966925.29193902	Q05050	Q05050	0	7.51666644932366e-14	1.0986189107102196	True	0.0007603186097031138	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P37095	7334402.598195639	5537849.848634894	6330915.693754177	7909406.418697217	5622556.556928092	8071992.8708563	8021023.730365497	7479566.764010082	5458569.052740224	31447367.68344648	31728794.38202156	31835547.47668156	34777450.02085724	31596440.27144856	31039137.766624328	36527147.64338563	35261290.12059442	33181567.499859195	P37095	P37095	0	8.302834297534253e-14	-2.267487712945032	True	0.0007663528843832972	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P54838	453644778.07678527	435925012.55761904	410561329.4961761	435588536.4923848	414496441.7232015	426135801.6966704	430708006.2423085	463506000.3911334	426526281.0461556	223516615.7185209	219302924.03615195	208262227.6728724	195709860.92090163	209064472.26244769	203447181.6296113	221571525.09124985	218700299.65723345	204493203.6447991	P54838	P54838	0	8.312542610799827e-14	1.0333128216916276	True	0.0007723871590634806	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P16140	2264734290.4461827	2224928015.344455	2378617789.1872754	2143001319.6466367	2146346810.152956	2354125721.00175	2195841019.959949	2136417621.0253527	2190293038.016692	1093902799.4103494	1071561633.5497664	1187557468.8074026	983801443.001532	1070766625.2313478	1108383481.5376704	1099208901.8163233	1099087257.2798538	1080264222.217558	P16140	P16140	0	8.362399976759079e-14	1.0324237731074148	True	0.000778421433743664	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P33302	251081757.66395208	274820637.2798234	248801177.4971979	257162502.7780553	256063767.05144617	260554037.71908507	289123097.2041752	259661590.909622	265446197.935797	123567213.8812492	127813007.39725372	143182711.008767	112261529.5372194	122768326.48182638	130557338.32162608	125059126.95896596	131245662.85484634	113669604.6428995	P33302	P33302	0	8.565020716621698e-14	1.0639637307836187	True	0.0007844557084238475	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P31142	66800.99946900703	33682.76185417935	71389.35561504764	52656.44822399959	1509113.5974323049	72084.26238152731	67036.65912848967	2575518.6774052205	2642878.367116481	23143178.13643833	20920355.44856118	19230512.098365627	19641042.54646738	22839395.346989088	18764578.09220292	23334977.63482568	22319542.40229128	21511249.458419323	P31142	P31142	6	8.580714617250469e-14	-4.756721006530564	True	0.000790489983104031	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P39940	177220948.09699157	173204477.90935314	173251598.7873796	151497479.22289854	163200630.3878062	166106748.30097693	170383752.46629545	179184313.33083305	169359974.9467986	78889433.79264987	77376939.12702808	91053447.00638306	66330722.13715789	82972097.52345483	84229379.42579658	67973759.13488422	83413985.94064054	72208865.30204654	P39940	P39940	0	8.595900785276836e-14	1.1127377889018502	True	0.0007965242577842144	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P18759	210355939.2632706	235543909.2607468	205986855.6357381	213881113.3705321	224632071.7612098	206071615.29285768	214240357.57097587	222719889.28820428	213425247.4170579	103633446.0493443	105429179.94532607	93063516.55952556	91779259.84512112	95304831.27018088	87169267.09399433	96726406.1072992	97864474.06640124	100043987.18024564	P18759	P18759	0	8.720221548886535e-14	1.1603784960638432	True	0.0008025585324643979	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P53200	22497691.134387672	23349875.53177638	20878210.52938385	19812309.84782908	21754612.623139154	22349663.5586432	23124277.62898377	22780056.659460124	22537380.43362068	9388869.519611096	10013419.944660662	8250165.979937089	9690334.331849515	9664302.581931274	10852230.670455834	10119754.28421438	11168331.51294523	10757147.95817708	P53200	P53200	0	8.927289737157576e-14	1.1469116986923318	True	0.0008085928071445812	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P38708	425899452.1789006	432363580.88583446	427639984.5860835	415260107.0239376	405913956.98024905	395796150.2101405	456120151.18204033	455913453.52604336	428263202.07665896	194795710.5612324	181998978.4637791	173976314.3807843	214085614.6215184	193242342.3603572	184890772.7211437	189116901.11382192	177289684.620192	173875204.85971096	P38708	P38708	0	9.031424451568313e-14	1.191028896511494	True	0.0008146270818247647	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P0ADE8	8269286.571883962	10813708.981051097	8226293.635062862	6536932.421467248	7342841.162596778	8573028.644776138	6609484.578066756	8362510.777916689	7915315.704653216	34050763.26947051	31478593.94668459	31688178.19895948	33825914.803729564	34708592.57210029	37189846.240875006	37223560.22944207	35368196.814740784	36505782.4938981	P0ADE8	P0ADE8	0	9.564992172981754e-14	-2.1027054989389886	True	0.0008206613565049482	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
Q05016	280740155.2486876	311245387.64022034	283564546.21605843	292113962.626841	292220133.98328805	280607704.3721971	263775723.0611607	289053252.5963721	294284628.1538452	144549429.94386697	142719692.13180888	122298038.13977116	142041399.86888823	140260154.75499046	125030183.13522436	136893722.70762563	134806366.9885663	128968989.8531556	Q05016	Q05016	0	9.60302338232143e-14	1.087615359885161	True	0.0008266956311851316	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P14907	142650090.8600331	164075610.0780469	155583034.59332502	138325260.4200138	152864414.3835081	150940809.7785088	150495623.09549496	145304366.37663212	156113804.19900534	66920848.56976311	63092292.65126164	57565950.42860061	47273653.15704499	75237785.59844847	64084511.22890234	71693459.40184712	66914578.79590935	61724900.45976166	P14907	P14907	0	1.0310098785997413e-13	1.239333875000917	True	0.000832729905865315	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P48606	125272467.66259088	122027233.17441338	117967002.79133496	110598818.13754871	118630524.30613773	116587612.55614176	122593224.35460456	122438950.4475706	124477839.45308928	66413833.09214986	59566448.55348671	62223013.34320445	49743943.1804113	65547292.47571982	55163034.21903231	59415240.468562566	60636704.142309405	67356233.72891945	P48606	P48606	0	1.0335765384495786e-13	0.984677580825713	True	0.0008387641805454985	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P15303	161513477.28212014	174929765.48478255	181146290.8933058	158733470.07631832	166391895.40044028	176935716.74580634	164443837.34801775	178181985.19855782	180250391.7456945	84701389.64096916	78777121.5270383	84216211.753575	67272599.40661661	72668358.87656662	86248582.32512276	75656078.16354164	75690771.75669314	81800717.18672875	P15303	P15303	0	1.0787257914557784e-13	1.1254485114581751	True	0.0008447984552256819	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P25375	88403144.46426836	93580404.92454204	90628303.0375586	82063587.60538155	89836009.44436578	80096584.42608173	87394477.54935619	94068607.2033939	88889092.73951595	42978529.080603264	37996218.65944565	45396803.83405399	31595854.89279624	37612171.86751511	39936822.44991837	40598135.531025104	39645504.25445717	38253754.5927211	P25375	P25375	0	1.1124038266293161e-13	1.167077073627792	True	0.0008508327299058654	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
Q08686	58654984.32841079	61006939.70747203	55904795.84476787	55484313.07362948	59531069.39417172	62083359.17868536	53177150.55069464	56516741.0235394	55764776.532622725	23436942.38504207	29749577.67515689	30302360.193503007	26257272.54606618	27614218.331677664	27576975.466196496	24603529.908239592	30094633.136377297	25306918.80456805	Q08686	Q08686	0	1.1148021575165162e-13	1.080855076760394	True	0.0008568670045860489	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P0A6W5	66800.99946900703	16370868.47620388	71389.35561504764	52656.44822399959	10513886.891452575	72084.26238152731	67036.65912848967	52184.13399835013	39806.19090300663	66396011.87322652	74778865.25579411	65396091.68575346	84783003.91824038	82146325.40840426	78945281.26102099	77553863.53131595	80482310.56195313	84139186.25879423	P0A6W5	P0A6W5	7	1.1183401395793854e-13	-4.668898312550578	True	0.0008629012792662322	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P0AFF6	10228326.957049048	9446993.7203924	13933449.700840097	10954955.193790022	6804057.022395945	11185984.221245922	11961110.724994931	8790981.445987754	11189049.05119044	54961887.576963484	54274101.26225714	55012869.38783605	55232949.332719766	61443743.24673025	59828447.40875311	58800341.59102574	63422334.89288536	63050684.42910101	P0AFF6	P0AFF6	0	1.1267383399440601e-13	-2.476829341928554	True	0.0008689355539464157	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P30624	335768806.04729337	345733038.5056211	352493380.3085908	309981752.8984384	324042338.89801013	306016541.3914286	335810290.2374481	340558676.85002035	328974096.1839815	152334597.156937	174884759.07467675	155834638.89550763	152797872.6475636	160864789.8458682	135929373.06663987	157387334.15449563	150702488.6232242	153182221.86805746	P30624	P30624	0	1.186163447515939e-13	1.0958658468395994	True	0.000874969828626599	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P32563	279600167.8384482	313206003.7776983	304017425.324356	269980693.6510793	282517832.14262664	291788574.8101173	278495517.1111596	295115470.54029423	276130580.83175385	120412706.60650916	135696785.64960203	131212799.00778988	107716986.7524096	125159556.09885453	127701599.38311706	135157601.5445465	122452781.88811812	135917710.91592082	P32563	P32563	0	1.292107372430869e-13	1.182586227389621	True	0.0008810041033067826	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
Q12109	153861923.43806455	150676576.20167682	146828742.99785528	139664635.52541417	141252254.84859452	141496007.5824802	143222912.66521502	161077865.5983737	153860599.57180563	76259734.36352834	76937129.98971306	68032539.48089354	80595179.42338745	66067100.17680408	60509813.06843582	75331116.84392509	65855923.01476269	76461292.61394897	Q12109	Q12109	0	1.3090234297580274e-13	1.0438133918748793	True	0.000887038377986966	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P0A7F3	14092380.252590949	10843116.975798585	12745948.822306518	52656.44822399959	12424961.49668021	10587006.504226414	8101957.514380845	7130304.791510721	11088081.62741864	72659586.5537471	64435455.44880942	56061807.662653774	60057093.73847955	65193128.77531584	55760532.54870763	61904039.15468244	62486979.25314649	64156753.73951335	P0A7F3	P0A7F3	1	1.320782079216358e-13	-2.692217170666337	True	0.0008930726526671495	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P07259	2669369432.7743115	2741019305.180825	2600026228.203224	2477277271.019025	2507369992.872489	2530967847.4238486	2507789648.021591	2550150213.833888	2552891126.793309	1208324613.5842018	1250735331.4151154	1287140618.2083468	1306105241.3273642	1182312761.7173858	1239346538.96585	1241294028.9533472	1217753254.897715	1233284158.4034262	P07259	P07259	0	1.33332672841327e-13	1.0510423741064494	True	0.0008991069273473329	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P06634	748195389.9135288	742712808.8403198	671378361.3129872	701556739.6464126	724348318.6771402	716712868.95064	740706380.7106816	800169247.8945866	745861769.0142789	359727165.6667556	364451893.5001587	369491375.5999047	267589105.6559475	364637655.6010596	362269233.8209401	371864701.7485201	381261656.1408631	373509134.8087522	P06634	P06634	0	1.3380117653121422e-13	1.035908015181721	True	0.0009051412020275163	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P00560	50570196035.218185	50456132974.67939	49287839082.69747	47298096488.3542	45531811601.207054	47373808934.64934	46986475006.02206	47873842093.79363	47834510274.431	23241697615.85805	22878747105.30836	23083084956.80483	25259766710.32292	23726128698.15956	22633207628.587605	23801529281.91506	24048725049.54852	23421939563.364555	P00560	P00560	0	1.363013843757155e-13	1.03036614773745	True	0.0009111754767076999	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P14540	10669512385.82762	11372035691.442236	11451077197.715292	10354832576.150322	10342069878.204882	11132096073.732508	11020129170.932735	10746249591.35655	10985412352.439806	4956021976.310026	5000839316.0056095	5277433885.93722	5293304911.705498	4938368299.238431	5463453687.210482	5239705113.247475	5421794332.322704	5138966248.828251	P14540	P14540	0	1.4011841923150584e-13	1.0695165410170153	True	0.0009172097513878832	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P39926	178687097.26239577	194581550.34368512	184516210.2166784	191461131.2677814	176993623.70218733	203053958.0228952	184297705.5629453	181940727.54022795	180443944.11473984	88845124.96581718	79806101.60554595	82992727.74334913	90999646.81032278	86448737.38343276	77526680.40938331	82873767.01762004	91320853.29951502	79937244.64445353	P39926	P39926	0	1.4092742841633422e-13	1.1395054349879605	True	0.0009232440260680667	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P0A850	139406826.3981049	159071133.94466686	170436821.91833544	127671962.33482924	131419562.0468419	152549729.69509253	142770783.2221	148111699.35102	152577711.19768748	568364863.7715582	604221961.4624469	608881468.3931487	669642474.9077718	590134642.5994775	582981855.8876272	616437791.4204526	599393657.5174563	635790328.7738991	P0A850	P0A850	0	1.451590955304903e-13	-2.048161868546236	True	0.00092927830074825	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P09064	174208922.40391895	172786833.24481082	186116316.4010701	173263939.11308563	162827075.99846655	173083783.642964	161566988.52328527	162864824.9879474	158857260.44436747	80013082.12554379	77892492.0707057	84767187.44711053	62393462.19907833	85180412.565622	91405173.25809294	81483421.12867078	75149801.69304489	81148720.55046692	P09064	P09064	0	1.5041415996055705e-13	1.0844202487429138	True	0.0009353125754284335	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P25526	15056093.624723695	17471732.471496448	16084510.434631066	5363055.97650749	11860249.178439986	15103499.704869376	11153914.819968555	12465091.483029917	12474574.850305565	56115561.98581585	65922356.10628927	54245182.53344145	60112775.33672227	65494126.94023641	53417537.12336416	59725464.67014943	57082548.75776542	61293898.88456979	P25526	P25526	0	1.518939417196264e-13	-2.188331424398509	True	0.000941346850108617	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P38137	126136896.3637496	124098269.40278032	114096789.36679676	109549053.37196818	121590923.66015372	114924445.4472176	126997116.83599226	125974386.3763522	119416771.32996397	60795558.79461277	60954295.96647404	58371971.06466089	49625798.92751307	59366021.70814507	53238417.44445396	62286316.34538061	52860349.6736461	49861029.06390325	P38137	P38137	0	1.5207256747533653e-13	1.0936653411007362	True	0.0009473811247888005	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P05750	3950608514.002699	4215871152.629783	4332966383.419698	3971311634.224931	3999361018.2813687	3841670518.955548	3934083092.206196	3953401048.949487	3936178942.7654486	1922838635.3335657	1925291759.265142	1780038383.8106198	2035340959.6452608	1884844683.650431	2040450719.800727	1949904880.9962	1895123661.115981	1881103503.74659	P05750	P05750	0	1.5480705395834359e-13	1.0613977986003447	True	0.0009534153994689839	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P16120	890871518.4705853	946711433.7535112	1005448124.4770572	934344165.1854576	905635322.5226756	901530654.5476264	909267278.494765	956064628.3728873	910377916.2660172	439662942.6187424	428389018.92564416	389080468.1154134	400326206.4427392	419118118.6600716	408829871.11600417	435439706.7186564	436345283.5038214	414210220.71906745	P16120	P16120	0	1.5535221601856246e-13	1.1484453887715196	True	0.0009594496741491673	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P0ACY1	2220477.583775064	2500357.989954058	1809498.9131340245	52656.44822399959	2242049.084402752	2196873.8593535847	3171406.4674273133	52184.13399835013	1888997.1763476	13237514.936848594	12790864.170353046	15232689.571196085	13778211.005824452	11852093.949070416	15130598.228390126	13088976.792482495	12498658.697772032	13698955.012469703	P0ACY1	P0ACY1	2	1.565350065019548e-13	-2.91046046092827	True	0.0009654839488293508	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P54115	3071128168.282145	3027215422.715615	3041699563.882211	2789894669.690934	2745007972.995089	2929605028.812209	2867488877.60414	2832013785.7307053	2966095334.670413	1403178059.2588384	1337586024.553869	1375252209.390906	1422275946.281159	1216683723.860061	1319771289.6240573	1376674314.489105	1378733198.388052	1355897539.2753112	P54115	P54115	0	1.6157924553194535e-13	1.1081935357469601	True	0.0009715182235095342	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P39968	88290533.55810666	87897972.63397646	90870271.94295682	79215818.49128176	77478980.63394737	82640605.30277462	90594175.87666662	82488675.1345364	86495361.9925055	35271495.191590354	35390337.703869045	42925144.50966661	28140102.038574696	33921784.43452536	38780339.29182559	38798777.4805091	35647491.472993754	33005645.505443733	P39968	P39968	0	1.6376637619841466e-13	1.2507644535297076	True	0.0009775524981897176	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P38427	677192742.5232515	616613313.585986	612756317.3313745	564133314.575644	613150807.4070631	587260413.1426808	586265897.9785545	626901250.6534297	606262471.8234594	294834140.7959087	275116452.624566	268173923.69158724	219789097.1459318	278466193.38387823	258442338.51466367	276482594.60344523	292190920.04342955	272534788.58288026	P38427	P38427	0	1.6531126602454508e-13	1.1724149681910998	True	0.0009835867728699012	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P00864	9501505.868787184	11925940.77992901	13132904.171703028	6214862.17729743	8255038.955334268	11672925.841093613	7810166.279470861	12034594.741203057	6235331.050556698	48892875.00153824	45981179.62678167	50850501.111098416	50839064.9544651	57179828.35389441	51595729.24274075	45247666.20356648	54854343.37675884	52329555.87505613	P00864	P00864	0	1.6714473684597932e-13	-2.3991364118943235	True	0.0009896210475500845	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P00817	2418267958.2216706	2607855367.427379	2620821414.821038	2514229440.945938	2348772447.862296	2448582403.9366407	2551867642.663294	2448626662.793947	2503343168.467314	1147449717.9765236	1210290806.6478276	1148158447.6319263	1155764461.265226	1109902262.666924	1147794141.793249	1231077209.9046843	1216121502.0732896	1197238120.0213456	P00817	P00817	0	1.6809816370836967e-13	1.088381491731658	True	0.0009956553222302679	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P38077	176988749.29951757	196485538.9778995	207580641.76074108	179375638.2324269	179897955.65144837	187527196.4979884	181220528.0065854	184889229.8276366	182776780.43410847	87232288.85920864	90019094.80700268	100022645.63892518	67528216.84231651	90194509.11686316	75281357.4980026	84354416.01815785	87146959.537909	84353591.40728825	P38077	P38077	0	1.7118886571431163e-13	1.1299940216266897	True	0.0010016895969104515	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P13298	117608063.79701865	117915534.98343648	110101691.5597327	114243104.05925766	104656048.34372663	104072274.58866867	109608252.27405836	120896313.80293892	113333807.41285037	58631151.5312613	50744531.04464404	44402397.03282927	61196500.65861169	54607274.76440782	52907546.59503585	52444417.17689713	46858290.64004964	47197297.86368208	P13298	P13298	0	1.7352493039812478e-13	1.1102021737733456	True	0.0010077238715906348	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P04147	1493272131.3663232	1411271881.1243858	1404217713.7135024	1339610581.441929	1326236872.9522865	1406689496.4174657	1375455097.933821	1440088513.6892436	1414331405.991509	691763054.5587039	657170666.5568899	647804332.6599015	626846349.8196625	688451595.654762	667012321.466214	673438594.057682	694815166.4498253	692176832.5590432	P04147	P04147	0	1.7720721593191369e-13	1.0622065661083215	True	0.0010137581462708184	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P21243	531224492.689829	561020514.0908717	575083132.1758469	500540691.9428066	515432324.96115565	511629772.7033897	575176786.379761	542328190.4859397	533239121.4726452	276055972.5168351	270329748.62189746	309517103.5343421	249815798.94625005	233508024.0732633	248510954.62441343	274187861.40259176	257196130.8331659	246252944.9579926	P21243	P21243	0	1.85154903936092e-13	1.0346290126056459	True	0.0010197924209510018	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
