protein	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_01	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_02	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_03	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_01	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_02	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_03	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_01	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_02	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_03	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_01	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_02	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_03	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_01	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_02	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_03	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_01	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_02	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_03	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P06786	143149.6582713181	148870.38374990894	146906.0370056584	144832.373894112	131784.66841262774	142640.6546796579	142855.39670269718	127271.6799722003	156629.33276221802	81970.33177315559	81593.67514158196	79122.07939276987	83331.12990632243	76809.80752231734	85029.67238202998	83542.13295675199	72214.64546870404	78853.15172355017	P06786	P06786		TOP2	0	5.37086446277664e-10	0.8306983526805636	True	0.007601433136438462	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P77544	4180.367494411234	315.01367189999985	4892.406140932869	3533.5852948219685	4816.628162321055	4801.683654071356	4142.311232392322	6146.263451202451	5053.922349441547	15357.91749548724	15156.923539981222	17537.240502673834	16581.794342398392	22129.24923063591	17151.62552366058	17832.22871756004	16248.877646377548	20112.24547202272	P77544	P77544		yfcF	1	5.371520996855499e-10	-2.061319986379096	True	0.00760627481359543	True	True	Ecoli	False	True	False	True	diatracer	directlfq	min	0.5
Q03262	67439.96287194532	69092.46553711967	68028.1909095346	57295.70630464511	61772.78390180252	65732.72384609989	62257.036010033706	64266.12669574159	63669.85673068791	41771.372317269685	42227.65491533742	45845.320617630045	38435.08599083205	41852.9124045236	40070.58579238029	43145.80186843882	39867.73382604015	39765.65503062682	Q03262	Q03262		PRM15	0	5.419211563906017e-10	0.6358387306774324	True	0.007611116490752397	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P07003	3225.5653366683487	3653.833238509151	4138.275115970042	4699.646522577998	5595.93958493887	3874.045614965896	4135.345774824267	2758.374530516257	4192.341910594932	17198.23627757329	14760.450362345084	16226.2501679813	17307.16951322107	14095.048151531746	16929.326445320257	16868.770241086317	17951.721854444895	20297.87247297749	P07003	P07003		poxB	0	5.422258084430073e-10	-2.0636187241666324	True	0.007615958167909364	True	True	Ecoli	False	True	False	True	diatracer	directlfq	min	0.5
P40036	23833.077468400606	30343.370822728837	28287.690354785143	27483.413247751512	28437.187891587808	31370.58731820765	29941.03657399267	26353.89182542734	28574.97734598964	14895.683027495685	13139.93664846358	14195.318846606751	12917.17007110106	14712.05340490316	16328.381680709004	15050.779985948417	12523.515569814608	12615.62266823874	P40036	P40036		GIP2	0	5.429982150260096e-10	1.0106247818817577	True	0.007620799845066331	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
Q03786	23607.165172196084	24012.272514692013	25894.739260905408	23889.204069891584	21429.025367355756	26417.39643284712	24419.83061003145	21852.12982628457	25325.252044700366	14191.002418778822	11727.961384622957	14137.774063998337	13126.974036454165	14255.195263791244	12265.932437937176	14407.3012718007	13232.07368514686	12889.57296987934	Q03786	Q03786		YDR248C	0	5.447833886528855e-10	0.8508352135717567	True	0.007625641522223298	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P40545	43795.15973439047	47671.09766	49154.39045834685	41192.35038711602	48447.34205768556	46492.39919390841	47561.07077240403	51892.47572361445	52882.436901960566	19326.121788505745	23629.183368978403	28216.54522274134	19371.334007050293	25797.46521525027	28365.667453912592	20971.45229086369	24734.758369085663	29175.086098658216	P40545	P40545		HIS6	0	5.457304671723283e-10	0.9664793061895888	True	0.007630483199380266	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P0A877	34805.886501049354	34828.29486549099	35046.81411880164	33115.60083052484	35753.09824120976	25903.25984228169	34337.24284332871	31832.02895643985	34369.73289262143	62333.44213136904	58510.53882717642	62090.25886834311	66214.84818332177	65878.48573182875	70765.84623477791	75461.69349129936	65458.67392345915	70670.0054408919	P0A877	P0A877		trpA	0	5.468174284771873e-10	-0.993734265904376	True	0.007635324876537233	True	True	Ecoli	False	True	False	True	diatracer	directlfq	min	0.5
P53076	50157.144790825296	48746.48638387365	42985.15635220518	45951.59377166457	45427.76418741336	47538.12657761508	49129.77474862062	48291.33942367502	41310.17725733115	29386.231658672317	24243.603908789293	28304.803755335142	25084.55395400993	26996.60276841495	26835.953062735	26658.7111328892	27204.860188778934	26614.16061920417	P53076	P53076		VID30	0	5.517139965793826e-10	0.7977958214508309	True	0.0076401665536942	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P43611	19525.871834781334	24170.73535338004	20698.835996892045	24465.01803452455	22589.706124772183	19763.34489060761	20478.384642238325	19984.884152092367	18797.93161702284	10184.665365822544	8530.800082099091	7107.757855706625	9447.485870792792	8723.123427716793	9300.275328880734	6681.744210201969	11733.78927564903	9288.027375748055	P43611	P43611		OSW7	0	5.543483725323772e-10	1.2336471875001247	True	0.007645008230851167	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P29952	295254.5034478725	309011.82646361104	321820.97923778376	266895.7785042504	296047.8222056118	303544.40783806576	300236.75924032234	301422.3137064582	293821.64842524857	184955.76872272708	187375.61566641115	183891.17406335013	178050.24458906206	189114.7906256618	174734.46248501344	176429.01643107506	190172.83844778573	182498.41693097205	P29952	P29952		PMI40	0	5.561275098931357e-10	0.7065279240919676	True	0.007649849908008134	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
Q04660	123837.5518994228	111143.49939682572	127762.0254700067	124863.95121113872	107823.53840671766	125595.79363375092	131265.26637753024	122374.63965410614	112467.72906872076	64614.7201704357	65050.71589879146	59617.2920987889	65289.843680016565	70468.86715273948	68254.71503762361	62081.5932460968	66645.34297924943	57824.98389148212	Q04660	Q04660		ERB1	0	5.598625957616122e-10	0.906782916548818	True	0.007654691585165102	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P31373	2069076.8605671928	1998534.5869090413	1906554.6927518544	1926175.268193548	1846272.0480164432	1845959.9161449925	1938083.06127274	2131071.510625188	1861756.9903583024	1241366.9274875326	1151928.9548420843	1110865.452246637	1211951.867094913	1148634.7592371092	1218184.4345302137	1183358.7649583125	1206366.791139437	1176599.098575979	P31373	P31373		CYS3	0	5.612631589976743e-10	0.7185369317411922	True	0.007659533262322069	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P25580	35452.50944083111	35788.98789429859	34863.66633665932	32979.861128552206	37886.56199441508	39983.1888897004	41678.67338552664	38440.81985202437	40694.94347474584	18691.77452571915	21957.35354201096	21661.363158841963	20848.653803279773	17035.889482252056	19671.57673637676	17822.66430994867	18637.332184866234	22477.275275356416	P25580	P25580		PBN1	0	5.653780205144753e-10	0.9176597653944227	True	0.007664374939479036	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P46956	269171.9935629019	314474.3553114212	334982.339737713	288113.55894921167	314959.8783875186	323120.90909553785	305952.3374130772	293487.59539512376	317602.88233299373	146261.41099849562	162920.31866214372	157749.52965237634	152964.85772185103	170943.46409822186	167141.07591485974	148330.6157546261	155100.88951844355	151523.02535295297	P46956	P46956		PHO86	0	5.655535256798e-10	0.9669479567122998	True	0.007669216616636003	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P42945	159107.50690603774	161022.3957778919	149959.21552887495	143862.3320815511	148835.621384404	143692.51969220565	142994.00715004647	135286.22041032673	148067.2544760725	82615.88907057155	76557.7689796731	81273.10547431283	83303.73418645808	80293.01466657846	82533.99095651497	81920.0175978539	86556.80419271118	84848.50559787093	P42945	P42945		UTP10	0	5.662889699890624e-10	0.8490818878751464	True	0.00767405829379297	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P21243	753239.5485568789	747134.7485716387	745835.8422115279	729528.3684152667	673916.3607807138	675662.0116759556	684963.1183677295	693509.4042330381	718362.2318670062	420419.5512351206	427670.5689321367	418745.5008732246	423713.6309384816	429901.7386237839	410863.8037427925	434685.36444219423	438402.495200834	415629.2928082357	P21243	P21243		SCL1	0	5.72232695459153e-10	0.7494720257000675	True	0.007678899970949938	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P53303	250968.31950597416	239533.3061399464	213267.7596531736	235149.54385332696	226403.22279963768	216084.9787672416	241700.2314687962	238065.92535805376	256578.1151452092	144971.94161363604	155992.97793681838	133147.21930034875	153146.58105512967	151196.4378030283	148145.4254647559	153966.07133932997	139226.62223114725	172789.23890579175	P53303	P53303		ZPR1	0	5.737540168751766e-10	0.6468166352732592	True	0.007683741648106905	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P0AEM0	8662.914199586045	15264.619443585449	11201.24787313062	11112.301263702862	8778.0481310164	8120.206769074157	11563.195955452798	11191.273253360236	11539.267907543635	25290.974764571085	22842.235098256093	29110.281026785568	25406.90647134952	23716.53542099369	29439.587517526103	27954.369119062256	25454.632048262218	22699.25825628465	P0AEM0	P0AEM0		fkpB	0	5.748580665962934e-10	-1.251111264325313	True	0.007688583325263872	True	True	Ecoli	False	True	False	True	diatracer	directlfq	min	0.5
P32600	51467.79887179528	50104.47881073791	56168.41246673718	52247.9645058923	52060.868295932494	58080.11932122251	45297.90616456204	57531.021642192594	53772.013784051655	27813.87573985581	29397.71142076912	27088.231119255124	29204.61279548606	32637.35096682191	32681.108957397995	27795.4581963758	24296.45926990929	29443.48335112956	P32600	P32600		TOR2	0	5.781027639446562e-10	0.8726758280916549	True	0.007693425002420839	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P53893	93312.6526371321	84143.2414459796	92071.17540658626	96275.82294611805	82939.87242013543	96627.17075146636	88943.18524929327	85865.9443772964	93891.62760977064	54490.38934525401	54957.96402785786	57239.92752412978	54426.31757125456	61484.71907184948	51801.24093026218	55665.63802807943	56097.20919349112	55284.63637649416	P53893	P53893		RIA1	0	5.82265230343734e-10	0.6990538590931217	True	0.007698266679577806	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P11412	1340437.3499242526	1333452.6142372568	1256420.4941762397	1216687.5029107102	1200980.947044031	1179145.8180729	1277726.2900162025	1188525.335220008	1204194.147514918	738095.4962442975	719329.2494663257	733289.9964910839	768898.9531686321	715928.7836338418	711240.3975559357	730378.1466174646	720572.4442391733	699173.4925173573	P11412	P11412		ZWF1	0	5.838723438063052e-10	0.7765056808329106	True	0.007703108356734774	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
Q06543	12268.075725323892	12863.46094	15464.414128048258	14540.338092570237	13114.35070750724	12515.80914633903	13104.06558764566	13476.45191119127	14026.539033142248	7024.421503409696	7274.276523339825	7892.487785859942	8547.263714432464	8072.75372175526	6359.570087775807	6760.061418390985	6970.872475911297	7694.007274005544	Q06543	Q06543		GPN3	0	5.841812511754981e-10	0.8659522821526092	True	0.007707950033891741	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P28861	5626.798097417553	7008.033432230052	319.2290785438543	6577.954474196909	6414.478192829125	5773.073166243585	8012.049403793652	5598.350019407479	7815.930219901702	18473.601211269408	20216.56423814338	18193.68913846515	19081.86689510332	18503.486022376936	20831.49607503595	22583.551734701927	17498.457819585663	18302.083233691308	P28861	P28861		fpr	1	5.852125660775481e-10	-1.7084412756119292	True	0.007712791711048708	True	True	Ecoli	False	True	False	True	diatracer	directlfq	min	0.5
P53849	1473085.6386427528	1760460.8806904647	1621011.0950202837	1593500.271348811	1574305.7008476714	1606897.7270421728	1760846.7399004707	1710072.8110581215	1558712.0157462095	815337.1742010686	922524.535726579	921449.135390825	838141.2835758305	883626.3270785332	878971.0092878335	906127.359493206	853105.7843196708	857794.3038263535	P53849	P53849		GIS2	0	5.857251953037918e-10	0.8960438797895532	True	0.007717633388205675	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P69776	4203.71849166245	4396.161620999999	4025.2106130971047	4754.42870666441	3826.1403471183767	176.48165593763702	3518.08726990202	3988.645316469346	2688.944550267156	14920.71553630674	11427.650214472802	10380.53457969769	13453.127563741413	11818.29174841279	12386.639027394816	13493.789931049889	14245.928153760704	11108.833636476493	P69776	P69776		lpp	1	5.87549417131183e-10	-1.8423430380066053	True	0.007722475065362642	True	True	Ecoli	False	True	False	True	diatracer	directlfq	min	0.5
P09620	146945.05083755395	141008.8019060045	160199.57210885384	148945.17342090514	131349.93690836497	134739.9072839725	134068.20305065394	147806.3977475667	148075.38186959643	88243.47739723687	82859.37144100567	86484.02520985527	86280.56211049318	78198.67889103758	97686.0324610747	83493.76078607762	83351.62185421	89239.61117165055	P09620	P09620		KEX1	0	5.889253767903558e-10	0.737050969803312	True	0.00772731674251961	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P43621	211885.13598302891	220979.8014996705	215066.507557822	229828.0228034136	226723.7274920412	199802.8013618857	249554.2257601772	230320.48667857292	233482.6428612097	117099.6837129807	110464.9824356666	115687.7558219019	119421.99764912772	127125.97540056138	118511.38766840224	110678.60556390256	118864.70994858744	127627.07947914272	P43621	P43621		RET2	0	5.975927714149667e-10	0.9211647181467211	True	0.007732158419676577	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P49017	156711.3468999672	144738.16947325948	149935.54270196293	160395.02817428854	145397.60341552697	165548.52156976995	140345.98509400495	150492.30481498723	150658.1236684246	102289.49571106987	105991.58072973527	104673.36420175162	97378.44908645174	98594.77634261084	107129.42473622649	98684.074447452	111930.20636097604	98114.62357983048	P49017	P49017		COQ5	0	5.984702081456012e-10	0.560887640018054	True	0.007737000096833544	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P0A720	356.62956565799635	315.01367189999985	319.2290785438543	335.24099991686523	258.7800870669522	3009.320642675644	299.1581447940188	238.83518783211463	309.7196353301593	7426.464029922437	6586.92018455601	6887.458352567814	4848.641999714906	5762.722144295811	6356.603617733303	5740.373543490502	6114.615860924315	8132.343341910479	P0A720	P0A720		tmk	8	6.006552886576667e-10	-3.4102806379495267	True	0.007741841773990511	True	True	Ecoli	False	True	False	True	diatracer	directlfq	min	0.5
Q07527	138729.44794746445	139631.5019801507	137215.42537096533	132066.91237166457	127660.40964817088	135557.92314099934	126265.79425023725	139522.97538601342	153300.52053301994	81112.07642915162	76767.61211081043	76624.4761751919	78719.1704873223	86053.90159115734	79372.94713786965	77803.0599099582	73441.00144234784	79407.99642854516	Q07527	Q07527		TRM3	0	6.011165420617698e-10	0.7941283240985751	True	0.007746683451147478	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
Q07830	27218.985976403037	23850.14331340759	26537.409788644414	24670.17987015055	25449.61104151338	25590.22464765389	28050.483736269765	21290.34720446356	23818.02844881099	14755.75076800326	13409.669061520492	12322.520611652855	11977.263742197192	13382.08376857742	11150.141721517804	11267.324548724222	11888.502471381806	14107.528184477134	Q07830	Q07830		GPI13	0	6.063288042310928e-10	0.9870240958589784	True	0.007751525128304446	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P38765	101004.79748176188	101251.9677777117	111926.19673362818	95218.22226928484	94291.43984811132	98627.622391141	91706.76059749414	86828.40563008565	93997.86012013076	56173.85040997441	51967.61952477697	51983.634035446514	57821.31020506062	50339.14274529558	69604.46811709634	55714.17563411147	53533.87871933437	53477.322982574806	P38765	P38765		YHI9	0	6.099815268116447e-10	0.805338394831179	True	0.007756366805461413	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P05744	911115.5634213684	929589.626812125	926781.1247678216	865435.6374260465	895792.6283983206	841114.2207080846	947919.1199838304	979802.8204986304	1020199.882846709	551588.8900447107	548107.030376977	519182.6277070597	568927.953504685	511904.5216595643	510651.8483213757	523693.6165908943	547820.7523243217	493532.3554439998	P05744	P05744		RPL33A	0	6.17760150343288e-10	0.8005689509228101	True	0.00776120848261838	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
Q06152	11307.253519482943	12528.54547533703	11291.654763090904	10580.77622173467	9373.130092805088	10755.37427573947	11757.593969519983	10353.19014962124	11282.090673502718	4380.863000328377	6092.764364296955	5133.610827304968	7121.6250476240575	6004.362384009983	5880.322255099322	5779.144098204431	6206.8212453717615	5522.123357031915	Q06152	Q06152		YLR271W	0	6.185963751705417e-10	0.9288882867517089	True	0.007766050159775347	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P06738	1836508.000582116	1793507.0738346083	1820606.712375517	1666432.5359534156	1722161.118678394	1646941.6156341638	1765510.0039152969	1574324.7216971882	1611480.5902734078	999452.6702813804	937378.9339632884	958560.7274469704	989363.6253805456	993690.826030976	1014270.8743146354	1039722.5277013012	942617.7463119264	941572.6414979056	P06738	P06738		GPH1	0	6.278742030100804e-10	0.8081372393480507	True	0.007770891836932314	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P21367	104386.29775751798	99181.38687882532	100817.18847613689	99688.4117436021	89854.57485202415	100886.46413519168	92291.3641362384	98618.25964588489	101653.81986581242	375053.2476034428	328939.0458664222	356233.70415544533	377697.5162272134	406007.74017646513	377502.2968407497	382013.5338525453	348109.74711730675	327362.2966307861	P21367	P21367		ycaC	0	6.300624199132264e-10	-1.885600006216911	True	0.0077757335140892815	True	True	Ecoli	False	True	False	True	diatracer	directlfq	min	0.5
P13445	356.62956565799635	315.01367189999985	319.2290785438543	335.24099991686523	258.7800870669522	176.48165593763702	299.1581447940188	238.83518783211463	3456.7162743258464	10032.364357332855	9886.229998952862	9761.715858891534	13859.075418976632	12537.316190320907	13469.551745545818	13838.850769133896	13027.606263893787	14105.65201633515	P13445	P13445		rpoS	8	6.32285015587708e-10	-4.2630544702354065	True	0.0077805751912462485	True	True	Ecoli	False	True	False	True	diatracer	directlfq	min	0.5
P07172	116767.78810871251	126378.79372534312	130402.28767599756	112011.88961160152	111631.70598561782	123883.60842246927	108894.1400749916	116323.83897700987	123712.803576816	56395.25083414519	58153.59871196134	61364.93284775423	56323.795455487736	61901.23634051051	55997.57091333169	58269.00580459104	59180.04474021835	54023.96333825316	P07172	P07172		HIS5	0	6.35022243386862e-10	1.036578269713028	True	0.0077854168684032155	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P23839	5696.279733085492	6143.215331999999	7700.992873961396	6464.526784451866	6526.947278241703	5687.147833771414	5737.823284931404	7310.792119648102	5503.762270169062	29535.4894912461	28578.946258815275	25630.756665345565	32270.32851959559	27101.4853778136	28605.820902905805	32362.598894292576	29524.27394115005	24974.7834010978	P23839	P23839		yicC	0	6.364935070547525e-10	-2.1873972594897806	True	0.0077902585455601825	True	True	Ecoli	False	True	False	True	diatracer	directlfq	min	0.5
P0AFK0	2239.865034451216	2332.1115720000003	1718.8618943972688	1874.836813725748	1563.5872532255758	176.48165593763702	1823.886824772557	1809.60410211962	2389.394536266975	6110.073117377766	7951.193413493256	5569.384848065098	5258.315902989632	7181.311114908951	6873.350562628465	6739.410482969393	6756.8894284932985	6331.195912565731	P0AFK0	P0AFK0		pmbA	1	6.423188896999174e-10	-1.883485349837062	True	0.0077951002227171495	True	True	Ecoli	False	True	False	True	diatracer	directlfq	min	0.5
P23538	24106.53622556126	25843.977351684465	29196.02829712101	25355.40793046866	20545.53350108729	22409.10850136981	26309.81647083552	24139.80077534519	26423.444883004235	70427.62404450965	67343.08660125689	62549.94022807303	79040.46778908845	74966.15977838107	71644.5931275326	80304.07260708492	79939.43376574243	79901.56954891211	P23538	P23538		ppsA	0	6.43294801165729e-10	-1.5701551461384138	True	0.007799941899874117	True	True	Ecoli	False	True	False	True	diatracer	directlfq	min	0.5
P54858	120092.53697910345	120487.20645755554	128736.1216455831	129070.36606471497	118468.16037560377	99167.82020492876	121122.24411500948	113789.0058642551	120211.22311726944	72699.8274901282	58298.881548152	62201.54188791403	66656.02603801641	71203.61276821283	60564.89503920583	61174.88836912577	62924.14724139593	59531.02267615591	P54858	P54858		DOS2	0	6.522668735135839e-10	0.8968802355914837	True	0.007804783577031084	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
Q12009	93282.88971185008	104615.47578385292	107882.09834060348	99701.98782861172	97416.16694930132	103295.2221678132	98127.11882789015	112246.9307070112	113963.25735222512	60709.09643812573	55769.638583979744	52219.85228028117	51723.44601083644	52459.6835089915	52545.41744896212	54549.28960017911	49874.62577367762	53852.94467302658	Q12009	Q12009		TRM8	0	6.62908444176008e-10	0.943929991141916	True	0.007809625254188051	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P06245	131753.458962013	123319.8521773917	142783.77210072652	125608.69175979102	131518.3704760992	126523.15047285263	127159.9314453832	119475.7155331616	119420.5250315838	72243.01548160074	74112.1139110609	71277.37003901384	67382.60290667252	76167.07944873771	74197.57292377121	75808.51872549918	76810.15839351264	72640.05435976062	P06245	P06245		TPK2	0	6.657831416799905e-10	0.7966410236599668	True	0.007814466931345018	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
Q04697	703454.8289781733	746037.57729884	668033.6783548007	689311.6788782191	728156.7412254413	653914.6193176019	674068.6501137664	761381.5127429735	646119.6869409555	408855.1296740231	423443.8048522561	393821.7440595066	387666.4234081039	397839.1671544441	415056.5782118573	385686.89527980174	403283.5504840154	442403.6263828409	Q04697	Q04697		GSF2	0	6.660220983179457e-10	0.7774981246078699	True	0.007819308608501985	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P0ACF0	192303.1941584953	194011.46825778295	182137.83579164368	191282.1543157423	194242.7813872661	181088.1854504327	179005.90788838436	213662.01297056672	180877.2523259024	715388.7935695294	614489.8608817921	631920.0099591684	671153.170896762	679388.7416249169	619565.779362352	704827.2022494987	768306.5919380839	657204.3460934539	P0ACF0	P0ACF0		hupA	0	6.66246895765553e-10	-1.8270282382743546	True	0.007824150285658953	True	True	Ecoli	False	True	False	True	diatracer	directlfq	min	0.5
P21889	39670.5734323877	41719.24293399228	43920.668730167614	38270.837973832335	37819.68257632735	43109.22341964631	42748.686241937176	43762.27874404359	44068.28804493908	130853.02255863714	135618.19779624656	142383.49254218428	134490.39307026044	152740.3849343503	153771.54313427876	157017.5750312579	138631.70718917798	159800.45575388358	P21889	P21889		aspS	0	6.724527202531896e-10	-1.7990821935243746	True	0.00782899196281592	True	True	Ecoli	False	True	False	True	diatracer	directlfq	min	0.5
P0CX45	2505559.545103664	2955993.435183912	2893407.506339814	2823090.0300413044	3067399.5075741424	2966320.3265854856	2812067.156330761	3096740.422043065	3154303.099086957	1755882.857978323	1703005.5489791296	1863595.034487897	1600685.739026165	1697101.905783219	1821605.364505119	1577273.3939323777	1731090.3112439185	1964780.033989528	P0CX45	P0CX45		RPL2A	0	6.734763886470868e-10	0.7415401060860638	True	0.007833833639972887	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
Q02204	21941.305348956557	20712.91697887035	22456.873417165265	18283.08453146653	22999.714706464893	20281.32562333191	21492.598344307527	21881.80826809201	19538.34654039301	10789.330826135165	12484.666030007193	14500.76037655413	12403.178647239134	11452.756536606232	13567.222603255566	12209.00982584118	10264.407308011803	12945.658184615226	Q02204	Q02204		MRPL13	0	6.776266231639321e-10	0.7772944569263486	True	0.007838675317129853	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P38340	71433.77374042325	63362.84700676205	70774.64684544766	71370.10637612184	67810.76301706441	57247.21806886341	60818.28437092717	65735.35074846895	60913.28291064211	40796.26992906202	36724.71925730616	36013.9105389924	38252.40897661704	30602.67477923987	28898.41002763763	39621.21490352797	33436.88929847432	34006.029741298364	P38340	P38340		TAE1	0	6.837288663644413e-10	0.8887840522388701	True	0.007843516994286821	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P40459	58830.55583145932	65995.6664952309	64824.92715136358	54567.02764991072	60941.19284763474	58886.33158512725	58032.90868526761	61036.87569765618	63486.835183124655	37272.32770599527	41142.728549773616	35760.15210332974	36997.72889433348	40715.11578111897	40493.73389410971	36683.97213577734	41482.22613042005	38246.44872314905	P40459	P40459		PAN6	0	6.855734895735054e-10	0.6481145685392534	True	0.00784835867144379	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P28817	69254.0430871664	61267.74350858298	58126.21196792373	58686.35185908509	65842.92264421182	63826.47293576298	63494.729025831606	64744.16822474447	58793.525550685416	37627.910300749456	42151.33800057266	36690.39523823336	36117.07456151665	39336.020680362766	46411.72066279277	42589.2444962703	40772.814799844855	34215.81294223251	P28817	P28817		EHD3	0	6.876931204458929e-10	0.6642657580290584	True	0.007853200348600755	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P0AFL3	7424.841873224481	8226.297662227587	8188.589424103954	10878.246624282609	8673.287239889449	10835.805349763104	10308.481842630224	11397.9756756564	13464.26486486308	21265.607679825494	25091.883159395173	22098.930627609046	24684.59331127221	27832.142147929564	25734.144179329996	21325.850615413747	23619.238752993537	21050.538914437984	P0AFL3	P0AFL3		ppiA	0	6.9144792819748e-10	-1.2505288214006778	True	0.007858042025757723	True	True	Ecoli	False	True	False	True	diatracer	directlfq	min	0.5
P38628	223767.99425737569	207056.08285032748	213680.29339189795	211154.86529067636	201345.3805348388	191700.3501780278	204731.61959082392	190069.8262170055	197605.6299892293	121877.4217885116	113192.68338092072	119473.38992475432	119566.32247205995	119185.3869924481	118410.81751523136	128489.3023062305	121764.22381208744	120874.70796194044	P38628	P38628		PCM1	0	6.93188227638944e-10	0.7657649917164813	True	0.00786288370291469	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P32380	57865.68484816104	59170.724615969295	55863.6482064461	51486.22582456747	54811.070470430845	51218.2315136316	58450.65518144253	55504.4020559601	47673.12201322483	32143.819822877813	31888.58448410993	28005.98217457372	28905.980485014214	27871.054870856868	31174.79602317393	30802.373193787014	27356.35704602938	27432.91185549367	P32380	P32380		SPC110	0	6.944380966451808e-10	0.8896300318641266	True	0.007867725380071657	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P40557	75462.67830347324	82979.11586543692	82685.00949361516	81323.73440150637	78158.47843412557	74006.64823326653	74877.82964114733	82962.71298388836	67736.24912921197	50121.11474935251	53275.40454944083	49799.035649629644	43715.44847698147	48859.1220505422	44683.09480667168	39632.28646043695	48173.852290873976	50644.4209078371	P40557	P40557		EPS1	0	6.953715389241157e-10	0.7070974884500808	True	0.007872567057228625	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
