protein	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_01	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_02	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_03	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_01	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_02	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_03	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_01	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_02	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_03	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_01	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_02	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_03	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_01	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_02	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_03	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_01	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_02	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_03	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P45818	178369.0717757601	177679.18830210107	174245.8768508034	181189.04434224917	178152.46587873646	191075.7445827369	191733.25061528367	179784.98773636087	175047.8165868483	80028.59439786756	93055.35402558048	83655.31609141477	82611.60471839728	111059.19881328128	78727.53457820382	74430.09182373827	109423.2190082624	82635.52008883603	0	5.843752620117543e-10	1.0322971342702563	True	0.006010825182793657	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P22133	150048.9873019484	146244.17962566804	147708.0358055997	121584.36416227966	127676.36548389976	141939.97745178465	147638.1198930527	116334.81018203718	135274.6582293305	71234.29170313537	80143.43342480407	59876.0524206889	61569.1435378846	62984.52219829408	53063.3325608364	75770.21392060182	62282.01699600968	46747.20267875686	0	5.862861880731487e-10	1.1055743101743656	True	0.006015573069983857	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P0A6D3	2119.799798099851	2313.963134765624	3194.173020424595	3305.974221644704	2828.13854412934	1925.5209543992617	3057.879962560125	64.00020139558238	3260.081237243999	130831.52569777904	124736.6679404806	127198.46187509704	114324.71354121552	119439.33354712026	144231.6644952539	142607.51710426755	137043.54808843814	148143.03148026342	9	5.885132393631884e-10	-5.751010655518614	True	0.006020320957174058	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
Q04226	384412.3742394604	327639.70415519114	352702.2487710868	333909.5187660135	301725.54092042963	300061.0261690082	341130.6482192923	351880.2937798848	291722.6021743879	160392.63580525285	159534.72879150126	173329.43510212968	177569.76545947551	147138.02174773655	146572.46248185166	184745.67367236383	109865.65011180716	147393.84962329778	0	6.012781183746674e-10	1.085666976643243	True	0.006025068844364258	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P53210	358075.3381316462	312466.62053202884	342581.04171239387	271619.648358202	327743.8840252083	321304.4498849067	321728.42889912345	329255.10051869106	302334.95680269424	200297.3852679841	146658.46361664782	178672.54055361275	175269.6652786737	173124.46271035873	192597.7432819027	153476.2587144636	184492.51995140643	188941.1300911183	0	6.042686918889965e-10	0.857399477288346	True	0.006029816731554458	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
Q12496	623841.3593632366	623663.5574383995	614591.2557088772	574443.9833387672	575304.9732570398	673680.5386237542	513339.1700214775	611503.6255069152	608676.4889627598	301824.1103999756	323337.1045539734	314925.2337495421	397265.7932827969	378565.3338186914	369485.8409245954	319524.59780849784	346058.7024138708	337976.2932904876	0	6.067615945410865e-10	0.8109160195957728	True	0.006034564618744659	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
Q08647	269391.8581788772	291015.8155747376	255603.89525538863	305529.2951917227	244913.2772193677	253386.7515947169	269660.2129350843	231655.56988129416	259878.38801716676	137946.05263570164	143778.54779024987	107400.69885481083	151633.5426921787	122955.98912558112	133938.91611767656	149236.72633685544	143885.5468788983	103515.87099710792	0	6.088205063064523e-10	0.9954333841242036	True	0.006039312505934859	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P68066	72077.86564286382	97985.2030278085	89149.94652967078	86995.83934170478	89669.68575525576	71887.18724984421	87859.52243378946	79424.729428536	101838.17678089242	334528.18407102424	332431.74543735967	299032.27056709694	366912.3248909369	364076.4665040174	381756.66580885655	399091.4085030219	384916.6511495276	336652.2045938354	0	6.097403078966377e-10	-2.0420216144267234	True	0.00604406039312506	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
Q06178	330614.7340821363	340864.7053220318	320102.1663240336	315730.2611610882	341907.73325209954	270765.4525914805	330861.33898185584	303663.1255606774	302294.2345370085	157872.35720619283	132041.25650291998	161216.71722011163	166894.8473669595	160562.5578337196	163670.58036584288	159951.44371523932	157978.60002339384	150692.81902970877	0	6.104303023870193e-10	1.0178054406804677	True	0.00604880828031526	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P25443	12226932.440544026	11537208.1978894	11207964.31921807	10326308.058014914	11569757.256992828	11995844.17371269	11731851.207358643	12947138.73081068	12057445.05773441	5716539.517895855	5791243.67282795	5774402.28888499	5830095.773450542	6075245.702048391	6423363.913671243	5615316.990293246	5784914.543884719	5627132.957839136	0	6.163260872830943e-10	1.0044323965323307	True	0.00605355616750546	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P21524	418669.8484092568	434550.2599794172	400166.4948060409	419879.4902106229	444180.0668639001	386710.6106559394	414258.69797101006	396361.6034569232	421909.5152822809	246353.75236564997	201011.72162272915	262901.11006081966	296955.82296808914	245771.52713581067	273297.8636334774	236643.01176547984	232797.1780558591	225471.82670954496	0	6.214415897541248e-10	0.7504177851213124	True	0.006058304054695661	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P26612	2119.799798099851	53300.72101297715	49554.84026660676	43324.92036313741	48253.609697538464	1925.5209543992617	42645.66697550906	28493.02454079422	49246.27944779094	150846.5294282272	134208.2155539869	170711.91210023547	149970.65763545554	166475.6916045613	153608.4258065584	155743.25448676775	122898.8930964889	169247.93728142732	2	6.214418318124327e-10	-2.1070642026280764	True	0.006063051941885861	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
Q12189	538720.8885477223	561930.2169516531	545745.6801100677	522449.2671237526	537379.1056710941	519840.6079127062	526226.6048477876	578008.6152676323	543388.2465614779	272694.77939993155	317114.6025373263	269028.68127803726	293363.89867907023	349953.1059963435	317722.44341224805	299414.7426945819	219419.36127690988	306592.74410376744	0	6.214426138021992e-10	0.8815805383799852	True	0.006067799829076062	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P40084	133729.79996731578	136797.263049524	131301.76188233506	127325.16275956114	141976.349545262	141049.83444136535	126663.17319691172	106846.7399581796	122263.47467224534	71472.65345061022	72533.35831297096	67931.22229374576	81904.35408660448	58986.57640368823	51023.89305070911	59742.17231229623	67110.05993733348	50907.53872147951	0	6.246325082610386e-10	1.0058543949007803	True	0.006072547716266262	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P15180	3727941.8191899695	4008738.1007742616	3758646.512035125	3701785.3303611297	3903891.358198089	3425264.924838367	3617474.623005772	3593444.575471451	4251784.901790436	1799371.022776177	1865193.8915802531	1912420.6504072428	1958500.1990057533	1924569.440094176	1884412.358931694	1806167.2492452196	1804487.275709129	2103692.481353598	0	6.355965471715837e-10	0.9945493381726542	True	0.006077295603456462	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P40991	741783.564519557	802039.7026227544	815671.3937623401	763971.2223779588	733690.1254487105	826619.2200825554	739587.9799631274	697082.3918197869	856569.5845768794	434219.75301255	403225.56028052286	402460.4838546166	420954.37860817794	350076.9100902569	418820.80056765175	418132.7795137241	398005.70627708745	407719.0312184644	0	6.388514559648864e-10	0.9332851964519763	True	0.006082043490646662	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P38061	10979220.960145058	12233572.88498232	12130742.920127911	10852576.653047496	11097228.202595036	11300893.927571977	10713930.55780483	11024709.338589763	12479968.724495312	6370465.777002215	6588263.615718076	6808236.094950362	6318652.285314788	7019381.634105728	7150977.204824557	6415966.628523803	6905008.325449481	6898590.76433945	0	6.516004383159519e-10	0.7655968012042008	True	0.006086791377836864	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P53108	48552.29460183966	38439.16796875001	47293.71460528691	31605.838349846857	32111.804861991943	37168.0110233278	38118.62324873053	39813.94513399468	46545.3928777179	2584.501687683985	1728.6630459078056	1168.2671276071508	1834.350879113806	1561.653803918976	2624.002180958289	15068.276107975233	1468.8902217343614	1371.1742506297453	8	6.525189862415401e-10	3.612220897812152	True	0.006091539265027064	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P53316	240555.71185606017	224660.1287312389	244027.43733549103	240612.12134560436	248601.6518864484	227873.0954606115	267749.1840865235	203741.93325136308	247587.94831665276	103463.37709734308	125426.07992781028	114958.2485133032	111116.77992457684	121116.87509409415	102458.53996670626	124957.85729004984	121154.4421666906	120786.8065763914	0	6.613605614198028e-10	1.03714395748969	True	0.006096287152217264	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
Q12486	453593.2165324566	500068.21612419136	585254.5768447072	476625.8280334262	532034.5609878531	467884.32617651945	506899.2627938117	569558.6909911239	500936.5039387731	216743.66434519345	219018.4748981105	254810.0188341227	292313.89665448165	231724.4512538227	278540.9733424495	209913.9701405393	238430.02819218385	234637.28319274407	0	6.624562678221751e-10	1.077624719798121	True	0.006101035039407464	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P68206	23323.974048691063	2313.963134765624	15858.354678481184	3305.974221644704	2828.13854412934	1925.5209543992617	3057.879962560125	64.00020139558238	3260.081237243999	154631.96553171982	152420.790009737	127982.55668456812	188686.81763140028	179362.09214385823	143388.45391017603	187168.31911421084	165755.57653336113	158823.4745217519	7	6.742385676648246e-10	-4.704238871225047	True	0.006105782926597664	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P0AAQ2	19641.66977169676	17052.841796875007	3194.173020424595	3305.974221644704	2828.13854412934	1925.5209543992617	3057.879962560125	64.00020139558238	21291.41333800557	53247.32834076636	66985.7578334325	59952.61503199644	71168.32727854597	63068.5261956099	50793.33653801533	55648.99140018486	70493.18545884722	79170.03199643148	6	6.742429871623816e-10	-2.9790014963627844	True	0.0061105308137878655	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P0AGJ5	2119.799798099851	33546.44731015086	37767.742364456426	3305.974221644704	36507.31007104347	1925.5209543992617	3057.879962560125	35534.13207235024	3260.081237243999	125762.81876997316	99689.98619400582	114673.17864482357	138959.6584065102	103380.1786904657	131319.23825735014	139056.15512161388	102459.38378491173	119724.4566785513	5	6.810367510572103e-10	-2.7753051383198626	True	0.0061152787009780656	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P69451	2119.799798099851	2313.963134765624	3194.173020424595	3305.974221644704	2828.13854412934	1925.5209543992617	29659.75767016332	64.00020139558238	28140.344005780124	85329.36177718948	68896.05834999307	68961.35257401213	88415.67533237129	87378.48907962319	89864.48265468306	58981.26627845905	76692.89946271542	91348.47781488724	7	6.844858814585011e-10	-3.2828636849182686	True	0.006120026588168266	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P12611	135458.87892940536	119327.04509502144	128318.66117249698	129630.58591551396	140322.90501474912	111643.1798290801	143965.4616086454	120667.12719638713	131123.87382411386	80778.86880888515	67189.12075504949	71392.34507499641	67584.68629193216	57949.06449563713	59021.7323135296	67115.21707167168	64938.83679922536	71787.82467575838	0	6.849684866790735e-10	0.9331257959496889	True	0.006124774475358466	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P31142	91041.31357927066	66740.10967649809	3194.173020424595	81802.06421929237	90581.87486416935	67254.58981783663	71106.57626893888	104400.30763335509	77672.38153951381	288158.2606321099	254315.3462571233	213632.2749577133	245798.9882190463	324713.887464026	269615.2846107886	256631.38027001137	273477.8271450398	313835.0977877227	1	6.858364900448312e-10	-1.900079897410688	True	0.006129522362548666	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P06704	341514.557910028	322073.6442851422	309314.2985900655	331531.2883909601	313156.7365382354	266618.0480414866	344431.43862329755	283211.2795634988	316187.3577565347	149946.797672949	156648.47812089833	144920.32884113153	176141.73396140605	135741.50693905877	146792.79885950367	166573.85592058997	173055.4003756468	181250.6829746465	0	6.888288181005237e-10	0.9827059980788861	True	0.0061342702497388674	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P40492	116386.15013271249	110221.83624509689	112088.56638949596	109628.30714768912	122421.8580826268	112136.30767156147	96479.82691564284	91914.48796647313	122426.43690330308	47421.48820659682	63379.12039363287	52438.94760092274	44234.07196802791	46369.59349911226	52695.61677891669	55326.26202320292	55201.79467317477	36219.92921982786	0	6.903449523381916e-10	1.1323916221032901	True	0.0061390181369290675	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P43597	712687.9389925298	754957.0566034977	658305.4853313759	696758.0413215699	695577.0074663108	743106.181602843	776230.0481873661	737201.5961610726	717366.0191530038	422540.8911925628	346106.2631243571	437585.3978662536	409233.59075879	519500.10785632	431633.275389765	352494.62131855055	417798.1552945895	447393.1860775361	0	6.940789406154102e-10	0.7786841527883349	True	0.0061437660241192675	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P40498	216842.80805724053	175186.24049415695	184799.34965372796	178548.42544396667	172391.05292923265	183778.09083292956	181750.62754535244	179913.4247972689	183411.8635977384	85515.79139197964	85314.9084009854	96394.90984679162	91197.21762968	89762.42036409737	100517.9987786294	95193.27810508043	101591.67251132648	93078.3848572877	0	6.946416831713555e-10	0.9822471084252523	True	0.0061485139113094675	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P0A7G6	2119.799798099851	2313.963134765624	3194.173020424595	3305.974221644704	2828.13854412934	1925.5209543992617	3057.879962560125	64.00020139558238	3260.081237243999	74654.83049481236	88015.02039664755	83876.65376258886	93070.75418060667	76616.14787745282	79607.59062392192	71689.84674618662	74136.36230442849	73274.2923233461	9	6.95504551969331e-10	-5.017697314575174	True	0.006153261798499668	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P53981	1761315.6692569272	1863888.096549032	1861795.7990591533	1811994.748915368	1740172.8891460444	1708820.769698901	1755899.859924862	1983682.5877044124	1966943.3863287584	917437.435997424	922180.334637566	932007.0433321426	941737.3866283584	916364.6798704072	914947.4726990992	922771.0174042516	911104.6388577516	992756.3268123644	0	6.96750635185176e-10	0.9749587217752773	True	0.0061580096856898685	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P40968	15837.691689504887	16698.474915746825	15311.968835537462	16526.380603768863	20066.50693663045	17209.449608859835	15629.259239939416	13593.487557681745	19068.46457909321	2584.501687683985	1728.6630459078056	8961.287375914322	1834.350879113806	1561.653803918976	2624.002180958289	1103.0783057606543	1468.8902217343614	1371.1742506297453	8	6.969056530126825e-10	2.6898684225147256	True	0.0061627575728800685	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
Q01976	781234.5071517428	865560.4512227074	823883.7706820606	795337.3036354226	827369.3012442875	742120.4692432438	756859.2777556746	690014.6320468434	837183.2999137756	432511.81791628856	579204.170525966	513634.2600129422	406139.7825657237	466977.67974330176	436108.0319082052	459646.93870132393	446307.5051312016	458988.690106302	0	7.025014975664565e-10	0.761564640544093	True	0.006167505460070269	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P53834	960512.2810098516	926025.6990453784	891547.7636325633	911989.3602333582	1029960.4333409728	873764.5880007793	925829.6156431936	990993.5103183368	796798.349235774	492994.86032309104	455065.4529398254	421442.84676660167	509910.7080112984	473643.5976022788	474873.7717574422	484594.98354090063	407331.23860323086	479590.81284663134	0	7.060148158720704e-10	0.9842009751909987	True	0.0061722533472604695	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P37647	552600.335768208	535299.520431472	519241.1532305121	566494.6133413248	591491.5400044669	555953.0250390967	601877.2485432934	597243.5573495742	463948.4392863595	1951729.150202	1816971.959162326	1792679.1842670431	2159614.004227851	2282499.8741020663	1966636.2574856745	2065998.9753134027	2167017.8460705807	1976726.449687292	0	7.061247872910587e-10	-1.8669229483627545	True	0.0061770012344506695	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
Q01477	600098.4434759205	678916.8775344923	609327.4389454786	605965.1664047955	589397.8667969189	561661.2921246625	536050.7499636308	541360.0838351138	570030.1646940119	294640.75735400355	340842.201969556	314399.6863516923	311557.8636456144	330686.95299617935	288979.1127156389	284664.9731446133	314552.3012778301	357528.62050855736	0	7.064329874684697e-10	0.8992337523979519	True	0.00618174912164087	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P25293	2008556.7413438295	2023851.463719676	1931135.110871737	1679293.4685077337	1815753.2107880064	1740146.5876449507	1766931.421232097	1763670.5161912942	1784119.0150324297	1038382.612298935	962044.9251906916	983902.4654888108	1065888.4416863031	957634.7162785904	992299.2599226678	894525.0825898683	1082846.7069230457	989858.5163135852	0	7.100979758781773e-10	0.8808833405928814	True	0.00618649700883107	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
Q12305	1792303.3973983908	1721980.7068821655	1818396.8124162755	1732070.4251958502	1512270.207973336	1635720.460217639	1482760.5790681976	1553380.564316678	1599644.823133116	878315.8920248105	865222.8334235586	878534.0152877319	915674.8224317896	831386.0004208446	898586.2144842498	1067864.580012173	906367.1672889042	824513.6014830411	0	7.113048980834396e-10	0.8803114134853488	True	0.0061912448960212705	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P38809	719015.7236595827	723259.6986237237	758370.725299706	743731.5055767869	695290.0917600979	555583.5548374578	733506.2029061492	717024.016357845	675189.3083044022	396685.8859121368	334684.85762994154	339770.48089264805	337452.6379815631	362408.2758720075	308043.1024009832	339609.9484101049	402914.2523073516	279554.5135257027	0	7.145515817796654e-10	1.0273549635128023	True	0.0061959927832114705	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
Q06224	159308.0456176011	205414.1154004801	174232.98004062602	170074.37463152726	180174.725326501	175239.69963681436	186691.6806311581	174031.34421742268	194687.4080915977	81557.53989698597	88531.75111329596	76786.18314334593	95157.6916809665	103794.83327190112	63671.62427005221	48825.13998144522	82207.55779708002	95796.3084450403	0	7.315405033395315e-10	1.1374424173848277	True	0.006200740670401671	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P38038	25635.25349040537	19606.582854543736	32598.82478280418	20885.78778114209	25033.576280729416	26775.445149026848	3057.879962560125	22610.60689878831	24439.840053607542	83576.82722108645	67251.99925595577	106020.34819861472	103587.43030843808	95519.81155855762	92014.4731556512	89745.57843838663	103437.81386184871	94629.200193513	1	7.331933103433659e-10	-2.0584926895658713	True	0.006205488557591872	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P09147	2119.799798099851	2313.963134765624	3194.173020424595	3305.974221644704	100477.2905026077	89992.04804463488	3057.879962560125	64.00020139558238	3260.081237243999	310871.3359822618	288560.33495484805	296909.51608596585	339300.75655777974	286497.348862156	309833.7587718926	315794.3383493368	299045.7998606808	272940.4192659921	7	7.36561189317144e-10	-3.71031108508494	True	0.006210236444782072	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
Q02884	289939.28898652154	271151.8341891406	235942.854694763	283273.9081375433	275513.88748800376	294035.39906797523	292285.87568361475	306924.79310138064	299498.1453226153	154260.43706142917	164864.38318526614	145659.8490288526	167291.74536672016	146532.28780382796	143126.8729477277	159250.2159753492	172502.06051333554	136739.49988556348	0	7.375384535349354e-10	0.8743648731850309	True	0.006214984331972272	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P15705	8940185.865815599	8876359.61987444	9455330.467893468	8546938.036954911	9064956.867033074	9222896.840628143	8072582.415550431	8836272.921768846	9905401.602251638	4761153.070620347	4796843.649299953	4808142.965385113	4947061.698236173	4934939.568302807	5061922.248014252	4832711.879705063	4787644.664623275	5361390.8874411695	0	7.478661711745204e-10	0.8694728296239616	True	0.006219732219162472	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P39523	990111.294799265	1007173.5345544468	867885.0312581466	887361.3395687982	867917.8493370066	894419.7742974509	819258.9499385376	820011.954206794	832398.9836228215	516056.2902690764	381931.5373445257	438085.3621386567	555940.299399529	406554.8696347372	407278.4424744661	558867.4451393938	370256.74675059615	473724.572501461	0	7.499521109641656e-10	0.9588899507810525	True	0.0062244801063526724	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P0AEZ3	2119.799798099851	2313.963134765624	3194.173020424595	26034.40658752976	2828.13854412934	1925.5209543992617	3057.879962560125	64.00020139558238	21152.95856562785	53394.87978885863	57648.89734256847	72644.7364940872	58914.80597177856	77231.65124588685	77058.10260199166	70668.23868060239	73006.124023342	86401.87071158116	7	7.539443358985311e-10	-3.322068234442583	True	0.006229227993542874	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P52697	142328.04643613918	191941.48736351903	121061.62735023508	107938.22999820778	132974.78111098488	142205.10003982563	144885.37970450637	64.00020139558238	122045.8920404835	450434.451945018	402878.1631900235	416198.2712526422	482085.3070911528	461382.34413281706	482240.2989018498	421802.4227573212	440254.0774174306	466370.5817459956	1	7.575633825611304e-10	-1.8638767006066306	True	0.006233975880733074	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P37898	1208613.651773342	1251537.0305900231	1267578.843413307	1107994.406609391	1067248.2703121472	1119701.7077104433	1026023.1779537728	1170045.4291356192	1109692.9941249315	587466.3089075821	588031.2235440233	555721.6280504791	650295.4332178063	610112.1716524775	575397.7802489268	665314.9442385366	682021.4043887281	621418.1398905772	0	7.586900416267282e-10	0.8997634774138955	True	0.006238723767923274	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P50861	991057.0228639408	1118089.032421234	1195543.1484051829	1044271.4320152136	1087941.313716885	1058061.329782771	988165.9796490415	1197560.4568543162	1096969.2959681964	554806.9265338825	474740.9480879895	521728.3275289057	469545.6507350993	526387.7603882222	550509.9412086558	539467.7135962469	502996.9748909118	519742.0329383672	0	7.596369068474552e-10	1.0691819629773442	True	0.006243471655113474	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
Q08229	343816.7048152438	373432.7922836383	364518.5992487132	398029.21784614096	364756.2947942892	335320.54776967457	375031.1501914459	290928.38184255385	367783.6685616393	181984.42342196044	144705.41092165004	169902.6031358442	166344.85854161793	188667.3047581004	172971.77601564108	162434.16497962867	184367.56722587423	136648.04704872868	0	7.612116846398932e-10	1.0915367070517938	True	0.006248219542303674	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P36767	2119.799798099851	2313.963134765624	3194.173020424595	3305.974221644704	2828.13854412934	1925.5209543992617	3057.879962560125	64.00020139558238	3260.081237243999	182461.1095563376	149991.551873807	161005.02163974094	152114.10946505336	163132.99773518904	168194.2575701378	130547.2214717633	168654.4057917012	159971.52209842956	9	7.647027936270256e-10	-6.023928494832648	True	0.006252967429493876	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P53925	514466.2949388907	541643.7612788287	487180.4152129642	466407.7990282782	436043.4821825223	483492.56801222765	490153.15764796326	528348.6597916508	476521.1500923719	279352.6294246044	298414.6007702752	293600.6263757463	289295.1123213194	274840.9220448876	247702.66661172928	362162.5442124561	241343.9075582749	258990.88170699068	0	7.694551397722287e-10	0.7973706676263205	True	0.006257715316684076	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P38811	435519.5299941179	370752.0928865622	360716.649796755	328387.6626090525	357862.0629214122	376053.15703853953	369673.07475336647	373406.08820830553	375597.2685546285	179203.05549808042	222992.04358344185	209062.0097191463	186728.6063405394	236668.8274124205	233052.30536194972	212270.67753012813	196384.13542908835	215541.232736638	0	7.912202041990291e-10	0.8234475197075772	True	0.006262463203874276	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P53250	910407.3581812788	1014752.4101092116	994356.0689777466	960821.0916544306	877304.1723205652	812941.7938395157	989423.243323763	954781.1244802264	991869.804399636	474541.0429284571	490263.8072252406	439948.5320625537	539219.280831802	502087.44385648135	523875.5813848332	460931.4160320997	497159.7992892453	483710.3283072052	0	7.912456069538969e-10	0.9472454303209826	True	0.006267211091064476	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P25349	2539039.4264246547	2811616.1351393173	2898394.4276073333	2515497.301939238	2538178.2583098933	2250991.760256379	2620803.5391051588	2639607.163623429	2566492.5418091025	1343927.324686837	1292128.9108772129	1252720.9678139775	1261463.9872345498	1203931.5823194543	1261118.169364219	1181272.7844500593	1444377.6374044698	1338144.0306175028	0	7.934684275894428e-10	1.0137919188365077	True	0.006271958978254676	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P34217	463489.8319464442	502022.5836870731	467063.14412400767	438260.6651777341	427517.9070952352	477000.8452638131	504164.4841550915	414748.7286268663	473180.48430537456	248759.84211831496	233658.35682059423	217760.4422862972	230919.66465781556	228040.4408245504	252576.67293650887	229805.4923295106	256522.1670384608	242685.32140224564	0	7.938208753663443e-10	0.9610626623317223	True	0.006276706865444878	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P12868	174989.93630875557	205423.7648290245	166620.93226990083	158649.14075551974	174534.20720833752	174935.0246089975	187082.25659113063	182815.6839904005	174311.35066078382	67848.68149363839	96863.14203221248	103684.8607730471	85524.09614983613	115101.2234762049	87858.13170135631	105304.5374482286	96803.41347433074	103315.32597118847	0	8.050087428203275e-10	0.891229289329549	True	0.006281454752635078	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P41911	1395458.0655771203	1501657.0614652687	1430951.3208407597	1289074.107694449	1333139.8363016082	1499478.894488671	1359909.0463871397	1340635.100733236	1370950.1916951404	707065.6552316676	738988.2535529401	754838.7857850768	757480.6396649311	775615.1060260022	737871.1030318956	741005.1720283685	756216.2903840485	727765.9373667531	0	8.109591930066881e-10	0.9028251111763043	True	0.006286202639825278	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P38333	400566.56922675663	468778.9425054804	477347.3442994369	398813.214552809	417587.2034182905	422329.4219042646	431200.53839225846	403059.6831154366	437397.9039197331	223240.9663255082	203595.03253085687	201038.61074439617	213060.46835996452	221666.5697814282	219845.2071850495	236565.881215088	206236.27126045732	213264.9703668581	0	8.224498418302654e-10	0.9925582387743722	True	0.006290950527015478	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
Q03161	2292301.047778597	2729410.915011635	2760991.480419497	2561031.413681009	2522803.2667860137	2699489.3048215425	2378648.896730828	2437450.5944659	2589409.6623828327	1337164.8382396444	1505656.742920542	1350788.1603221488	1449558.9288726165	1477366.3681963875	1561586.9275744185	1505104.8080948028	1494649.33737062	1538334.1141066651	0	8.24397988876424e-10	0.7971022442824339	True	0.006295698414205678	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
