Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_02.d	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P38067	P38067		UGA2		47694.9	46872.8	51032.1	46282.9	46691.2	47524.7	28668.8	26191.3	28017.7	48801.6	26207.8	52207.0	51875.7	30084.7	27603.1	25408.9	24497.1	25533.2	0	6.2052119348689e-13	0.8578908259929896	True	0.002475295485371052	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
P00550	P00550		mtlA		1320.76	1600.49	1734.91	2012.25	1350.85	1293.21	6549.47	6648.52	5964.57	1238.35	6603.75	1656.93	2244.97	7413.64	5809.13	6461.58	6257.55	5902.83	0	6.227128214251192e-13	-1.995004268425634	True	0.0024801395078473164	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P27302	P27302		tktA		36062.7	36399.8	35217.1	36639.2	35890.2	37041.1	129321.0	128041.0	122768.0	34479.0	121715.0	38904.0	37363.0	134419.0	129918.0	135663.0	132306.0	127059.0	0	6.269046425909782e-13	-1.8238783353392363	True	0.0024849835303235807	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P25553	P25553		aldA		156507.0	163020.0	153801.0	149695.0	147374.0	143242.0	561996.0	574040.0	570988.0	181045.0	526340.0	165514.0	161476.0	589445.0	591974.0	613719.0	598459.0	620757.0	0	6.27905814699421e-13	-1.8840995124004656	True	0.0024898275527998454	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P38715	P38715		GRE3		272301.0	282063.0	277883.0	281762.0	288198.0	274566.0	147385.0	152448.0	158631.0	296893.0	152907.0	287355.0	300774.0	146069.0	153126.0	154822.0	150158.0	146662.0	0	6.31385316044286e-13	0.9112080229331949	True	0.0024946715752761093	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
P15288	P15288		pepD		31175.8	30758.3	31933.2	29193.3	30443.9	28909.9	107166.0	96296.8	99283.0	28947.3	102370.0	32161.8	32162.5	107791.0	99625.6	99743.4	101240.0	96379.0	0	6.356064958079594e-13	-1.7226737481074734	True	0.0024995155977523735	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P0A9L5	P0A9L5		ppiC		11166.9	10174.8	10031.3	8657.73	9875.57	9151.39	23888.9	20927.9	24795.6	11252.6	24276.8	11373.2	11238.6	24509.6	25263.7	22330.8	24987.0	23497.3	0	6.408896335249751e-13	-1.2067334721306457	True	0.002504359620228638	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P43585	P43585		VTC2		113561.0	110508.0	113905.0	116902.0	115514.0	111043.0	61965.5	63062.4	61500.7	120323.0	64572.4	119717.0	119098.0	63475.6	60744.2	63744.5	64685.4	61046.1	0	6.418942773187656e-13	0.8815715862773208	True	0.0025092036427049025	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
P0ABT2	P0ABT2		dps		138613.0	134017.0	145486.0	134921.0	137301.0	135104.0	516245.0	503355.0	482918.0	145522.0	474391.0	156109.0	149884.0	513841.0	511817.0	543295.0	537750.0	503868.0	0	6.524785981648827e-13	-1.8449919234352536	True	0.002514047665181167	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
Q12427	Q12427		STB3		18717.2	17095.3	17294.1	18185.5	19334.5	18865.1	9946.37	9473.6	9893.71	18737.5	10900.5	19416.9	19201.4	10668.4	10521.5	9517.24	9567.63	9561.59	0	6.67011106952663e-13	0.8897232371288011	True	0.0025188916876574307	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
P0ADZ4	P0ADZ4		rpsO		11658.3	14840.3	8790.16	12624.9	11094.7	9946.27	28971.0	31096.4	34039.5	10942.4	31699.0	13558.8	12366.4	32015.5	35725.7	35658.3	32576.5	34891.3	0	6.700326149054877e-13	-1.4872318815171557	True	0.002523735710133695	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P00579	P00579		rpoD		13889.9	14448.4	14120.7	15932.7	13294.3	12070.1	43410.6	40641.0	41367.9	14692.8	44702.6	14571.8	14006.6	48141.0	43684.3	42409.5	43004.5	41383.0	0	6.73893954575518e-13	-1.6136833065578267	True	0.0025285797326099597	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P53379	P53379		MKC7		19763.8	18870.7	20786.3	19952.2	19873.9	17947.6	11054.2	8921.85	10347.6	21113.6	10658.1	20742.3	20581.0	10436.4	9665.77	11308.0	10833.6	11676.6	0	6.749393334724499e-13	0.9205273378770672	True	0.002533423755086224	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
P32461	P32461		DPH2		30194.4	33429.0	33793.4	33667.4	33116.1	33865.5	19697.9	15735.3	14745.6	32088.9	16508.4	31102.2	33258.1	14632.1	16945.9	16477.6	14281.0	17958.4	0	6.886901053738839e-13	1.0026996633061616	True	0.0025382677775624882	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
P38903	P38903		RTS1		87329.4	87662.6	88067.2	88168.7	84394.4	78274.0	42622.9	43561.2	42291.5	88364.2	45124.6	91980.8	89516.3	46198.1	45489.0	49563.5	46086.8	44613.1	0	6.892795526613011e-13	0.9505252430972367	True	0.002543111800038752	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
P33204	P33204		ARC19		134150.0	134225.0	136826.0	126128.0	126875.0	128728.0	68837.6	70474.9	74840.9	135326.0	71274.7	131968.0	143647.0	69860.9	73606.2	66124.5	70578.3	66277.4	0	6.98411976595904e-13	0.9227629544874024	True	0.0025479558225150164	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
P13856	P13856		RSR1		50891.9	47681.5	51452.3	50910.4	49523.7	51507.9	26631.4	25424.3	25323.6	54797.0	29218.4	55192.9	55400.1	24714.2	26415.5	22716.4	24436.6	26330.7	0	7.081477537674315e-13	1.0153165028711122	True	0.002552799844991281	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
P0A796	P0A796		pfkA		20238.3	19451.2	20614.4	21288.5	20414.6	20412.3	67346.4	65594.7	62465.8	22431.9	63808.4	21101.2	21734.0	67776.6	68612.8	61805.2	63206.7	68264.0	0	7.092628178523365e-13	-1.6496510319626594	True	0.0025576438674675453	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P05694	P05694		MET6		793482.0	773132.0	792565.0	810862.0	789547.0	813720.0	440786.0	428592.0	420354.0	819029.0	432384.0	859836.0	847209.0	440361.0	461216.0	444209.0	436891.0	454853.0	0	7.143693092523051e-13	0.8824028674707027	True	0.0025624878899438096	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
Q12263	Q12263		GIN4		39433.5	40526.3	40930.2	40885.6	39756.5	40183.2	23870.2	23061.5	22994.6	44075.3	22613.9	43577.5	41931.2	22259.3	22208.3	24600.7	24277.4	24251.5	0	7.265092946450226e-13	0.821249641343488	True	0.0025673319124200735	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
P25574	P25574		EMC1		121128.0	110346.0	117243.0	117927.0	115686.0	119199.0	63635.2	58527.7	58286.7	113471.0	63523.7	122414.0	126471.0	64707.1	61147.3	59190.6	59550.0	59275.8	0	7.306827564700329e-13	0.9575049030641397	True	0.002572175934896338	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
P40462	P40462		TMA108		62443.4	61816.9	61806.7	65360.0	62582.2	63957.3	36496.2	34642.8	34548.5	63744.3	37165.9	69010.5	67380.1	36660.6	37614.4	36311.8	33401.7	36718.4	0	7.429114599936276e-13	0.8372879624333452	True	0.0025770199573726025	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
P0A877	P0A877		trpA		15742.6	14292.6	15723.6	18037.4	13336.4	16240.7	35121.0	33923.6	30921.2	17419.4	33284.0	17896.1	16753.2	35773.9	33785.1	38303.4	34690.8	34851.6	0	7.457446457081008e-13	-1.0948674735120505	True	0.0025818639798488668	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P0AAB4	P0AAB4		ubiD		6077.38	6750.19	7085.28	7570.74	5544.48	6126.46	18931.7	19958.2	19242.4	8610.62	15666.0	6432.53	6907.66	19521.8	18944.6	19704.1	18785.4	19475.9	0	7.664624613825887e-13	-1.4781157882975122	True	0.002586708002325131	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P07273	P07273		DST1		29868.5	30885.0	30551.5	27104.8	30072.6	28683.3	18071.5	19846.5	17889.0	31040.5	16531.8	30852.6	28565.4	16210.1	16879.4	17716.2	17307.7	16397.2	0	7.814862284313655e-13	0.7708285676035448	True	0.002591552024801395	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
P30958	P30958		mfd		18564.3	15294.5	16466.3	16759.0	18775.6	15218.4	60906.0	62809.3	61486.0	17301.8	56129.6	15478.5	16719.1	62793.1	59924.4	55987.2	56132.9	63670.1	0	7.823385660801706e-13	-1.8420219254850134	True	0.0025963960472776596	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P53173	P53173		ERV14		133906.0	129146.0	143349.0	136802.0	139173.0	138107.0	81968.0	76921.0	75491.9	149033.0	76227.6	137818.0	134909.0	82315.4	74634.8	81255.9	75396.2	74083.7	0	7.825190930490708e-13	0.8310398976370097	True	0.002601240069753924	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
P43583	P43583		BLM10		23637.0	23392.6	23038.7	22956.0	22977.3	22235.0	12793.1	13514.9	12917.5	23464.3	12970.1	23358.3	25117.0	13452.0	13567.6	13768.7	12953.6	13062.8	0	7.930887367387861e-13	0.8206340996100862	True	0.002606084092230188	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
P53845	P53845		YIF1		109089.0	108097.0	99437.1	95419.4	102470.0	97368.8	60763.7	53633.5	52512.6	105678.0	50770.9	106074.0	106284.0	58275.7	55245.1	56703.2	58117.4	53056.3	0	7.988621138127548e-13	0.8978359535712369	True	0.0026109281147064524	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
P23847	P23847		dppA		56958.2	57560.8	53508.2	58019.6	59058.2	54688.6	188230.0	194213.0	186318.0	63598.3	179050.0	59691.3	61856.0	195250.0	198352.0	208988.0	199769.0	189228.0	0	8.086869026454897e-13	-1.728365839999612	True	0.0026157721371827167	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
Q12306	Q12306		SMT3		161860.0	172814.0	174631.0	170260.0	152196.0	164613.0	90975.6	99447.0	94098.9	173273.0	97100.6	177171.0	171277.0	96993.8	107754.0	104596.0	86833.6	96636.1	0	8.097421950560723e-13	0.7958380328852974	True	0.002620616159658981	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
Q12044	Q12044		RCN2		51463.5	53241.9	56812.1	52732.3	51647.7	57061.5	29225.9	30871.6	29747.8	52479.7	27929.4	57391.0	55132.5	29097.0	27586.8	28624.6	26265.5	30083.5	0	8.113672057304239e-13	0.9114123958367601	True	0.0026254601821352453	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
P0AB89	P0AB89		purB		8449.15	8842.1	7265.36	8849.29	8627.28	9535.99	30914.3	30192.2	30575.0	9435.59	26243.7	9537.44	8353.87	29193.7	31837.8	29357.0	30430.7	31009.1	0	8.154389144984426e-13	-1.7736163354403731	True	0.0026303042046115096	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P14126	P14126		RPL3		3266080.0	3147600.0	3380980.0	3311970.0	3361970.0	3349070.0	2017030.0	1797640.0	1875330.0	3279870.0	1937300.0	3564210.0	3620780.0	1987500.0	1987280.0	1793460.0	1768660.0	1887900.0	0	8.16129345781196e-13	0.8285363215573848	True	0.002635148227087774	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
P32590	P32590		SSE2		136521.0	139169.0	140675.0	135532.0	139168.0	135280.0	79222.8	76399.8	79035.7	148065.0	75753.3	146535.0	150815.0	75776.0	78650.1	85289.6	76235.7	82103.0	0	8.366326155612405e-13	0.844055914804833	True	0.002639992249564038	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
P36148	P36148		GPT2		137057.0	137067.0	141375.0	141714.0	145533.0	148656.0	67487.9	74630.8	70804.4	135800.0	75713.0	146923.0	151884.0	71025.7	72356.3	71779.8	75296.3	75060.5	0	8.392726282806592e-13	0.975196977421598	True	0.0026448362720403024	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
P38875	P38875		GPI16		16230.7	16958.4	14811.3	17131.2	17093.2	17917.8	8317.08	8004.49	8619.93	17225.1	7108.7	16884.7	15856.6	8368.94	8777.05	6887.34	8450.59	8144.5	0	8.475436066073749e-13	1.046407546917622	True	0.0026496802945165667	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
P27614	P27614		CPS1		211678.0	217985.0	197667.0	211619.0	209921.0	201702.0	114619.0	111463.0	109494.0	208547.0	105835.0	226241.0	215930.0	115456.0	119376.0	109659.0	116823.0	116957.0	0	8.50769313244279e-13	0.8988592995147618	True	0.002654524316992831	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
P77213	P77213		ybdK		2915.92	2675.05	2854.8	2443.01	1718.57	1976.47	9551.09	9025.92	7831.63	2641.72	8064.65	2534.05	3321.84	9490.18	9239.32	8718.62	9880.73	9166.62	0	8.592569806221341e-13	-1.8106327751731701	True	0.0026593683394690953	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P0AFC7	P0AFC7		nuoB		5470.15	6669.96	8609.85	8663.2	6763.48	6041.03	20073.4	18856.4	17808.5	7447.75	16956.6	7152.34	6740.92	17987.9	18514.5	17077.1	18603.9	16042.7	0	8.676212542959882e-13	-1.3491290371253255	True	0.0026642123619453595	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P37304	P37304		PAM1		26779.3	24774.0	23852.4	25300.6	25547.5	24549.9	13132.3	14990.3	13500.2	24659.0	14205.5	26048.8	27792.9	13712.9	13177.2	12994.9	14527.1	12356.9	0	8.681391965738592e-13	0.9033368318521	True	0.002669056384421624	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
P00350	P00350		gnd		50386.8	49562.7	48920.2	47689.1	49334.3	49927.6	157255.0	154541.0	156278.0	50873.5	154618.0	53414.9	50742.4	160463.0	160385.0	168755.0	168863.0	167267.0	0	8.697583940564467e-13	-1.6837607566054311	True	0.002673900406897888	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P47116	P47116		PTK2		84681.2	81527.3	86162.1	84458.1	86838.6	84838.0	47292.8	47079.9	48953.5	89463.3	49895.1	93958.6	91012.7	45109.7	46885.0	48532.8	53554.3	49561.5	0	8.92626880347511e-13	0.8417153615755842	True	0.0026787444293741524	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
P53090	P53090		ARO8		657521.0	638607.0	648616.0	673054.0	620124.0	657006.0	379172.0	378976.0	358045.0	672178.0	358277.0	706987.0	655522.0	389262.0	364832.0	385750.0	369220.0	387905.0	0	8.958339022774689e-13	0.8145739410486796	True	0.0026835884518504167	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
P60785	P60785		lepA		8177.4	8736.48	8500.98	8942.38	6367.51	8194.04	29467.2	25745.8	26223.2	9917.44	25612.4	9927.51	9241.03	27747.3	31023.5	28561.2	28868.1	28939.0	0	9.001562995523823e-13	-1.6928636597942097	True	0.002688432474326681	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P75838	P75838		ycaO		4728.13	3682.62	3290.88	3427.41	3839.93	4632.94	11731.9	12992.5	11669.5	3006.59	10266.7	4207.48	4460.26	12439.4	13170.9	11831.4	12218.9	12614.5	0	9.202027461632871e-13	-1.6267081249638953	True	0.0026932764968029452	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P39926	P39926		SSO2		88507.0	89146.1	86617.1	82936.3	84514.7	80846.9	43122.6	42189.7	41479.3	90585.1	44611.3	86633.2	87357.8	43225.6	44937.9	41728.4	44479.4	43585.4	0	9.329628224662609e-13	0.9970791195865111	True	0.0026981205192792095	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
Q04432	Q04432		HSP31		87743.6	81829.0	92023.1	86769.2	85227.5	90515.3	48679.1	43859.1	45744.2	94897.1	42882.3	92774.4	92421.5	42553.2	46370.2	47246.9	48401.3	49428.3	0	9.407892962807141e-13	0.953872157797278	True	0.002702964541755474	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
P32895	P32895		PRS1		32179.6	32137.8	32999.4	31921.4	29406.0	30351.4	17674.3	21505.2	19357.2	33854.2	17579.8	32050.0	32936.0	17986.0	20127.7	18744.1	20437.2	19526.8	0	9.466991364586201e-13	0.7349886278977561	True	0.0027078085642317385	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
Q07418	Q07418		PEX19		48059.6	48007.8	44845.7	45394.4	48454.3	45895.0	24102.1	26906.9	26058.1	50719.4	27541.0	50339.9	47372.8	24893.9	24891.4	27331.4	25755.7	25765.6	0	9.497904490854801e-13	0.8794236221865847	True	0.0027126525867080024	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
P12945	P12945		NAT1		86703.0	93271.6	85146.8	87721.6	84845.1	84250.8	47913.0	48946.6	46201.0	88562.0	50862.4	94984.9	87559.9	46617.4	52612.7	50172.8	50405.3	51417.6	0	9.665519613707424e-13	0.8331163382477202	True	0.0027174966091842666	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
P15640	P15640		purD		25067.9	26001.0	25955.9	26082.5	25821.3	25232.2	92599.8	89121.1	91243.8	27308.7	88434.7	29574.8	26471.8	95807.9	93764.5	94347.4	101548.0	97517.3	0	9.756131191968396e-13	-1.829874786334708	True	0.002722340631660531	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
Q12285	Q12285		MDY2		56167.0	53449.9	56822.3	57680.1	54681.7	57095.7	35022.6	30404.6	29496.2	60852.6	31091.0	60345.3	53128.7	34102.8	31900.6	30441.2	29828.8	30053.1	0	9.811119714978225e-13	0.8536906497335763	True	0.002727184654136795	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
P23827	P23827		eco		16880.3	18723.8	16156.3	18139.2	18135.1	18077.0	50911.6	50079.3	52917.1	20105.6	54045.5	19857.4	18786.5	51585.7	52304.3	55481.7	59129.7	52004.5	0	9.83330107962053e-13	-1.5371446078532776	True	0.00273202867661306	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P38828	P38828		LSM12		50826.5	51381.1	49845.4	53046.6	49126.2	48101.3	27830.0	28928.5	28907.3	50701.5	30180.0	55240.6	51761.7	29144.2	28618.6	28809.8	26679.2	26466.3	0	9.968501410818565e-13	0.848046708411039	True	0.0027368726990893238	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
P0C8J8	P0C8J8		gatZ		17907.1	16548.1	20308.2	16004.7	18737.3	15567.1	56543.3	47450.7	49131.7	17264.8	54267.9	17651.9	16609.3	54363.2	53419.0	49950.3	50350.7	52338.7	0	1.0188175294637094e-12	-1.5788692692484005	True	0.002741716721565588	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P0A9D2	P0A9D2		gstA		8067.73	7126.74	8941.03	9320.77	9496.57	7842.91	28492.6	25135.8	26488.7	7727.53	25862.4	8248.61	9783.55	29070.2	27350.5	29136.4	24598.9	26208.2	0	1.023014914702637e-12	-1.6624777746612962	True	0.0027465607440418523	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
Q04371	Q04371		YMR027W		130227.0	130551.0	134133.0	124809.0	133724.0	131146.0	81213.7	69702.1	70695.5	134403.0	74576.9	141820.0	145196.0	77244.3	80473.4	71115.1	73899.7	75157.5	0	1.0295477264108903e-12	0.8392527998959337	True	0.002751404766518117	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
P05020	P05020		pyrC		12351.4	15528.3	13471.8	13914.6	12265.2	13242.5	39227.4	40702.4	35802.0	13191.2	37087.3	13272.8	13727.5	34995.4	37427.8	39306.1	40735.7	38351.1	0	1.0594405795209358e-12	-1.5062845687604416	True	0.0027562487889943813	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P23882	P23882		fmt		5914.6	5774.87	5245.15	5398.85	5816.03	5257.64	24058.4	22756.9	22683.6	5752.37	21389.3	6303.91	6887.95	24501.1	22653.6	23514.6	23965.1	25805.4	0	1.0756703466541865e-12	-2.013184733358746	True	0.002761092811470645	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P0AE52	P0AE52		bcp		11816.2	10393.0	10754.0	10240.0	11898.4	9967.35	43986.4	42919.8	40862.1	13251.1	39487.5	12108.8	12020.8	40833.5	43634.2	45516.8	46216.5	46181.0	0	1.089771336469218e-12	-1.927218588975124	True	0.0027659368339469094	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P22564	P22564		rihC		17931.7	16612.9	21786.3	17628.1	17654.8	18257.0	39871.6	36259.7	41938.8	18953.1	42015.1	19256.9	19066.1	41550.1	41284.9	41705.9	41548.5	45075.9	0	1.1058113563700879e-12	-1.1512763707623346	True	0.0027707808564231737	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P0A879	P0A879		trpB		3957.7	3544.3	3203.6	2934.29	4018.98	4167.0	11183.3	10896.7	11293.3	3719.92	10480.9	3239.21	3601.92	11518.2	11269.8	9380.59	10556.4	10007.9	0	1.1113354518279453e-12	-1.5764190946113086	True	0.0027756248788994384	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P38631	P38631		FKS1		91970.5	88989.2	89412.7	90315.4	92822.8	88496.8	51863.6	51387.7	49191.5	95780.9	48678.2	97416.2	93991.2	51427.8	51980.6	49171.3	49851.6	49245.5	0	1.1162333236365312e-12	0.8728456864216482	True	0.0027804689013757027	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
P27810	P27810		KTR1		24282.6	24505.6	26044.4	25322.0	24218.2	25590.5	14231.0	13603.3	13310.9	26749.6	14409.8	25519.5	27043.2	13822.4	13525.7	13514.2	13990.9	12682.2	0	1.1245925280987515e-12	0.8973645800768855	True	0.0027853129238519666	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
P42593	P42593		fadH		6075.25	6588.6	5996.91	6943.66	6082.74	4854.23	14973.2	12569.6	12801.4	6819.69	13335.9	6042.97	5622.35	13924.8	14138.5	14377.7	14951.7	14095.7	0	1.1268658747181835e-12	-1.1856756869915084	True	0.002790156946328231	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P38803	P38803		IPI1		15265.5	15141.0	14579.9	15235.7	15326.3	14995.5	7558.69	6410.76	7103.47	13450.1	9351.82	15870.4	15610.9	7607.81	7991.44	7664.39	8398.7	7516.54	0	1.1399117012876515e-12	0.9607955959084536	True	0.0027950009688044956	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
P14020	P14020		DPM1		719029.0	702081.0	734171.0	713637.0	754198.0	726206.0	413640.0	367160.0	385976.0	710871.0	396611.0	779373.0	776845.0	399317.0	394245.0	382806.0	378105.0	397468.0	0	1.1441622077321957e-12	0.9123895478202254	True	0.00279984499128076	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
P40202	P40202		CCS1		62611.4	62487.6	58085.7	65685.2	64821.5	62314.8	36657.3	39473.3	39004.9	60573.5	38731.6	62145.4	66383.5	37926.4	40054.8	41479.4	35752.9	40228.6	0	1.1538771318883384e-12	0.6940235042430196	True	0.002804689013757024	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
P0AE88	P0AE88		cpxR		10444.6	10685.0	10613.2	9509.52	10002.4	10919.5	32824.3	30778.5	33266.9	10483.1	31120.2	10318.4	10524.3	31523.3	31518.1	30249.3	31031.7	28956.0	0	1.177836482500867e-12	-1.5889083859224378	True	0.002809533036233288	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P12383	P12383		PDR1		19034.3	19336.5	18494.1	19026.2	17103.8	19278.9	9423.37	10561.3	11072.5	20098.8	10367.6	19252.9	20094.7	9741.56	11262.4	10570.1	10537.0	10200.4	0	1.1793654488670322e-12	0.8733810811878924	True	0.0028143770587095527	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
Q06449	Q06449		PIN3		54364.7	61672.2	58261.4	55276.0	61269.5	57416.4	29648.7	30259.3	30887.1	63201.5	31825.6	60854.2	60572.0	28998.3	34353.9	28949.4	30876.2	27266.1	0	1.1836304417389405e-12	0.9645897792257246	True	0.002819221081185817	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
P19454	P19454		CKA2		138506.0	132949.0	138653.0	141673.0	137017.0	131606.0	77465.9	76358.3	79341.7	139233.0	80659.8	143366.0	146269.0	79587.7	75070.5	75769.4	78270.0	75627.3	0	1.1843862630810704e-12	0.8394774416647386	True	0.0028240651036620813	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
Q06697	Q06697		CDC73		45214.7	45666.9	42158.9	43452.9	45639.6	44340.3	22075.5	23518.2	24157.8	45149.9	24768.6	45506.3	49265.6	23690.0	25214.6	23034.8	24768.7	25038.8	0	1.204721087723869e-12	0.9100694648378249	True	0.0028289091261383455	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
