Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_03.d	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P00944	XYLA_ECOLI	xylA	Xylose isomerase	2	2.0	1694.59	2347.24	2533.55	2987.76	2515.21	2108.73	2602.38	66.2308	3025.67	33956.6	30641.2	37750.4	38219.3	34079.4	33899.3	37480.3	29083.9	34288.4	9	1.5225566170790708e-10	-3.9599791891955696	True	0.006166180758017493	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P43561	FET5_YEAST	FET5	Iron transport multicopper oxidase FET5	7	7.0	121075.0	117410.0	119967.0	111638.0	109162.0	108156.0	98028.6	115048.0	112028.0	47009.0	51673.8	53241.4	55129.4	52640.2	47556.6	51719.2	49325.2	54127.6	0	1.5366869146649336e-10	1.130656671824271	True	0.006171039844509232	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P38828	LSM12_YEAST	LSM12	Protein LSM12	8	8.0	237637.0	242860.0	236111.0	240290.0	210426.0	208839.0	229084.0	228322.0	210930.0	121865.0	123087.0	121936.0	116197.0	111224.0	118638.0	124778.0	105798.0	114684.0	0	1.5393896541066827e-10	0.9501254909536647	True	0.0061758989310009725	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P21889	SYD_ECOLI	aspS	Aspartate--tRNA ligase	14	14.0	60605.0	53775.4	55059.2	55350.3	50281.8	62893.2	54855.1	54050.2	65486.7	204222.0	198660.0	215333.0	219925.0	238204.0	237983.0	238380.0	224143.0	245881.0	0	1.5660577389458376e-10	-1.9810834459000561	True	0.006180758017492712	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P69451	LCFA_ECOLI	fadD	Long-chain-fatty-acid--CoA ligase	3	3.0	1694.59	2347.24	2533.55	2987.76	2515.21	2108.73	11223.8	66.2308	11488.4	33311.5	23830.6	27951.6	35817.4	35074.6	33617.1	34164.4	28995.3	34642.1	7	1.5886447312129988e-10	-2.9588313986023578	True	0.006185617103984451	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P23291	KC11_YEAST	YCK1	Casein kinase I homolog 1	13	9.0	298061.0	267040.0	282499.0	267233.0	251809.0	255539.0	249565.0	255576.0	253200.0	143348.0	137527.0	130106.0	148291.0	124975.0	139820.0	137398.0	127020.0	134050.0	0	1.6258839312359407e-10	0.9614021931293415	True	0.006190476190476191	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P07284	SYSC_YEAST	SES1	Serine--tRNA ligase, cytoplasmic	19	19.0	2899750.0	2960360.0	2860210.0	2708810.0	2735170.0	2623360.0	2812050.0	2713760.0	2538280.0	1445340.0	1390260.0	1474640.0	1497560.0	1502920.0	1415880.0	1486030.0	1392630.0	1451520.0	0	1.6277311818348704e-10	0.9285482961844745	True	0.00619533527696793	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P53622	COPA_YEAST	COP1	Coatomer subunit alpha	29	29.0	367926.0	355170.0	325586.0	360142.0	320795.0	337341.0	337207.0	352158.0	321577.0	191244.0	186100.0	175111.0	185988.0	184758.0	197390.0	191474.0	188733.0	197094.0	0	1.6280156908998065e-10	0.8582026027240509	True	0.00620019436345967	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
Q08179	MDM38_YEAST	MDM38	Mitochondrial distribution and morphology protein 38	7	7.0	238940.0	265994.0	274321.0	236374.0	258823.0	255576.0	241836.0	269741.0	273044.0	116802.0	116759.0	110315.0	115530.0	123840.0	117696.0	124356.0	126610.0	115401.0	0	1.631071764541843e-10	1.1168155198316478	True	0.006205053449951409	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P39107	MNN9_YEAST	MNN9	Mannan polymerase complexes subunit MNN9	5	5.0	174621.0	159181.0	156155.0	153316.0	143413.0	147766.0	166145.0	172733.0	140902.0	84587.4	91067.8	88289.0	56814.3	88571.5	76614.4	74142.8	72580.3	69447.3	0	1.6485461835107432e-10	1.0102399645673215	True	0.006209912536443149	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P40989	FKS2_YEAST	GSC2	1,3-beta-glucan synthase component GSC2	9	9.0	126347.0	134605.0	161134.0	132556.0	146319.0	149076.0	158568.0	147404.0	145268.0	71796.3	55302.7	60414.0	71178.8	70554.5	75522.5	84523.7	67338.2	78331.4	0	1.658506546556279e-10	1.0351857109794607	True	0.006214771622934889	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P0A734	MINE_ECOLI	minE	Cell division topological specificity factor	3	3.0	15356.5	15203.5	11544.6	18786.8	2515.21	11876.8	17361.9	17944.4	22568.1	67402.0	69587.1	50139.0	67963.8	73325.7	74930.8	67886.2	59853.1	58529.7	1	1.660452906155136e-10	-2.146642051663002	True	0.006219630709426628	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P40986	CDC1_YEAST	CDC1	Cell division control protein 1	6	6.0	77137.1	81573.9	78878.0	83626.5	67578.9	69794.2	77307.4	76490.8	73119.6	37842.5	34213.1	35117.6	34584.9	39254.4	36923.9	35628.7	30541.3	35385.3	0	1.671146215741991e-10	1.1013916830817856	True	0.006224489795918367	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P52697	6PGL_ECOLI	pgl	6-phosphogluconolactonase	6	6.0	52164.3	54842.3	45344.5	39896.5	47517.5	50365.7	49636.4	66.2308	42075.1	162276.0	131449.0	148579.0	161885.0	136500.0	156818.0	131626.0	138375.0	163964.0	1	1.673302690367379e-10	-1.8017230385940628	True	0.006229348882410108	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P26637	SYLC_YEAST	CDC60	Leucine--tRNA ligase, cytoplasmic	30	30.0	1200240.0	1176120.0	1131720.0	1107920.0	1072760.0	1108020.0	1089050.0	1111330.0	1038010.0	582277.0	561548.0	556970.0	576384.0	588241.0	580759.0	563963.0	559787.0	582562.0	0	1.749511488318572e-10	0.9617230718846177	True	0.006234207968901847	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P06115	CATT_YEAST	CTT1	Catalase T	10	10.0	294026.0	283178.0	277478.0	259842.0	256218.0	266353.0	267183.0	258428.0	265925.0	133938.0	129999.0	129083.0	132894.0	130561.0	130667.0	133380.0	131872.0	139067.0	0	1.7886578565816263e-10	1.02741157854264	True	0.0062390670553935865	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P33363	BGLX_ECOLI	bglX	Periplasmic beta-glucosidase	6	6.0	42385.8	67933.0	54636.9	51382.6	53056.5	69719.5	67517.2	51315.5	62590.3	257133.0	219143.0	198359.0	260398.0	246215.0	232182.0	210424.0	216498.0	238993.0	0	1.7895559359873918e-10	-1.9980556954538178	True	0.006243926141885326	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P28789	HEM3_YEAST	HEM3	Porphobilinogen deaminase	7	7.0	110581.0	122412.0	126503.0	105601.0	114414.0	102000.0	109756.0	99293.4	108093.0	47180.0	47069.5	49503.8	43417.9	59786.1	50207.9	51455.0	48389.5	59095.9	0	1.8244079326450264e-10	1.1306161690176935	True	0.006248785228377064	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P26754	RFA2_YEAST	RFA2	Replication factor A protein 2	3	3.0	381931.0	347664.0	311920.0	311201.0	325241.0	305097.0	316644.0	316841.0	313665.0	138710.0	134580.0	139392.0	163296.0	148178.0	131030.0	156174.0	143701.0	124907.0	0	1.8257773150160304e-10	1.1948933657792293	True	0.0062536443148688056	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P0AES0	GSP_ECOLI	gss	Bifunctional glutathionylspermidine synthetase/amidase	2	2.0	1694.59	2347.24	2533.55	2987.76	2515.21	7569.59	2602.38	66.2308	3025.67	38873.8	36486.3	40036.3	37502.5	40302.7	48220.6	42182.7	50034.1	45128.0	8	1.828790370247302e-10	-3.901695779780099	True	0.006258503401360545	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P25694	CDC48_YEAST	CDC48	AAA family ATPase involved in ubiquitin-mediated protein degradation CDC48	31	30.0	6019290.0	5856860.0	5678380.0	5497540.0	5261940.0	5348350.0	5333850.0	5394660.0	5201050.0	3158730.0	2966970.0	2944030.0	3098900.0	2964350.0	2824700.0	3133890.0	3030180.0	2993030.0	0	1.8388529293526256e-10	0.8710256169221261	True	0.006263362487852284	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P40413	TCPE_YEAST	CCT5	T-complex protein 1 subunit epsilon	11	11.0	204422.0	234108.0	247110.0	217287.0	198219.0	225796.0	209273.0	205470.0	217069.0	118752.0	112872.0	99326.9	108567.0	128542.0	122718.0	109024.0	106762.0	130055.0	0	1.8441613745585888e-10	0.9180506180514486	True	0.006268221574344023	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P38809	YHP7_YEAST	YHR097C	Uncharacterized protein YHR097C	7	7.0	228140.0	241715.0	235797.0	230825.0	213777.0	197202.0	212173.0	239983.0	203475.0	110713.0	96657.9	97384.5	104052.0	116612.0	96044.1	98484.9	115800.0	96770.1	0	1.8634141899151718e-10	1.1030208310006844	True	0.006273080660835762	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
Q02948	BECN1_YEAST	VPS30	Vacuolar protein sorting-associated protein 30	4	4.0	67252.5	81407.7	77332.7	69477.0	87691.0	73691.2	79836.5	72618.8	75486.6	27006.3	37022.4	41633.6	40743.2	35402.5	36832.1	33511.3	33550.2	33519.2	0	1.8647520772995604e-10	1.1011154025475935	True	0.0062779397473275034	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P36124	SET3_YEAST	SET3	Histone reader SET3	7	7.0	69884.2	61715.5	60406.9	63491.1	55392.2	63813.1	54344.1	57936.9	63875.5	31517.7	30772.9	24238.1	30898.2	29051.4	33590.9	26659.1	28440.2	25759.3	0	1.8743951285250364e-10	1.0780337365095365	True	0.006282798833819243	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P37302	APE3_YEAST	APE3	Aminopeptidase Y	5	5.0	1029480.0	998208.0	1009610.0	980496.0	942543.0	951997.0	971173.0	861113.0	948379.0	549751.0	531531.0	524548.0	536270.0	521687.0	532445.0	544951.0	488572.0	517034.0	0	1.8784695181033348e-10	0.8729020568438752	True	0.006287657920310981	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P38853	KEL1_YEAST	KEL1	Kelch repeat-containing protein 1	21	21.0	255225.0	232249.0	256145.0	214565.0	221052.0	236671.0	244394.0	224218.0	239375.0	119333.0	123962.0	115044.0	128535.0	113010.0	116008.0	119630.0	117296.0	106697.0	0	1.8815991711518198e-10	1.0033077527445147	True	0.006292517006802721	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P0C0L2	OSMC_ECOLI	osmC	Peroxiredoxin OsmC	5	5.0	180282.0	167474.0	165820.0	168265.0	162698.0	144487.0	164838.0	159634.0	159091.0	676798.0	596020.0	565525.0	674538.0	640958.0	576383.0	660971.0	645846.0	606135.0	0	1.88837466644907e-10	-1.9381520039445848	True	0.00629737609329446	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P64503	YEBV_ECOLI	yebV	Uncharacterized protein YebV	2	2.0	24555.7	19701.3	20309.1	17372.5	15411.3	14612.6	17459.7	24805.2	15561.6	111833.0	109473.0	100442.0	113423.0	111811.0	91312.9	129418.0	111308.0	108432.0	0	1.8890910974835156e-10	-2.5399689404071286	True	0.006302235179786201	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
Q08448	LPL1_YEAST	LPL1	Lipid droplet phospholipase 1	2	2.0	15501.4	16526.8	13498.0	17666.2	12734.8	16788.2	15211.5	12205.8	16879.0	4139.49	1633.26	3980.89	3802.56	1168.67	1896.33	766.632	3100.73	1305.89	6	1.892178475805174e-10	2.6522662620709383	True	0.00630709426627794	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P32263	P5CR_YEAST	PRO3	Pyrroline-5-carboxylate reductase	6	6.0	543338.0	606536.0	669244.0	542497.0	590134.0	623645.0	571385.0	652304.0	628803.0	250787.0	285751.0	321401.0	257041.0	303216.0	311453.0	269891.0	287434.0	314529.0	0	1.9006383724756885e-10	1.0610450496513217	True	0.006311953352769679	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
Q04869	YM94_YEAST	YMR315W	Uncharacterized protein YMR315W	7	7.0	720894.0	680060.0	657643.0	646422.0	622413.0	645502.0	629816.0	629452.0	596663.0	339958.0	307925.0	344428.0	323882.0	338516.0	310023.0	335206.0	326791.0	317757.0	0	1.9012989128078547e-10	0.9851991743194894	True	0.006316812439261419	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P0AFG0	NUSG_ECOLI	nusG	Transcription termination/antitermination protein NusG	2	2.0	38418.7	25507.3	28617.5	21726.2	2515.21	2108.73	2602.38	66.2308	24578.6	111545.0	100355.0	111356.0	118985.0	118465.0	94268.9	112027.0	113987.0	89181.3	4	1.9014335968350263e-10	-2.7308783544830924	True	0.006321671525753158	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P53165	SGF73_YEAST	SGF73	SAGA complex subunit SGF73	6	6.0	59644.1	55901.8	63521.4	55605.1	55192.3	63212.0	49294.4	54857.5	55784.2	30246.0	27550.6	31436.6	29443.0	28079.0	27942.5	29517.5	28750.3	20707.4	0	1.9343240748513409e-10	1.016025418635633	True	0.006326530612244898	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P38071	ETR1_YEAST	ETR1	Enoyl-[acyl-carrier-protein] reductase, mitochondrial	10	10.0	373213.0	410947.0	395117.0	360961.0	350101.0	357215.0	361475.0	384092.0	351635.0	187074.0	202612.0	184802.0	184320.0	185246.0	197768.0	204448.0	196498.0	184884.0	0	1.9466782512695257e-10	0.953088324590513	True	0.006331389698736638	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P0AE18	MAP1_ECOLI	map	Methionine aminopeptidase	7	7.0	78627.6	67021.6	71534.2	68766.9	57144.2	65622.4	67395.9	54012.9	57642.2	157337.0	136562.0	137118.0	160961.0	142928.0	158054.0	169753.0	169118.0	166246.0	0	1.9491355107784645e-10	-1.2501253444887466	True	0.006336248785228377	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P0A9N4	PFLA_ECOLI	pflA	Pyruvate formate-lyase 1-activating enzyme	2	2.0	1694.59	2347.24	10046.0	2987.76	2515.21	2108.73	2602.38	66.2308	3025.67	46394.3	38688.3	35310.8	47201.9	47659.9	49584.3	35324.1	43347.1	45840.8	8	1.96456208635023e-10	-3.829151303449539	True	0.006341107871720117	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P0A7X3	RS9_ECOLI	rpsI	Small ribosomal subunit protein uS9	3	3.0	188132.0	202181.0	163803.0	212132.0	144395.0	154185.0	149072.0	200237.0	127718.0	886756.0	801803.0	871246.0	800252.0	753510.0	634561.0	792571.0	839339.0	777869.0	0	1.9654378239485466e-10	-2.214870702591591	True	0.006345966958211856	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P14904	AMPL_YEAST	APE1	Vacuolar aminopeptidase 1	7	7.0	273946.0	254423.0	246973.0	251556.0	230468.0	227431.0	213082.0	231176.0	246790.0	110069.0	116654.0	127115.0	131020.0	120789.0	115931.0	135098.0	135637.0	103398.0	0	1.9688650928037949e-10	0.9897084579665143	True	0.006350826044703596	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P14922	CYC8_YEAST	CYC8	General transcriptional corepressor CYC8	13	13.0	148196.0	147349.0	131250.0	148748.0	140163.0	134832.0	139630.0	135989.0	123064.0	76541.9	72026.6	67924.7	71892.4	70525.2	73673.4	81617.4	74487.9	78386.4	0	1.9829675162883704e-10	0.9051059011371472	True	0.006355685131195336	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
Q05911	PUR8_YEAST	ADE13	Adenylosuccinate lyase	16	16.0	1883240.0	1814580.0	1879050.0	1639790.0	1686420.0	1682810.0	1631670.0	1744850.0	1679140.0	1015480.0	885765.0	909381.0	986374.0	942398.0	912463.0	956818.0	915071.0	916152.0	0	2.0111081304209082e-10	0.8900853313743456	True	0.006360544217687075	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P0CT04	IPB2_YEAST	PBI2	Protease B inhibitor 2	5	5.0	2257540.0	2407110.0	2379640.0	2158340.0	2117160.0	2244600.0	2115070.0	2302780.0	2103390.0	1170600.0	1133180.0	1121140.0	1117520.0	1154560.0	1106820.0	1224780.0	1131180.0	1109250.0	0	2.027894460713705e-10	0.9678638003592198	True	0.0063654033041788145	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P0AEQ3	GLNH_ECOLI	glnH	Glutamine-binding periplasmic protein	12	12.0	454562.0	457336.0	468088.0	398010.0	433774.0	444886.0	407750.0	412503.0	504011.0	1583130.0	1509050.0	1552040.0	1705970.0	1814030.0	1741740.0	1761760.0	1634340.0	1862170.0	0	2.0326053396885364e-10	-1.9294984588955086	True	0.006370262390670554	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
Q03769	ENT5_YEAST	ENT5	Epsin-5	6	6.0	324304.0	329834.0	311970.0	320673.0	307358.0	309869.0	278681.0	367260.0	304508.0	155884.0	188441.0	183859.0	183065.0	152243.0	166799.0	154905.0	188638.0	132547.0	0	2.0394685434045848e-10	0.9221296210550877	True	0.006375121477162294	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P68066	GRCA_ECOLI	grcA	Autonomous glycyl radical cofactor	6	6.0	47637.8	60570.0	56464.6	53371.6	54751.0	44819.9	54603.6	51431.8	60237.7	209213.0	195385.0	182840.0	220247.0	204091.0	226562.0	226795.0	232682.0	203967.0	0	2.0398156497516896e-10	-1.9746068133142372	True	0.0063799805636540335	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P38321	YB75_YEAST	YBR225W	Uncharacterized protein YBR225W	3	3.0	38708.8	42979.6	39589.6	41385.6	42769.3	41957.6	31712.7	32340.5	41332.4	1807.3	12348.7	1095.9	1704.86	1168.67	1896.33	766.632	15448.7	1305.89	7	2.0622914562727695e-10	3.2321376723935256	True	0.006384839650145773	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P00963	ASNA_ECOLI	asnA	Aspartate--ammonia ligase	2	2.0	1694.59	2347.24	2533.55	2987.76	2515.21	2108.73	2602.38	66.2308	3025.67	36385.7	31932.3	30497.2	27429.2	35257.7	32163.9	30497.1	35771.3	35665.6	9	2.0627092712021716e-10	-3.8941578573594144	True	0.006389698736637512	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
Q00816	REG1_YEAST	REG1	Resistance to glucose repression protein 1	17	17.0	292243.0	291567.0	294533.0	265358.0	262944.0	273737.0	260507.0	282705.0	260818.0	133442.0	135209.0	126402.0	128369.0	135989.0	131378.0	132099.0	126001.0	125889.0	0	2.0655370575862116e-10	1.080516287538192	True	0.006394557823129252	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P41911	GPD2_YEAST	GPD2	Glycerol-3-phosphate dehydrogenase [NAD(+)] 2, mitochondrial	9	8.0	665584.0	687252.0	717600.0	631822.0	621507.0	646998.0	649167.0	656396.0	620514.0	335627.0	365233.0	356015.0	339950.0	336699.0	344224.0	344115.0	348738.0	343658.0	0	2.1027023396975872e-10	0.9210531174245348	True	0.006399416909620992	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P0ABE2	BOLA_ECOLI	bolA	DNA-binding transcriptional regulator BolA	1	1.0	1694.59	2347.24	2533.55	23614.9	2515.21	2108.73	31679.5	66.2308	3025.67	84761.0	60929.6	67570.2	84430.5	86825.1	85877.8	91831.8	93744.9	80300.1	7	2.109531973639974e-10	-3.4033757553172843	True	0.0064042759961127314	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P07262	DHE4_YEAST	GDH1	NADP-specific glutamate dehydrogenase 1	12	7.0	1190040.0	1130840.0	1178270.0	1059220.0	1074900.0	1109210.0	1020040.0	1087210.0	1062830.0	583022.0	544626.0	565656.0	594724.0	571395.0	579200.0	571701.0	539575.0	584963.0	0	2.112395170413221e-10	0.9489321888992751	True	0.006409135082604471	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P05737	RL7A_YEAST	RPL7A	Large ribosomal subunit protein uL30A	11	1.0	7664020.0	7693810.0	7708220.0	7528300.0	6907350.0	7172550.0	7069420.0	7249060.0	7101900.0	3863320.0	3779930.0	3833350.0	3873820.0	3870110.0	3784370.0	3895160.0	3718760.0	3817610.0	0	2.1156384071665391e-10	0.9405974743143427	True	0.00641399416909621	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P30624	LCF1_YEAST	FAA1	Long-chain-fatty-acid--CoA ligase 1	21	21.0	485623.0	484149.0	491811.0	435855.0	434783.0	448435.0	437520.0	453167.0	448616.0	235913.0	225459.0	220675.0	226186.0	240902.0	232650.0	235955.0	223884.0	228537.0	0	2.123811135728285e-10	0.9928870074449773	True	0.006418853255587949	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
Q02326	RL6A_YEAST	RPL6A	Large ribosomal subunit protein eL6A	8	4.0	1221340.0	1236360.0	1195570.0	1105250.0	1007990.0	1137500.0	1088050.0	1119900.0	1060720.0	525147.0	514629.0	588622.0	532907.0	515515.0	586255.0	595702.0	567270.0	604640.0	0	2.135306093295161e-10	1.015872472613026	True	0.00642371234207969	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
Q12473	FRE6_YEAST	FRE6	Ferric reductase transmembrane component 6	2	2.0	23605.8	23446.1	24260.3	23986.4	21213.7	23835.8	23342.7	30103.7	31493.5	8895.86	1633.26	8523.12	1704.86	1168.67	1896.33	766.632	3100.73	1305.89	7	2.1514247297099953e-10	2.957876912617165	True	0.006428571428571429	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P40029	MSRA_YEAST	MXR1	Peptide methionine sulfoxide reductase	4	4.0	129979.0	142323.0	152949.0	130107.0	126465.0	143056.0	124173.0	126206.0	137431.0	61354.8	54475.6	60484.6	65822.8	70077.5	64952.9	64965.0	70954.3	62618.8	0	2.160436110480357e-10	1.0748047067428728	True	0.006433430515063169	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P34217	PIN4_YEAST	PIN4	RNA-binding protein PIN4	6	6.0	166590.0	171288.0	175647.0	159239.0	150887.0	156506.0	171853.0	145696.0	161570.0	76777.0	75745.9	73729.8	73379.9	75314.7	81328.6	85566.2	79751.8	81133.1	0	2.1841853196586372e-10	1.0542165374200951	True	0.006438289601554907	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P28003	FUN19_YEAST	FUN19	SWIRM domain-containing protein FUN19	3	3.0	48014.6	49676.4	50724.3	43619.3	49816.3	46656.8	41735.0	53277.4	48890.9	28471.5	26381.1	25822.8	27320.4	28558.3	21121.9	27868.9	20341.4	22291.3	0	2.1862003184928799e-10	0.922246053474837	True	0.006443148688046647	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P00724	INV2_YEAST	SUC2	Invertase 2	6	6.0	523668.0	529851.0	482405.0	496408.0	452149.0	450251.0	480624.0	514345.0	483095.0	239027.0	236556.0	233337.0	238315.0	220928.0	232635.0	220808.0	217920.0	213766.0	0	2.1913677524286047e-10	1.103754245584409	True	0.006448007774538388	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P19358	METK2_YEAST	SAM2	S-adenosylmethionine synthase 2	6	6.0	360432.0	368840.0	401719.0	344988.0	338684.0	394589.0	366098.0	344816.0	366512.0	159820.0	168055.0	163314.0	175562.0	165420.0	180504.0	162235.0	170369.0	158140.0	0	2.200970276299841e-10	1.128382979041564	True	0.006452866861030127	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P07024	USHA_ECOLI	ushA	Protein UshA	5	5.0	9911.88	2347.24	2533.55	2987.76	14699.5	13985.1	11103.6	14381.0	3025.67	42505.3	37587.5	45831.9	42792.2	47216.0	46760.7	48678.7	46754.9	46544.9	4	2.2023551497073227e-10	-2.4322660913473646	True	0.006457725947521866	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P50946	OCA1_YEAST	OCA1	Putative tyrosine-protein phosphatase OCA1	3	3.0	94408.8	90357.2	93827.0	80099.3	83746.9	93078.4	96581.5	81663.2	86506.6	55520.7	43610.9	48867.1	49941.7	56008.7	43681.0	55472.3	53118.7	53022.9	0	2.2066206819568063e-10	0.801223971670165	True	0.006462585034013605	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
Q12324	YVC1_YEAST	YVC1	Calcium channel YVC1	5	5.0	111264.0	128902.0	122572.0	129614.0	134538.0	117814.0	124879.0	138523.0	120975.0	67787.1	69594.0	74399.8	70934.1	73425.8	77534.7	60784.1	74195.2	82632.8	0	2.2110557523420418e-10	0.7937823241420578	True	0.0064674441205053446	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
